Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,Jungle,DanDyx,Challenger - 1830 LP,70.3,780 / 329,Choi
#2,ADC,Impx,Challenger - 1235 LP,61.5,1149 / 718,Choi
#3,Jungle,Aela ,Challenger - 1168 LP,57.8,1033 / 755,MolscarZX
#4,Jungle,tarzaned,Challenger - 1025 LP,60.5,448 / 293,Tyler1
#5,Mid,Jarl Mid,Challenger - 871 LP,59.9,1105 / 740,Jarl
#6,Jungle,AttSeeker,Challenger - 758 LP,57.2,794 / 595,PaxVan
#7,Support,HelpingX,Challenger - 747 LP,58.7,998 / 701,Felixxx
#8,Top,Heimerdonger,Challenger - 728 LP,56.3,1252 / 973,TimoMacDonut
#9,Jungle,sandbox5,Challenger - 658 LP,56.9,848 / 642,
#10,Jungle,Kaltch,Challenger - 654 LP,56.0,1012 / 795,Princess
#11,Support,Fekker,Challenger - 634 LP,55.4,1189 / 958,Key
#12,Top,TopBot,Challenger - 608 LP,53.1,1559 / 1379,TangilBOT
#13,Jungle,Canyon,Challenger - 583 LP,58.6,1187 / 838,YamatoCannon
#14,Jungle,Shitfeather,Challenger - 580 LP,57.9,962 / 699,hiroli
#15,Mid,PawNx,Challenger - 567 LP,55.9,1126 / 888,Choi
#16,Support,DieFliegendeKuh,Challenger - 540 LP,55.3,1088 / 880,doofboy13
#17,Mid,Etosh,Challenger - 535 LP,53.7,1067 / 919,Etosh
#18,Jungle,Stupid Jungler,Challenger - 525 LP,59.7,921 / 621,PooPooPeePee
#19,Mid,Choky,Challenger - 525 LP,54.7,1216 / 1008,Key
#20,Jungle,junglekek,Challenger - 522 LP,54.1,994 / 844,redeemer
#21,Jungle,Wakes,Challenger - 507 LP,57.4,1317 / 978,alim
#22,Mid,Chovy,Challenger - 500 LP,55.5,1065 / 855,TheStriker9
#23,Jungle,Prime Bengi,Challenger - 496 LP,60.7,742 / 480,LDK
#24,Jungle,QQ Nino,Challenger - 483 LP,53.7,1075 / 928,Futaro
#25,Support,Rookie,Challenger - 479 LP,54.4,989 / 829,LordArtos
#26,Support,unicornpetpetuwu,Challenger - 472 LP,53.4,1142 / 996,GamerGirls
#27,Top,Jarun,Challenger - 465 LP,52.2,1272 / 1164,Memersticks
#28,ADC,Cryhard II,Challenger - 464 LP,54.4,1049 / 878,roysiggi
#29,Support,xplayz4dayz,Challenger - 462 LP,57.6,770 / 566,froggen
#30,Support,SupBot,Challenger - 453 LP,53.2,1160 / 1019,TangilBOT
#31,Support,Keria,Challenger - 452 LP,52.3,1067 / 973,TheStriker9
#32,Mid,Mephisto,Challenger - 446 LP,54.3,1107 / 932,Zettohail
#33,Jungle,Nunu V2,Challenger - 442 LP,56.2,865 / 675,willchung1024
#34,Mid,EMFyels,Challenger - 440 LP,53.7,1217 / 1051,EMFyels
#35,Top,Salsa,Challenger - 439 LP,52.4,1704 / 1545,YungYiga
#36,Jungle,Umbral,Challenger - 433 LP,55.4,883 / 712,Indoraps
#37,Mid,Jess,Challenger - 430 LP,53.1,1121 / 991,WildChoas
#38,ADC,Ree-ason,Challenger - 412 LP,51.7,1372 / 1280,hmphree
#39,ADC,NewMeta,Challenger - 401 LP,53.0,1548 / 1371,moxir
#40,ADC,botkek,Challenger - 398 LP,53.1,1441 / 1274,redeemer
#41,ADC,UziisBack,Challenger - 398 LP,51.7,1305 / 1221,Zettohail
#42,Mid,The_Ghost16,Challenger - 394 LP,54.8,840 / 694,Sb1
#43,Top,Ooga,Challenger - 386 LP,54.6,1105 / 920,Poggersnation
#44,ADC,Puki style23,Challenger - 381 LP,53.9,890 / 762,Klorellv4
#45,Jungle,SmelliElli,Challenger - 374 LP,57.9,763 / 555,bigjon
#46,Support,Aeryn,Challenger - 368 LP,54.1,1036 / 879,WildChoas
#47,Support,Wilde,Challenger - 365 LP,53.1,1211 / 1071,Wealth_and_Taste
#48,Jungle,Freja,Challenger - 362 LP,55.0,830 / 679,ornstein123
#49,Mid,midkek,Challenger - 360 LP,52.5,1183 / 1070,redeemer
#50,Support,Dibbs,Challenger - 355 LP,53.5,906 / 787,MaverickG
#51,Jungle,Iris,Grandmaster - 354 LP,53.5,1194 / 1037,WildChoas
#52,ADC,-200 years,Grandmaster - 354 LP,54.2,912 / 771,aquietghost
#53,Top,Alistar top,Grandmaster - 352 LP,55.5,771 / 619,roysiggi 2 
#54,Top,DoinB,Grandmaster - 349 LP,54.1,797 / 675,LordArtos
#55,Support,JoseJose,Grandmaster - 348 LP,52.9,1197 / 1066,tytn
#56,Mid,LeSnek,Grandmaster - 343 LP,52.0,945 / 872,LS
#57,Top,sandbox0,Grandmaster - 342 LP,53.6,959 / 830,
#58,ADC,Pokimane,Grandmaster - 336 LP,52.5,1169 / 1058,Simp
#59,Support,Princess,Grandmaster - 324 LP,52.8,1130 / 1011,Princess
#60,Top,Diablo,Grandmaster - 322 LP,52.8,1101 / 985,Kyzent
#61,Support,Kaflax,Grandmaster - 319 LP,54.5,858 / 715,Kawax
#62,Jungle,Sanga,Grandmaster - 317 LP,53.6,1243 / 1077,EMFyels
#63,Mid,Ze To,Grandmaster - 312 LP,51.7,1108 / 1036,tytn
#64,Top,Ayu,Grandmaster - 311 LP,52.0,1021 / 943,Bitesized
#65,Support,Emwues24,Grandmaster - 296 LP,54.1,750 / 636,Jinxnator
#66,Jungle,Jinxnator,Grandmaster - 296 LP,56.5,714 / 550,Jinxnator
#67,ADC,Blink Sooyaaa,Grandmaster - 295 LP,52.6,833 / 750,willchung127
#68,ADC,Viyo,Grandmaster - 292 LP,51.3,876 / 831,Xcotch
#69,ADC,sandbox15,Grandmaster - 288 LP,53.0,1144 / 1015,
#70,Mid,garbz,Grandmaster - 287 LP,54.9,1789 / 1467,garbz
#71,Jungle,Rain,Grandmaster - 287 LP,52.7,1030 / 924,cmoney847
#72,Mid,sandbox10,Grandmaster - 286 LP,53.0,961 / 852,
#73,Jungle,Prophet,Grandmaster - 286 LP,56.2,770 / 601,Four
#74,ADC,Rabbit4,Grandmaster - 284 LP,54.9,809 / 665,willchungtester
#75,Jungle,DoperThanDopa,Grandmaster - 280 LP,54.7,968 / 801,yukioken
#76,Jungle,PiolsJg,Grandmaster - 279 LP,56.1,670 / 525,Piols2
#77,Jungle,Senbonzakura,Grandmaster - 278 LP,53.3,709 / 622,PacoPeco
#78,Top,JollyGiant,Grandmaster - 277 LP,51.4,882 / 835,[email protected]
#79,Mid,SrqUe,Grandmaster - 273 LP,52.1,1194 / 1097,moxir
#80,Jungle,Souless,Grandmaster - 271 LP,54.2,848 / 718,Bitesized
#81,Top,Craq,Grandmaster - 271 LP,53.7,2528 / 2177,moxir
#82,Support,supkek,Grandmaster - 266 LP,51.5,1223 / 1153,redeemer
#83,Support,Elythys,Grandmaster - 265 LP,55.5,667 / 535,Elythys
#84,Support,Xenicz,Grandmaster - 262 LP,54.0,719 / 613,iambadatlol4
#85,Mid,Buddha Gautama,Grandmaster - 261 LP,54.5,726 / 607,meroaga
#86,Top,SilSol,Grandmaster - 260 LP,53.8,607 / 521,silsoleuw
#87,Mid,midlane king,Grandmaster - 258 LP,51.4,823 / 779,hater
#88,Top,Finch,Grandmaster - 258 LP,50.7,846 / 824,LumiFumi
#89,ADC,Panther,Grandmaster - 258 LP,53.2,981 / 864,WildChoas
#90,Mid,Prime Faker,Grandmaster - 257 LP,54.9,714 / 587,LDK
#91,Support,Eirika,Grandmaster - 256 LP,54.8,742 / 611,Nyubola
#92,ADC,CellZ,Grandmaster - 255 LP,49.5,1190 / 1212,EMFyels
#93,ADC,Coldest,Grandmaster - 254 LP,54.2,867 / 733,MaverickG
#94,Top,Dumbass,Grandmaster - 250 LP,51.1,1357 / 1298,Key
#95,Jungle,AntonioJose,Grandmaster - 248 LP,52.4,1182 / 1073,tytn
#96,Mid,Tupac,Grandmaster - 247 LP,53.5,806 / 700,Pranceof
#97,Support,Doc,Grandmaster - 247 LP,54.6,741 / 616,MaverickG4
#98,Support,Meeeeew,Grandmaster - 242 LP,53.9,808 / 691,Foxxo
#99,ADC,SasukeyLove,Grandmaster - 241 LP,52.6,1310 / 1181,kcheng6996
#100,Support,Likarack,Grandmaster - 240 LP,56.2,566 / 442,wirblue1
