Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,Support,Aqua,Challenger - 463 LP,68.0,344 / 162,Trindor
#2,Jungle,Pyosik,Challenger - 293 LP,62.2,567 / 344,TheStriker9
#3,ADC,Deft,Challenger - 211 LP,61.9,438 / 270,TheStriker9
#4,ADC,T1 T1,Challenger - 197 LP,64.3,400 / 222,Soraka
#5,Top,Zuko,Challenger - 172 LP,54.9,429 / 352,Lior
#6,Mid,Giorno Giovanna,Challenger - 107 LP,57.8,395 / 288,Ithirul
#7,Mid,BOOCAUWMOO,Challenger - 105 LP,54.3,472 / 397,BooCauwMoo
#8,Mid,Gezar,Challenger - 103 LP,57.9,346 / 252,Kai
#9,Jungle,Poppey,Challenger - 103 LP,57.1,604 / 453,NAVI
#10,Top,xxaznpuppy32xx,Challenger - 57 LP,54.9,547 / 450,GamerGirls
#11,ADC,SelfishPanda,Challenger - 54 LP,55.2,382 / 310,Mekaki
#12,Mid,Seirilyvia,Challenger - 48 LP,49.3,360 / 370,Kythaela
#13,Support,Maïwenn,Challenger - 45 LP,51.9,448 / 415,DitIsDonny
#14,Mid,Bye Bye Driver,Challenger - 44 LP,51.9,439 / 407,110110010011
#15,Mid,Foxy,Challenger - 23 LP,54.9,404 / 332,Foxy
#16,Mid,Arteros,Challenger - 22 LP,53.6,472 / 408,Anbeeld
#17,Support,Jao,Challenger - 14 LP,51.3,394 / 374,YoloMedic
#18,Support,Kutcher,Challenger - 3 LP,54.3,430 / 362,Terra
#19,Jungle,110110010011,Challenger - 0 LP,52.7,502 / 451,110110010011
#20,Top,DRX Deft,Diamond I - 99 LP,52.6,323 / 291,Tokyo Smurfer
#21,Jungle,Garrosh,Diamond I - 84 LP,50.5,247 / 242,Fells
#22,Top,TheHentaiKing,Diamond I - 81 LP,51.2,332 / 316,DitIsDonny
#23,Support,Egirl champs onl,Diamond I - 78 LP,55.4,498 / 401,Spooky
#24,ADC,Prodigy,Diamond I - 77 LP,50.5,299 / 293,CoachYouGen
#25,Support,strawberry cow,Diamond I - 74 LP,49.7,385 / 389,annauwumarie
#26,Support,Anbeeld,Diamond I - 74 LP,56.5,532 / 409,Anbeeld
#27,ADC,AJDG Angel,Diamond I - 71 LP,48.9,323 / 338,Lightandhope
#28,Jungle,Gnima,Diamond I - 70 LP,53.4,442 / 386,YoloMedic
#29,Mid,BottleCaps,Diamond I - 69 LP,52.1,362 / 333,Phost
#30,Top,Mr The Rat King,Diamond I - 67 LP,54.7,371 / 307,DangerousMolerat
#31,ADC,Kadlin,Diamond I - 63 LP,54.0,377 / 321,Jinxnator
#32,Top,RNG Letme,Diamond I - 63 LP,53.0,427 / 378,LPLAhri
#33,Jungle,4evrfloral,Diamond I - 61 LP,50.3,257 / 254,PokeEdits
#34,Mid,Byumbert,Diamond I - 60 LP,51.4,339 / 321,Byumbi
#35,Jungle,GG Bekhali,Diamond I - 59 LP,52.8,291 / 260,Mac
#36,Support,CoreJJ,Diamond I - 59 LP,51.1,376 / 360,Opticreed
#37,Support,SEXY TAHM,Diamond I - 54 LP,51.2,304 / 290,HailOfBladesTahm
#38,Top,Test1,Diamond I - 52 LP,49.0,310 / 323,test
#39,Top,Dumbass,Diamond I - 51 LP,51.3,410 / 389,Key
#40,ADC,Sinon,Diamond I - 51 LP,51.7,305 / 285,Trindor
#41,Support,unicornpetpetuwu,Diamond I - 48 LP,46.8,375 / 426,GamerGirls
#42,Top,MJay,Diamond I - 48 LP,51.4,283 / 268,Tangil
#43,Top,Top,Diamond I - 45 LP,53.8,339 / 291,jksad
#44,ADC,PepeLaugh,Diamond I - 44 LP,48.0,453 / 490,LS
#45,Support,Lambo Bambo,Diamond I - 42 LP,50.6,379 / 370,Byumbi
#46,ADC,Test4,Diamond I - 42 LP,51.5,363 / 342,test
#47,Support,Tiriana,Diamond I - 40 LP,51.3,397 / 377,Kythaela
#48,ADC,Jotaro Kujo,Diamond I - 39 LP,54.9,486 / 400,Ithirul
#49,Mid,Nick,Diamond I - 39 LP,54.5,218 / 182,ovenjohnson
#50,ADC,Japan,Diamond I - 39 LP,51.8,257 / 239,LuvLetter
#51,Top,DoinB,Diamond I - 35 LP,51.6,425 / 399,LordArtos
#52,ADC,Kogglemoggle,Diamond I - 35 LP,51.2,305 / 291,Sinker
#53,Jungle,cblol00002,Diamond I - 34 LP,49.8,290 / 292,cblol
#54,Jungle,Test2,Diamond I - 34 LP,51.3,353 / 335,test
#55,Support,Keria,Diamond I - 33 LP,49.2,405 / 419,TheStriker9
#56,Top,Salsa,Diamond I - 33 LP,56.4,544 / 420,YungYiga
#57,Support,icht,Diamond I - 33 LP,54.2,225 / 190,cybersown
#58,Mid,cblol00003,Diamond I - 31 LP,50.1,304 / 303,cblol
#59,Support,Alder88,Diamond I - 29 LP,47.8,267 / 292,LumiFumi
#60,Mid,Salt,Diamond I - 29 LP,52.6,369 / 332,JMENDOZA
#61,Mid,Frimmy23,Diamond I - 29 LP,58.4,676 / 482,YoloMedic
#62,Mid,Slimsnoker,Diamond I - 28 LP,51.0,313 / 301,Slimsnoker
#63,Jungle,JglBot,Diamond I - 27 LP,50.6,445 / 435,TangilBOT
#64,Support,Sadex,Diamond I - 27 LP,48.0,281 / 305,Spezza
#65,Support,GeT OutFlayed,Diamond I - 26 LP,49.8,255 / 257,Mac
#66,Top, IG TheShy,Diamond I - 24 LP,53.0,349 / 309,Oafers
#67,Mid,Star Player,Diamond I - 23 LP,49.9,259 / 260,CoachYouGen
#68,Mid,reality,Diamond I - 23 LP,49.1,296 / 307,schlafen
#69,Jungle,Bibi,Diamond I - 23 LP,53.1,418 / 369,Troeton
#70,Top,Punchaubuns,Diamond I - 22 LP,51.7,330 / 308,LumiFumi
#71,Support,Tratz,Diamond I - 22 LP,51.9,363 / 336,Tangil
#72,Support,cblol00005,Diamond I - 22 LP,49.7,271 / 274,cblol
#73,Jungle,Superb,Diamond I - 20 LP,50.8,388 / 376,Spezza
#74,Jungle,Achates,Diamond I - 20 LP,49.0,307 / 319,Hallend
#75,Support,iEnygma,Diamond I - 20 LP,50.0,315 / 315,EG Voutocu
#76,Mid,Person201,Diamond I - 18 LP,49.7,215 / 218,LumiFumi
#77,ADC,GNR.UZI,Diamond I - 18 LP,49.2,357 / 368,theshy
#78,Support,BoquitaCampeon,Diamond I - 18 LP,53.9,323 / 276,Jon_14
#79,Jungle,Zevton,Diamond I - 17 LP,52.9,374 / 333,polop900
#80,ADC,TPOPIS,Diamond I - 17 LP,49.9,381 / 382,Byumbi
#81,Support,God damn i doode,Diamond I - 17 LP,52.8,251 / 224,Foxxo
#82,Jungle,Sparrow,Diamond I - 17 LP,48.8,379 / 398,Anbeeld
#83,Jungle,AJDG Hope,Diamond I - 16 LP,53.5,215 / 187,Lightandhope
#84,ADC,fulltag,Diamond I - 16 LP,53.0,289 / 256,Tangil
#85,ADC,Nero,Diamond I - 16 LP,48.9,326 / 340,Yzeerf
#86,ADC,strawberry dog,Diamond I - 15 LP,50.0,390 / 390,annauwumarie
#87,Jungle,YokoOno,Diamond I - 15 LP,51.5,240 / 226,Freezy
#88,Jungle,Kong,Diamond I - 15 LP,52.1,419 / 385,YungYiga
#89,Jungle,Zwijaczloli,Diamond I - 14 LP,50.5,279 / 274,NoszczaKrul
#90,ADC,cblol00004,Diamond I - 13 LP,50.1,208 / 207,cblol
#91,Top,迈特晒,Diamond I - 12 LP,52.2,422 / 386,sayluca
#92,Mid,PepeCool,Diamond I - 12 LP,51.3,494 / 469,LS
#93,Mid,DOINB RYZE HACK,Diamond I - 12 LP,52.5,255 / 231,wiksonix
#94,Jungle,funnel is dead,Diamond I - 12 LP,46.6,333 / 382,roysiggi
#95,Mid,Cat Mid,Diamond I - 12 LP,50.2,251 / 249,kkdj20
#96,Jungle,Blaze,Diamond I - 12 LP,50.4,353 / 347,Hit_Critical
#97,ADC,TES Jackeylove,Diamond I - 11 LP,51.4,425 / 402,LPLAhri
#98,Mid,Flame,Diamond I - 11 LP,51.6,355 / 333,Hit_Critical
#99,Jungle,Topener,Diamond I - 11 LP,49.3,361 / 371,Byumbi
#100,Top,Kritz,Diamond I - 11 LP,48.8,314 / 330,polop900
