Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,Support,Aqua,Challenger - 575 LP,68.3,382 / 177,Trindor
#2,Jungle,Pyosik,Challenger - 270 LP,62.2,593 / 360,TheStriker9
#3,Jungle,Poppey,Challenger - 258 LP,58.0,679 / 491,NAVI
#4,Top,Zuko,Challenger - 115 LP,56.0,500 / 393,Lior
#5,ADC,T1 T1,Challenger - 115 LP,64.0,462 / 260,Soraka
#6,Mid,BOOCAUWMOO,Challenger - 53 LP,54.9,541 / 445,BooCauwMoo
#7,Mid,Giorno Giovanna,Challenger - 48 LP,57.5,443 / 328,Ithirul
#8,Top,xxaznpuppy32xx,Challenger - 48 LP,55.3,649 / 525,GamerGirls
#9,ADC,Deft,Challenger - 47 LP,60.6,513 / 334,TheStriker9
#10,Support,Anbeeld,Challenger - 46 LP,57.1,620 / 465,Anbeeld
#11,Mid,Nick,Challenger - 38 LP,55.4,281 / 226,ovenjohnson
#12,Mid,Hallend,Challenger - 35 LP,54.2,324 / 274,Hallend
#13,Mid,Frimmy23,Challenger - 31 LP,58.7,759 / 534,YoloMedic
#14,Support,BoquitaCampeon,Challenger - 30 LP,55.1,395 / 322,Jon_14
#15,Jungle,David Chen,Challenger - 30 LP,50.7,489 / 476,DitIsDonny
#16,Jungle,110110010011,Challenger - 26 LP,53.3,600 / 525,110110010011
#17,Support,春夜蓝,Challenger - 21 LP,54.1,444 / 376,sayluca
#18,Support,Egirl champs onl,Challenger - 21 LP,55.6,570 / 456,Spooky
#19,Top,迈特晒,Challenger - 19 LP,53.2,519 / 457,sayluca
#20,Mid,Foxy,Challenger - 17 LP,55.1,437 / 356,Foxy
#21,ADC,BöllerBusch,Challenger - 10 LP,52.3,505 / 460,Jungler1337
#22,Support,Kutcher,Challenger - 6 LP,54.5,503 / 420,Terra
#23,Mid,Person201,Challenger - 2 LP,51.2,290 / 276,LumiFumi
#24,Top,Destructoid,Diamond I - 93 LP,51.5,507 / 478,YoloMedic
#25,Top,AshenOne,Diamond I - 91 LP,53.2,421 / 370,Fells
#26,ADC,cryhard,Diamond I - 90 LP,55.4,422 / 340,roysiggi
#27,Jungle,Bibi,Diamond I - 86 LP,53.6,502 / 434,Troeton
#28,Mid,MidBot,Diamond I - 82 LP,51.7,534 / 498,TangilBOT
#29,Top,Smug Egirl Owo,Diamond I - 80 LP,53.3,391 / 343,FunnyClown
#30,Support,CoreJJ,Diamond I - 80 LP,51.2,432 / 412,Opticreed
#31,Top,Dumbass,Diamond I - 77 LP,51.9,495 / 458,Key
#32,Jungle,Blaze,Diamond I - 77 LP,51.2,440 / 419,Hit_Critical
#33,Mid,Salt,Diamond I - 76 LP,53.2,451 / 397,JMENDOZA
#34,ADC,DoubleDouble,Diamond I - 75 LP,50.9,537 / 519,Player2225
#35,Jungle,cblol00002,Diamond I - 75 LP,51.2,402 / 383,cblol
#36,Jungle,DanDy,Diamond I - 74 LP,50.1,365 / 364,minimike97
#37,Mid,DOINB RYZE HACK,Diamond I - 74 LP,53.9,320 / 274,wiksonix
#38,Mid,Seirilyvia,Diamond I - 72 LP,50.9,436 / 420,Kythaela
#39,Support,Lambo Bambo,Diamond I - 72 LP,51.5,477 / 450,Byumbi
#40,Jungle,EG Voutocu,Diamond I - 71 LP,51.9,503 / 466,EG Voutocu
#41,Jungle,Gnima,Diamond I - 66 LP,53.6,528 / 457,YoloMedic
#42,ADC,Kudor88888882141,Diamond I - 65 LP,51.1,430 / 411,Mac
#43,ADC,Sylmarae,Diamond I - 64 LP,54.6,575 / 479,Kythaela
#44,ADC,Reign,Diamond I - 63 LP,52.3,515 / 470,ephemeral
#45,Top,RNG Letme,Diamond I - 62 LP,53.4,496 / 433,LPLAhri
#46,Jungle,YokoOno,Diamond I - 61 LP,51.4,302 / 286,Freezy
#47,Jungle,Test2,Diamond I - 56 LP,51.9,425 / 394,test
#48,Support,FPX Crisp,Diamond I - 56 LP,51.2,438 / 418,LPLAhri
#49,Mid,I like trains,Diamond I - 52 LP,48.9,330 / 345,Foxxo
#50,Support,iEnygma,Diamond I - 51 LP,49.4,380 / 389,EG Voutocu
#51,ADC,strawberry dog,Diamond I - 51 LP,50.2,459 / 455,annauwumarie
#52,Top,Funn1k,Diamond I - 50 LP,49.4,526 / 538,NAVI
#53,Top,Aryze,Diamond I - 50 LP,49.4,421 / 431,sanchesmemo
#54,Support,SEXY TAHM,Diamond I - 48 LP,51.0,361 / 347,HailOfBladesTahm
#55,ADC,Jotaro Kujo,Diamond I - 47 LP,55.1,572 / 466,Ithirul
#56,Mid,Aang,Diamond I - 46 LP,47.8,278 / 304,Lior
#57,ADC,Steven,Diamond I - 44 LP,49.5,402 / 410,ovenjohnson
#58,Jungle,4evrfloral,Diamond I - 42 LP,50.8,327 / 317,PokeEdits
#59,Mid,BottleCaps,Diamond I - 42 LP,52.5,433 / 391,Phost
#60,Mid,Arteros,Diamond I - 40 LP,53.6,558 / 484,Anbeeld
#61,Jungle,Zwijaczloli,Diamond I - 40 LP,50.8,346 / 335,NoszczaKrul
#62,Mid,cblol00003,Diamond I - 39 LP,49.8,375 / 378,cblol
#63,Jungle,Sparrow,Diamond I - 39 LP,49.6,465 / 472,Anbeeld
#64,Support,MUD Ogre,Diamond I - 38 LP,52.6,492 / 443,Randomness12
#65,Support,Jao,Diamond I - 36 LP,51.2,456 / 434,YoloMedic
#66,Top,Jonathan Joestar,Diamond I - 36 LP,52.8,290 / 259,Ithirul
#67,Top,Doran,Diamond I - 36 LP,48.9,445 / 465,TheStriker9
#68,Top,strawberry snail,Diamond I - 35 LP,52.5,501 / 454,annauwumarie
#69,ADC,Geekymanxnlx,Diamond I - 34 LP,51.3,572 / 544,DitIsDonny
#70,ADC,Goblin,Diamond I - 34 LP,51.8,396 / 368,Ghacobe
#71,Top,Punchaubuns,Diamond I - 34 LP,51.9,397 / 368,LumiFumi
#72,Jungle,Jinxnator,Diamond I - 33 LP,52.9,551 / 491,Jinxnator
#73,Top,circles,Diamond I - 33 LP,50.3,389 / 384,kokoko
#74,Support,Fells,Diamond I - 32 LP,51.9,410 / 380,Fells
#75,Mid,Gezar,Diamond I - 32 LP,56.5,427 / 329,Kai
#76,Mid,whygar player,Diamond I - 31 LP,51.9,502 / 466,roysiggi
#77,ADC,TPOPIS,Diamond I - 30 LP,50.1,462 / 460,Byumbi
#78,Jungle,woope,Diamond I - 26 LP,49.7,442 / 447,sanchesmemo
#79,Jungle,Zevton,Diamond I - 26 LP,52.6,440 / 396,polop900
#80,Support,Trick789,Diamond I - 26 LP,54.0,367 / 313,Landmeeuw
#81,Top,Jodko,Diamond I - 25 LP,51.4,492 / 466,Jinxnator
#82,ADC,Kadlin,Diamond I - 24 LP,53.8,478 / 411,Jinxnator
#83,Support,Help,Diamond I - 24 LP,48.2,299 / 321,Key
#84,Top,MJay,Diamond I - 22 LP,52.4,366 / 333,Tangil
#85,Mid,GummyBear,Diamond I - 22 LP,52.7,473 / 424,Spezza
#86,Top,Mr The Rat King,Diamond I - 20 LP,54.2,436 / 369,DangerousMolerat
#87,ADC,Nero,Diamond I - 20 LP,49.4,380 / 390,Yzeerf
#88,Support,strawberry cow,Diamond I - 20 LP,50.0,451 / 451,annauwumarie
