Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#78,Top,Smug Egirl Owo,Diamond I - 13 LP,53.1,268 / 237,FunnyClown
#79,Jungle,AJDG Hope,Diamond I - 12 LP,53.8,178 / 153,Lightandhope
#80,ADC,fulltag,Diamond I - 10 LP,52.6,249 / 224,Tangil
#81,Jungle,David Chen,Diamond I - 9 LP,50.1,376 / 375,DitIsDonny
#82,Support,Sadex,Diamond I - 9 LP,47.0,249 / 281,Spezza
#83,Mid,DOINB RYZE HACK,Diamond I - 8 LP,52.3,212 / 193,wiksonix
#84,Mid,PepeCool,Diamond I - 8 LP,51.5,443 / 417,LS
#85,Jungle,Kong,Diamond I - 8 LP,52.0,381 / 351,YungYiga
#86,Top,MrBochka,Diamond I - 7 LP,50.9,384 / 371,Anbeeld
#87,Mid,Mantra,Diamond I - 7 LP,50.4,233 / 229,FunnyClown
#88,Support,Keria,Diamond I - 7 LP,49.0,360 / 374,TheStriker9
#89,Mid,strawberry frog,Diamond I - 6 LP,50.3,305 / 301,annauwumarie
#90,Support,MUD Ogre,Diamond I - 6 LP,51.9,378 / 350,Randomness12
#91,Top,TheHentaiKing,Diamond I - 6 LP,50.2,294 / 292,DitIsDonny
#92,ADC,Kadlin,Diamond I - 6 LP,53.9,338 / 289,Jinxnator
#93,Jungle,Superb,Diamond I - 4 LP,50.7,355 / 345,Spezza
#94,Jungle,Pheoldre,Diamond I - 4 LP,50.2,381 / 378,Kythaela
#95,Jungle,cblol00002,Diamond I - 4 LP,49.6,252 / 256,cblol
#96,Support,Monkey Mokney,Diamond I - 4 LP,50.0,290 / 290,Ghacobe
#97,Support,SuppBot,Diamond I - 3 LP,51.3,283 / 269,TangilBOT
#98,Top,SmackyB,Diamond I - 3 LP,51.4,379 / 358,Byumbi
#99,Mid,BottleCaps,Diamond I - 2 LP,51.3,325 / 309,Phost
#100,Support,KuroKy,Diamond I - 2 LP,49.2,367 / 379,NAVI
