Rank number,Role,Player name,Rank,Win rate(%),Wins / losses
#1,Jungle,Test2,Diamond I - 4 LP,67.1,51 / 25
#2,Top,xxaznpuppy32xx,Diamond II - 66 LP,64.9,85 / 46
#3,Top,Raleigh Obelisk,Diamond II - 16 LP,63.9,76 / 43
#4,Jungle,HLE Viper,Diamond II - 8 LP,69.0,60 / 27
#5,Support,Aqua,Diamond III - 91 LP,59.0,69 / 48
#6,Jungle,Poppey,Diamond III - 82 LP,65.6,101 / 53
#7,Jungle,Jinxnator,Diamond III - 71 LP,61.5,72 / 45
#8,Jungle,Zevton,Diamond III - 66 LP,63.7,65 / 37
#9,ADC,T1 T1,Diamond III - 62 LP,56.3,80 / 62
#10,Top,Ben Dover,Diamond III - 61 LP,62.8,98 / 58
#11,ADC,DoubleDouble,Diamond III - 55 LP,60.0,84 / 56
#12,Mid,PepeCool,Diamond III - 44 LP,57.9,103 / 75
#13,Jungle,Pyosik,Diamond III - 44 LP,65.7,71 / 37
#14,Support,Emwues24,Diamond III - 42 LP,61.6,101 / 63
#15,Top,NoImpact,Diamond III - 40 LP,58.6,58 / 41
#16,Top,RNG Letme,Diamond III - 36 LP,63.6,91 / 52
#17,Support,Kapp Wampie,Diamond III - 35 LP,60.7,71 / 46
#18,Mid,WoO0oW,Diamond III - 29 LP,63.8,104 / 59
#19,ADC,Bacon,Diamond III - 29 LP,60.0,108 / 72
#20,Support,Duckling,Diamond III - 25 LP,62.4,103 / 62
#21,Jungle,Bibi,Diamond III - 24 LP,62.6,62 / 37
#22,Top,Top,Diamond III - 17 LP,62.2,79 / 48
#23,Support,Hisher,Diamond III - 10 LP,56.7,80 / 61
#24,Top,Amouranth,Diamond III - 8 LP,60.0,96 / 64
#25,ADC,CoolBroDenis,Diamond IV - 97 LP,62.3,94 / 57
#26,Jungle,420~truaznkity,Diamond IV - 96 LP,56.9,91 / 69
#27,Top,Aryze,Diamond IV - 89 LP,61.8,94 / 58
#28,ADC,Test4,Diamond IV - 80 LP,60.3,108 / 71
#29,Support,SuppBot,Diamond IV - 76 LP,58.2,89 / 64
#30,Mid,BottleCaps,Diamond IV - 74 LP,56.3,94 / 73
#31,Support,ye,Diamond IV - 74 LP,55.5,91 / 73
#32,Mid,Phantom,Diamond IV - 67 LP,58.8,107 / 75
#33,ADC,RightLick2Win,Diamond IV - 66 LP,61.0,94 / 60
#34,Support,Mastermind,Diamond IV - 65 LP,57.9,106 / 77
#35,Jungle,Superb,Diamond IV - 64 LP,64.0,64 / 36
#36,ADC,ADCarry,Diamond IV - 64 LP,61.4,81 / 51
