Rank number,Role,Player name,Rank,Win rate(%),Wins / losses
#1,Jungle,Poppey,Diamond I - 30 LP,66.2,129 / 66
#2,Top,Raleigh Obelisk,Diamond I - 20 LP,65.2,101 / 54
#3,Jungle,Test2,Diamond I - 18 LP,64.5,78 / 43
#4,Jungle,Zevton,Diamond II - 77 LP,62.8,91 / 54
#5,Top,Aryze,Diamond II - 64 LP,62.4,121 / 73
#6,Mid,WoO0oW,Diamond II - 54 LP,62.0,152 / 93
#7,Jungle,HLE Viper,Diamond II - 51 LP,64.7,88 / 48
#8,ADC,T1 T1,Diamond II - 6 LP,57.1,120 / 90
#9,Support,Mastermind,Diamond II - 3 LP,58.1,133 / 96
#10,Top,Ben Dover,Diamond II - 0 LP,62.4,116 / 70
#11,Jungle,time,Diamond III - 90 LP,59.5,128 / 87
#12,Top,Salsa,Diamond III - 89 LP,61.0,155 / 99
#13,Support,Emwues24,Diamond III - 82 LP,59.7,142 / 96
#14,ADC,Bacon,Diamond III - 82 LP,59.1,149 / 103
#15,ADC,Test4,Diamond III - 79 LP,59.5,150 / 102
#16,Support,Kapp Wampie,Diamond III - 76 LP,58.2,107 / 77
#17,Support,Soundboard,Diamond III - 69 LP,56.8,130 / 99
#18,Top,xxaznpuppy32xx,Diamond III - 67 LP,61.3,103 / 65
#19,Jungle,Xyras,Diamond III - 64 LP,58.9,122 / 85
#20,Support,ye,Diamond III - 61 LP,56.2,118 / 92
#21,ADC,ADCarry,Diamond III - 59 LP,60.2,118 / 78
#22,Support,Aqua,Diamond III - 58 LP,56.5,100 / 77
#23,Top,Amouranth,Diamond III - 52 LP,58.1,132 / 95
#24,Jungle,MexicanPidgeon,Diamond III - 48 LP,58.2,131 / 94
#25,ADC,PvM,Diamond III - 48 LP,57.7,124 / 91
#26,ADC,fulltag,Diamond III - 47 LP,58.3,109 / 78
#27,Top,RNG Letme,Diamond III - 45 LP,61.3,119 / 75
#28,Mid,PepeCool,Diamond III - 43 LP,56.3,139 / 108
#29,Support,SuppBot,Diamond III - 42 LP,57.4,117 / 87
#30,Mid,BOOCAUWMOO,Diamond III - 36 LP,59.8,140 / 94
#31,Top,Jonathan Joestar,Diamond III - 34 LP,55.2,138 / 112
#32,Top,NoImpact,Diamond III - 18 LP,56.3,71 / 55
#33,Mid,Mid,Diamond III - 14 LP,58.5,141 / 100
#34,Jungle,Jinxnator,Diamond III - 12 LP,58.5,107 / 76
#35,Top,MJay,Diamond III - 10 LP,60.9,123 / 79
#36,Support,Keria,Diamond III - 7 LP,56.3,120 / 93
#37,ADC,Kadlin,Diamond III - 5 LP,57.1,145 / 109
#38,Top,Pepega,Diamond III - 0 LP,57.5,107 / 79
#39,Mid,AJDG Life,Diamond IV - 96 LP,55.6,134 / 107
#40,Jungle,jeffthelizard,Diamond IV - 92 LP,61.5,123 / 77
#41,Jungle,Superb,Diamond IV - 91 LP,60.9,98 / 63
#42,Jungle,EG Voutocu,Diamond IV - 88 LP,56.6,116 / 89
#43,ADC,Sinon,Diamond IV - 87 LP,56.0,136 / 107
#44,Top,Top,Diamond IV - 87 LP,58.1,108 / 78
#45,Support,Nightlight,Diamond IV - 87 LP,57.7,112 / 82
#46,ADC,Leopan,Diamond IV - 84 LP,59.7,123 / 83
#47,Jungle,Hidden,Diamond IV - 82 LP,56.2,123 / 96
#48,Mid,Seirilyvia,Diamond IV - 80 LP,54.4,131 / 110
#49,Jungle,Bibi,Diamond IV - 80 LP,58.5,83 / 59
#50,Support,FPX Crisp,Diamond IV - 80 LP,55.9,123 / 97
#51,Top,DRX Deft,Diamond IV - 78 LP,59.0,111 / 77
#52,ADC,BotBot,Diamond IV - 74 LP,55.8,125 / 99
#53,Support,Hisher,Diamond IV - 74 LP,54.1,118 / 100
#54,Mid,Jomeil,Diamond IV - 74 LP,56.1,133 / 104
#55,Support,Nite,Diamond IV - 73 LP,57.0,146 / 110
#56,Mid,TES knight9,Diamond IV - 72 LP,55.9,142 / 112
#57,Mid,BottleCaps,Diamond IV - 70 LP,54.8,119 / 98
#58,ADC,Vahvel,Diamond IV - 70 LP,51.9,120 / 111
#59,Support,Deontic,Diamond IV - 70 LP,58.2,145 / 104
#60,Jungle,Ceasarna,Diamond IV - 69 LP,57.9,128 / 93
#61,Top,Randomsmeker1234,Diamond IV - 68 LP,60.4,134 / 88
#62,Jungle,Pyosik,Diamond IV - 66 LP,59.4,92 / 63
#63,Jungle,woope,Diamond IV - 63 LP,56.3,144 / 112
#64,Jungle,YokoOno,Diamond IV - 58 LP,56.0,130 / 102
#65,Mid,Arteros,Diamond IV - 58 LP,58.6,112 / 79
#66,Top,SS Flandre,Diamond IV - 58 LP,51.8,99 / 92
#67,Support,Sherlock,Diamond IV - 58 LP,56.9,115 / 87
#68,Top,AJDG Light,Diamond IV - 55 LP,54.4,129 / 108
#69,Mid,NULL,Diamond IV - 54 LP,55.1,125 / 102
#70,Jungle,SpiderLilyAI,Diamond IV - 51 LP,57.6,118 / 87
#71,Top,Fran5,Diamond IV - 49 LP,53.2,134 / 118
#72,ADC,4,Diamond IV - 49 LP,54.2,129 / 109
#73,Support,Duckling,Diamond IV - 46 LP,59.3,131 / 90
#74,ADC,Pokimane,Diamond IV - 45 LP,55.3,135 / 109
#75,Jungle,Gnima,Diamond IV - 41 LP,57.0,130 / 98
#76,Top, IG TheShy,Diamond IV - 40 LP,58.0,119 / 86
#77,Support,flaree,Diamond IV - 36 LP,54.8,143 / 118
#78,Support,SEXY TAHM,Diamond IV - 32 LP,55.5,111 / 89
#79,Top,Washed up pro,Diamond IV - 31 LP,56.0,102 / 80
#80,Support,Kutcher,Diamond IV - 31 LP,56.8,121 / 92
#81,ADC,RightLick2Win,Diamond IV - 30 LP,57.9,124 / 90
#82,Support,Sinon onii-chan,Diamond IV - 28 LP,57.8,133 / 97
#83,Support,KuroKy,Diamond IV - 28 LP,56.9,144 / 109
#84,ADC,Perkz,Diamond IV - 23 LP,55.5,116 / 93
#85,Jungle,Matthew,Diamond IV - 22 LP,55.6,125 / 100
#86,Top,Always Splits,Diamond IV - 21 LP,56.6,116 / 89
#87,Mid,IG Wh1t3zZ,Diamond IV - 21 LP,53.7,122 / 105
#88,Support,Jodini the GREAT,Diamond IV - 17 LP,54.5,120 / 100
#89,Support,JANNA PLAYER :3,Diamond IV - 17 LP,52.8,124 / 111
#90,Mid,DOINB RYZE HACK,Diamond IV - 17 LP,53.4,127 / 111
#91,Top,TopBot,Diamond IV - 17 LP,53.8,127 / 109
#92,Mid,Symphony,Diamond IV - 16 LP,55.7,118 / 94
#93,Jungle,Jungle,Diamond IV - 15 LP,54.0,129 / 110
#94,Mid,Midlaner,Diamond IV - 14 LP,58.7,128 / 90
#95,Top,Kritz,Diamond IV - 14 LP,55.6,135 / 108
#96,Jungle,2,Diamond IV - 13 LP,57.3,126 / 94
#97,Mid,100 Soligo,Diamond IV - 13 LP,52.7,128 / 115
#98,Jungle,JglBot,Diamond IV - 12 LP,56.3,112 / 87
#99,Mid,Choky,Diamond IV - 11 LP,54.3,114 / 96
#100,Top,R0ck,Diamond IV - 11 LP,55.5,122 / 98
