Rank number,Role,Player name,Rank,Win rate(%),Wins / losses
#1,Jungle,time,Diamond I - 76 LP,61.8,170 / 105
#2,Top,Salsa,Diamond I - 72 LP,62.5,197 / 118
#3,Jungle,Xyras,Diamond I - 45 LP,60.0,165 / 110
#4,Jungle,HLE Viper,Diamond I - 40 LP,61.7,137 / 85
#5,Mid,PepeCool,Diamond I - 35 LP,57.5,188 / 139
#6,Top,xxaznpuppy32xx,Diamond I - 29 LP,62.3,137 / 83
#7,Jungle,Pyosik,Diamond I - 15 LP,61.6,157 / 98
#8,Top,Amouranth,Diamond I - 8 LP,59.2,174 / 120
#9,Jungle,Poppey,Diamond I - 7 LP,64.3,146 / 81
#10,Jungle,MexicanPidgeon,Diamond I - 2 LP,59.6,164 / 111
#11,Top,Pepega,Diamond I - 0 LP,59.1,143 / 99
#12,ADC,T1 T1,Diamond II - 98 LP,57.6,163 / 120
#13,ADC,XBOCT,Diamond II - 96 LP,56.9,182 / 138
#14,Jungle,Zevton,Diamond II - 93 LP,61.6,114 / 71
#15,Support,Senzawa,Diamond II - 93 LP,57.0,167 / 126
#16,Support,Alder88,Diamond II - 86 LP,57.1,173 / 130
#17,Jungle,Jinxnator,Diamond II - 83 LP,59.9,139 / 93
#18,Jungle,Bibi,Diamond II - 76 LP,60.1,113 / 75
#19,Jungle,Test2,Diamond II - 74 LP,62.1,113 / 69
#20,Support,Kapp Wampie,Diamond II - 65 LP,57.5,158 / 117
#21,Top,Ben Dover,Diamond II - 57 LP,60.7,153 / 99
#22,Top,DRX Deft,Diamond II - 49 LP,58.0,171 / 124
#23,Top,Randomsmeker1234,Diamond II - 39 LP,59.7,190 / 128
#24,Mid,BOOCAUWMOO,Diamond II - 38 LP,58.5,196 / 139
#25,ADC,fulltag,Diamond II - 37 LP,58.2,153 / 110
#26,Support,Monkey Mokney,Diamond II - 36 LP,56.3,174 / 135
#27,Jungle,Superb,Diamond II - 34 LP,61.8,136 / 84
#28,Support,Soundboard,Diamond II - 31 LP,57.1,178 / 134
#29,Top,DoinB,Diamond II - 31 LP,57.8,170 / 124
#30,Top,Raleigh Obelisk,Diamond II - 27 LP,60.9,131 / 84
#31,ADC,Jotaro Kujo,Diamond II - 19 LP,55.5,183 / 147
#32,Support,Hisher,Diamond II - 14 LP,54.9,158 / 130
#33,Support,Keria,Diamond II - 10 LP,55.5,181 / 145
#34,Mid,Flame,Diamond II - 5 LP,53.3,146 / 128
