Rank number,Role,Player name,Rank,Win rate(%),Wins / losses
#1,Support,225,Platinum I - 14 LP,68.8,64 / 29
#2,Jungle,Pyosik,Platinum II - 89 LP,68.2,90 / 42
#3,Support,Kapp Wampie,Platinum II - 77 LP,74.2,49 / 17
#4,Top,TopBot,Platinum II - 68 LP,64.7,66 / 36
#5,Mid,Galio,Platinum II - 41 LP,61.8,81 / 50
#6,Jungle,EDG Clearlove7,Platinum II - 33 LP,52.5,73 / 66
#7,Mid,Phantom,Platinum II - 27 LP,61.0,83 / 53
#8,Jungle,Zevton,Platinum II - 15 LP,64.8,57 / 31
#9,Mid,Rexxar,Platinum II - 13 LP,65.5,78 / 41
#10,ADC,TPOPIS,Platinum II - 13 LP,61.5,72 / 45
#11,Jungle,Matthew,Platinum II - 12 LP,65.5,76 / 40
#12,Jungle,BelleDelphine,Platinum II - 9 LP,60.6,86 / 56
#13,Top,thegamingzebra,Platinum II - 9 LP,66.0,66 / 34
#14,Top,xxaznpuppy32xx,Platinum II - 5 LP,60.4,87 / 57
#15,ADC,F,Platinum II - 2 LP,53.8,64 / 55
#16,Jungle,Test2,Platinum II - 1 LP,63.5,61 / 35
#17,Support,FPX Crisp,Platinum III - 97 LP,56.5,74 / 57
#18,Top,DRX Deft,Platinum III - 89 LP,54.9,79 / 65
#19,ADC,Buff Trunks,Platinum III - 75 LP,60.2,56 / 37
#20,Top,SUPER TOP,Platinum III - 72 LP,59.2,61 / 42
#21,ADC,DoubleDouble,Platinum III - 72 LP,57.9,66 / 48
#22,Top,HAHAHAHAHAHAXD,Platinum III - 71 LP,59.7,77 / 52
#23,Mid,Mid Lane Bot,Platinum III - 69 LP,63.5,61 / 35
#24,Jungle,Jinxnator,Platinum III - 69 LP,62.3,71 / 43
#25,Jungle,Bibi,Platinum III - 67 LP,59.8,67 / 45
#26,Mid,TES knight9,Platinum III - 63 LP,51.7,74 / 69
#27,Jungle,Hidden,Platinum III - 54 LP,63.9,69 / 39
#28,Top,Top,Platinum III - 53 LP,57.1,64 / 48
#29,Support,Monkey Mokney,Platinum III - 52 LP,62.5,80 / 48
#30,Top,Jabron,Platinum III - 50 LP,57.0,69 / 52
#31,Jungle,Dopa,Platinum III - 50 LP,60.2,50 / 33
#32,Support,Tratz,Platinum III - 49 LP,59.1,65 / 45
#33,Top,Smug Egirl Owo,Platinum III - 47 LP,55.9,62 / 49
#34,Top,SS Flandre,Platinum III - 44 LP,58.2,78 / 56
#35,Mid,Cant Roam,Platinum III - 43 LP,52.0,65 / 60
#36,Support,Embrace,Platinum III - 42 LP,57.9,70 / 51
#37,Mid,Megumin,Platinum III - 42 LP,55.3,78 / 63
#38,Mid,TES Jackeylove,Platinum III - 41 LP,55.8,82 / 65
#39,Jungle,tarzaned,Platinum III - 41 LP,55.6,84 / 67
#40,Mid,Mantra,Platinum III - 40 LP,44.6,50 / 62
#41,ADC,BIG POPPA PUMP,Platinum III - 39 LP,51.0,49 / 47
#42,Support,Support and AFk,Platinum III - 37 LP,50.0,49 / 49
#43,Jungle,Ricefarmer,Platinum III - 36 LP,57.7,56 / 41
#44,Mid,Mid,Platinum III - 35 LP,56.6,60 / 46
#45,ADC,Left leg,Platinum III - 35 LP,50.5,54 / 53
#46,Jungle,Superb,Platinum III - 35 LP,62.1,54 / 33
#47,Mid,Kapp Light,Platinum III - 35 LP,52.1,49 / 45
#48,Support,Deontic,Platinum III - 31 LP,58.7,74 / 52
#49,ADC,Adc,Platinum III - 31 LP,59.0,69 / 48
#50,Jungle,SirDigby123,Platinum III - 30 LP,49.6,58 / 59
#51,Jungle,Wrath,Platinum III - 30 LP,59.1,78 / 54
#52,Top,Rywanna,Platinum III - 30 LP,50.0,53 / 53
#53,Jungle,Kazuma,Platinum III - 30 LP,50.3,72 / 71
#54,Mid,Foxy,Platinum III - 27 LP,55.6,55 / 44
#55,Jungle,pete_boyo,Platinum III - 26 LP,57.4,74 / 55
#56,Support,mars best bard,Platinum III - 25 LP,59.4,79 / 54
#57,ADC,B0n Ivern,Platinum III - 25 LP,56.1,60 / 47
#58,Top,Amouranth,Platinum III - 24 LP,48.5,64 / 68
#59,Support,Help,Platinum III - 23 LP,50.0,63 / 63
#60,ADC,Prodigy,Platinum III - 22 LP,54.9,62 / 51
#61,Jungle,NerfJarvan,Platinum III - 20 LP,50.0,50 / 50
#62,Jungle,TarzanFaker,Platinum III - 17 LP,52.4,54 / 49
#63,Mid,Lucius ,Platinum III - 15 LP,55.8,53 / 42
#64,Top,Fran5,Platinum III - 14 LP,57.4,58 / 43
#65,Top,Painkiler,Platinum III - 12 LP,57.0,61 / 46
#66,Mid,RunningDown,Platinum III - 11 LP,48.4,59 / 63
#67,Top,Plankuaa,Platinum III - 11 LP,49.0,47 / 49
#68,Jungle,Sparrow,Platinum III - 11 LP,54.5,72 / 60
#69,Support,TheRelic4411,Platinum III - 10 LP,54.9,62 / 51
#70,ADC,Rigomi,Platinum III - 10 LP,50.9,59 / 57
#71,Jungle,HLE Viper,Platinum III - 10 LP,64.0,89 / 50
#72,Jungle,Broxah,Platinum III - 9 LP,55.5,61 / 49
#73,Top,Landmeeuw,Platinum III - 9 LP,55.6,60 / 48
#74,Support,keepOnLiving,Platinum III - 9 LP,54.6,53 / 44
#75,Top,xX5W4GM4573RXx,Platinum III - 8 LP,49.6,58 / 59
#76,Top,Rafitxos,Platinum III - 8 LP,49.5,51 / 52
#77,ADC,Asian City,Platinum III - 7 LP,58.0,58 / 42
#78,ADC,PepeLaugh,Platinum III - 6 LP,51.0,77 / 74
#79,ADC,SOFTyINT,Platinum III - 6 LP,56.8,54 / 41
#80,ADC,ύψιλον,Platinum III - 5 LP,52.3,45 / 41
#81,Support,Anbeeld,Platinum III - 5 LP,54.0,68 / 58
#82,Support,Aqua,Platinum III - 5 LP,57.7,71 / 52
#83,Top,Dumbass,Platinum III - 5 LP,53.2,66 / 58
#84,Support,CoreJJ,Platinum III - 4 LP,57.8,67 / 49
#85,Support,Flash,Platinum III - 4 LP,52.4,44 / 40
#86,Top,Sparkey705,Platinum III - 3 LP,52.3,58 / 53
#87,ADC,RightLick2Win,Platinum III - 3 LP,50.5,54 / 53
#88,Top,Washed up pro,Platinum III - 3 LP,57.5,69 / 51
#89,Top,Darkness,Platinum III - 3 LP,48.3,73 / 78
#90,Top,give me life,Platinum III - 3 LP,50.4,59 / 58
#91,Mid,Bye Bye Driver,Platinum III - 2 LP,59.0,59 / 41
#92,ADC,Kanashimi Clown,Platinum III - 1 LP,53.5,69 / 60
#93,Jungle,GankMe,Platinum III - 0 LP,48.1,52 / 56
#94,ADC,Unable to Farm,Platinum III - 0 LP,47.7,61 / 67
#95,Support,Nite,Platinum III - 0 LP,55.9,71 / 56
#96,Mid,Ziad,Platinum III - 0 LP,50.0,60 / 60
#97,Mid,Tap,Platinum III - 0 LP,57.0,53 / 40
#98,Support,LuluOTP,Platinum III - 0 LP,55.4,72 / 58
#99,Mid,Byumbert,Platinum III - 0 LP,52.7,69 / 62
#100,Mid,Simonze,Platinum IV - 99 LP,56.0,61 / 48
