Rank number,Role,Player name,Rank,Win rate(%),Wins / losses
#1,Top,xxaznpuppy32xx,Platinum II - 23 LP,67.3,33 / 16
#2,Jungle,Hidden,Platinum III - 76 LP,86.7,26 / 4
#3,Support,Kapp Wampie,Platinum III - 67 LP,73.0,27 / 10
#4,Jungle,Zevton,Platinum III - 52 LP,69.2,18 / 8
#5,Top,TopBot,Platinum III - 51 LP,64.7,22 / 12
#6,Support,FPX Crisp,Platinum III - 45 LP,57.6,19 / 14
#7,ADC,lilcutiepaipee,Platinum III - 45 LP,62.8,27 / 16
#8,Jungle,chef,Platinum III - 36 LP,70.6,24 / 10
#9,Jungle,Pyosik,Platinum III - 25 LP,75.0,36 / 12
#10,Mid,Rexxar,Platinum III - 21 LP,70.7,29 / 12
#11,ADC,Haru Okumura,Platinum III - 21 LP,56.9,29 / 22
#12,Top,shuiwen,Platinum III - 20 LP,69.2,27 / 12
#13,Jungle,Poppey,Platinum III - 16 LP,52.0,26 / 24
#14,Jungle,Superb,Platinum III - 15 LP,69.2,18 / 8
#15,Top,Kaleid,Platinum III - 15 LP,68.9,31 / 14
#16,Top,Raleigh Obelisk,Platinum III - 14 LP,56.4,22 / 17
#17,Mid,BOOCAUWMOO,Platinum III - 9 LP,60.0,18 / 12
#18,Support,unicornpetpetuwu,Platinum III - 1 LP,70.3,26 / 11
#19,Top,allee,Platinum III - 0 LP,71.4,25 / 10
#20,Support,Embrace,Platinum IV - 95 LP,65.0,26 / 14
#21,Support,CoreJJ,Platinum IV - 90 LP,60.0,24 / 16
#22,Mid,Jensen,Platinum IV - 84 LP,65.8,25 / 13
#23,Top,Jabron,Platinum IV - 84 LP,58.7,27 / 19
#24,ADC,Sinon,Platinum IV - 84 LP,65.7,23 / 12
#25,Support,mattatti,Platinum IV - 80 LP,61.8,21 / 13
#26,Jungle,tarzaned,Platinum IV - 76 LP,62.9,22 / 13
#27,Jungle,Bibi,Platinum IV - 76 LP,67.7,21 / 10
#28,Jungle,JglBot,Platinum IV - 75 LP,56.8,25 / 19
#29,ADC,Leopan,Platinum IV - 74 LP,65.7,23 / 12
#30,Jungle,Sparrow,Platinum IV - 74 LP,57.9,22 / 16
#31,Support,Deontic,Platinum IV - 73 LP,54.0,27 / 23
#32,Jungle,BelleDelphine,Platinum IV - 73 LP,59.0,23 / 16
#33,Top,thegamingzebra,Platinum IV - 71 LP,63.2,24 / 14
#34,Top,Always Splits,Platinum IV - 71 LP,63.6,28 / 16
#35,Mid,Salt,Platinum IV - 70 LP,58.6,17 / 12
#36,Mid,MidBot,Platinum IV - 69 LP,56.4,22 / 17
#37,Mid,Phantom,Platinum IV - 68 LP,62.0,31 / 19
#38,Top,Amouranth,Platinum IV - 65 LP,48.6,18 / 19
#39,ADC,Bait,Platinum IV - 64 LP,50.0,26 / 26
#40,Mid,Arteros,Platinum IV - 64 LP,51.0,26 / 25
#41,ADC,KittenViti,Platinum IV - 64 LP,61.4,27 / 17
#42,Support,mars best bard,Platinum IV - 63 LP,68.3,28 / 13
#43,Mid,kittyperry,Platinum IV - 61 LP,41.2,21 / 30
#44,Mid,do you have dad,Platinum IV - 61 LP,59.5,22 / 15
#45,Support,healslut,Platinum IV - 60 LP,56.1,23 / 18
#46,Support,Keria,Platinum IV - 60 LP,75.0,27 / 9
#47,Mid,Neekolul,Platinum IV - 60 LP,51.4,18 / 17
#48,Support,Rookie,Platinum IV - 60 LP,56.4,22 / 17
#49,Mid,IG Wh1t3zZ,Platinum IV - 60 LP,56.8,25 / 19
#50,Mid,violator,Platinum IV - 60 LP,57.6,34 / 25
#51,Support,Hisher,Platinum IV - 59 LP,50.0,15 / 15
#52,Jungle,Kasanova,Platinum IV - 57 LP,67.9,19 / 9
#53,Support,Aqua,Platinum IV - 57 LP,62.2,23 / 14
#54,Jungle,FilthyBrandMain,Platinum IV - 55 LP,60.0,30 / 20
#55,Support,SEXY TAHM,Platinum IV - 55 LP,64.7,22 / 12
#56,Mid,Naruto,Platinum IV - 54 LP,58.3,21 / 15
