Rank number,Role,Player name,Rank,Win rate(%),Wins / losses
#1,Top,TopBot,Platinum II - 41 LP,67.9,36 / 17
#2,Support,Kapp Wampie,Platinum II - 21 LP,76.1,35 / 11
#3,Jungle,Pyosik,Platinum II - 18 LP,73.9,51 / 18
#4,Jungle,BelleDelphine,Platinum III - 94 LP,65.2,43 / 23
#5,Jungle,Zevton,Platinum III - 68 LP,66.7,26 / 13
#6,Jungle,Wrath,Platinum III - 51 LP,61.0,47 / 30
#7,Jungle,Poppey,Platinum III - 50 LP,53.9,41 / 35
#8,Jungle,ibims1long,Platinum III - 47 LP,58.3,42 / 30
#9,Jungle,Hidden,Platinum III - 40 LP,74.4,32 / 11
#10,Top,Kapp MenInBlack,Platinum III - 36 LP,74.0,37 / 13
#11,Mid,Galio,Platinum III - 30 LP,61.2,41 / 26
#12,Mid,Phantom,Platinum III - 21 LP,60.0,42 / 28
#13,ADC,Leopan,Platinum III - 20 LP,64.3,36 / 20
#14,Mid,Arteros,Platinum III - 19 LP,55.3,42 / 34
#15,Top,Astrea,Platinum III - 19 LP,61.4,35 / 22
#16,Support,mattatti,Platinum III - 12 LP,62.7,37 / 22
#17,Mid,fæker,Platinum III - 9 LP,50.8,33 / 32
#18,Support,CoreJJ,Platinum III - 5 LP,60.3,35 / 23
#19,Support,AntiMegalomania,Platinum III - 3 LP,52.7,39 / 35
#20,Support,Hisher,Platinum III - 2 LP,57.1,24 / 18
#21,Support,GodEmperorSwain,Platinum III - 1 LP,60.9,39 / 25
#22,ADC,Goblin,Platinum III - 0 LP,51.7,30 / 28
#23,Jungle,funnel is dead,Platinum III - 0 LP,70.6,36 / 15
#24,Top,shuiwen,Platinum IV - 99 LP,64.3,36 / 20
#25,ADC,Haru Okumura,Platinum IV - 98 LP,54.9,39 / 32
#26,Mid,Neekolul,Platinum IV - 98 LP,53.7,29 / 25
#27,ADC,lilcutiepaipee,Platinum IV - 97 LP,59.0,36 / 25
#28,Top,Smug Egirl Owo,Platinum IV - 97 LP,63.9,23 / 13
#29,Top,MJay,Platinum IV - 96 LP,66.7,34 / 17
#30,Top,Raleigh Obelisk,Platinum IV - 96 LP,55.6,30 / 24
#31,ADC,Bait,Platinum IV - 96 LP,54.3,38 / 32
#32,ADC,Pokimane,Platinum IV - 96 LP,56.1,32 / 25
#33,Jungle,Superb,Platinum IV - 95 LP,62.5,30 / 18
#34,Top,thegamingzebra,Platinum IV - 91 LP,64.2,34 / 19
#35,Top,Pepega,Platinum IV - 91 LP,46.7,43 / 49
#36,Support,SEXY TAHM,Platinum IV - 89 LP,66.0,33 / 17
#37,Top,Landmeeuw,Platinum IV - 89 LP,59.3,35 / 24
#38,Mid,violator,Platinum IV - 88 LP,59.2,45 / 31
#39,Jungle,Jinxnator,Platinum IV - 88 LP,59.6,31 / 21
#40,Jungle,Sparrow,Platinum IV - 87 LP,59.7,37 / 25
#41,Jungle,JglBot,Platinum IV - 86 LP,57.7,41 / 30
#42,ADC,Amadeus,Platinum IV - 83 LP,58.6,34 / 24
#43,ADC,TheLegend,Platinum IV - 83 LP,59.3,32 / 22
#44,Top,allee,Platinum IV - 83 LP,65.4,34 / 18
#45,Top,xxaznpuppy32xx,Platinum IV - 83 LP,59.2,45 / 31
#46,Top,MrBochka,Platinum IV - 82 LP,51.7,31 / 29
#47,Mid,Jensen,Platinum IV - 80 LP,62.7,37 / 22
#48,Mid,Rexxar,Platinum IV - 80 LP,62.5,40 / 24
#49,Top,Doran,Platinum IV - 80 LP,55.3,26 / 21
#50,Top,Snowguy,Platinum IV - 79 LP,46.1,35 / 41
#51,Support,Chained,Platinum IV - 79 LP,57.1,28 / 21
#52,ADC,Adc,Platinum IV - 78 LP,58.6,41 / 29
#53,Mid,Dendi,Platinum IV - 77 LP,45.3,34 / 41
#54,ADC,Krono,Platinum IV - 77 LP,62.7,32 / 19
#55,Jungle,pete_boyo,Platinum IV - 77 LP,56.7,38 / 29
#56,Jungle,Exemplar,Platinum IV - 76 LP,62.0,31 / 19
#57,ADC,BöllerBusch,Platinum IV - 76 LP,59.6,31 / 21
#58,Support,Redman,Platinum IV - 75 LP,57.1,32 / 24
#59,Support,Keria,Platinum IV - 75 LP,68.3,41 / 19
#60,Support,Your,Platinum IV - 75 LP,50.0,23 / 23
#61,Top,Sioux,Platinum IV - 74 LP,54.2,26 / 22
#62,ADC,man no hat,Platinum IV - 72 LP,58.9,33 / 23
#63,Mid,Flame,Platinum IV - 71 LP,59.6,34 / 23
#64,Support,Aqua,Platinum IV - 71 LP,60.3,35 / 23
#65,Top,TurboThrow,Platinum IV - 70 LP,54.9,28 / 23
#66,ADC,Kapp Wasfürsaft,Platinum IV - 70 LP,50.0,19 / 19
#67,Top,HAHAHAHAHAHAXD,Platinum IV - 70 LP,57.4,35 / 26
#68,Top,TheHentaiKing,Platinum IV - 70 LP,67.6,25 / 12
#69,Mid,Rinne Sonogami,Platinum IV - 69 LP,56.4,31 / 24
#70,Jungle,Never Ganks,Platinum IV - 68 LP,55.4,31 / 25
#71,Support,TheRelic4411,Platinum IV - 68 LP,50.8,31 / 30
#72,Jungle,chef,Platinum IV - 68 LP,60.0,30 / 20
#73,Jungle,Matthew,Platinum IV - 68 LP,61.8,34 / 21
#74,Support,PepeLove,Platinum IV - 67 LP,45.5,30 / 36
#75,Top,Funn1k,Platinum IV - 67 LP,53.3,32 / 28
#76,Support,Anbeeld,Platinum IV - 67 LP,54.5,30 / 25
#77,Support,FPX Crisp,Platinum IV - 67 LP,53.6,30 / 26
#78,Top,SS Flandre,Platinum IV - 66 LP,54.9,39 / 32
#79,ADC,Rio Sonogami,Platinum IV - 66 LP,64.7,33 / 18
#80,Mid,do you have dad,Platinum IV - 66 LP,59.6,28 / 19
#81,Jungle,Bibi,Platinum IV - 65 LP,60.8,31 / 20
#82,ADC,Deft,Platinum IV - 64 LP,53.8,28 / 24
#83,Support,healslut,Platinum IV - 64 LP,55.9,33 / 26
#84,Mid,Naruto,Platinum IV - 63 LP,59.2,29 / 20
