Rank number,Role,Player name,Rank,Win rate(%),Wins / losses
#1,Top,Salsa,Diamond I - 55 LP,62.7,185 / 110
#2,Jungle,Test2,Diamond I - 36 LP,63.3,107 / 62
#3,Top,xxaznpuppy32xx,Diamond I - 28 LP,62.4,131 / 79
#4,Jungle,Bibi,Diamond I - 17 LP,61.3,111 / 70
#5,Jungle,Xyras,Diamond I - 13 LP,59.8,153 / 103
#6,Top,Amouranth,Diamond I - 9 LP,59.6,168 / 114
#7,Jungle,Poppey,Diamond I - 8 LP,64.5,142 / 78
#8,Top,Randomsmeker1234,Diamond I - 8 LP,60.9,176 / 113
#9,Jungle,time,Diamond I - 3 LP,60.9,157 / 101
#10,Mid,WoO0oW,Diamond II - 97 LP,60.3,193 / 127
#11,Mid,BOOCAUWMOO,Diamond II - 92 LP,59.8,183 / 123
#12,Support,Kapp Wampie,Diamond II - 92 LP,58.2,145 / 104
#13,Jungle,HLE Viper,Diamond II - 85 LP,60.9,126 / 81
#14,Support,Senzawa,Diamond II - 76 LP,56.9,160 / 121
#15,Support,Soundboard,Diamond II - 74 LP,58.0,166 / 120
#16,Mid,PepeCool,Diamond II - 73 LP,56.6,175 / 134
#17,ADC,T1 T1,Diamond II - 70 LP,57.3,150 / 112
#18,Jungle,Pyosik,Diamond II - 63 LP,61.1,138 / 88
#19,Jungle,Zevton,Diamond II - 63 LP,61.4,108 / 68
#20,ADC,fulltag,Diamond II - 61 LP,59.2,141 / 97
#21,Top,AJDG Light,Diamond II - 57 LP,56.7,170 / 130
#22,Support,Keria,Diamond II - 52 LP,56.6,164 / 126
#23,Top,DoinB,Diamond II - 50 LP,58.3,165 / 118
#24,Top,Pepega,Diamond II - 49 LP,58.6,130 / 92
#25,Top,Raleigh Obelisk,Diamond II - 45 LP,62.2,115 / 70
#26,Top,Ben Dover,Diamond II - 39 LP,60.9,142 / 91
#27,Support,Alder88,Diamond II - 26 LP,56.5,161 / 124
#28,ADC,XBOCT,Diamond II - 15 LP,56.1,170 / 133
#29,Jungle,Superb,Diamond II - 12 LP,61.7,129 / 80
#30,Support,Mastermind,Diamond II - 11 LP,57.1,157 / 118
#31,Support,Aqua,Diamond III - 96 LP,56.0,131 / 103
#32,Jungle,YokoOno,Diamond III - 95 LP,57.2,158 / 118
#33,Jungle,Jinxnator,Diamond III - 95 LP,58.9,129 / 90
#34,Jungle,MexicanPidgeon,Diamond III - 90 LP,58.1,151 / 109
#35,ADC,PvM,Diamond III - 86 LP,56.1,162 / 127
#36,ADC,CoolBroDenis,Diamond III - 81 LP,58.3,162 / 116
#37,ADC,Bacon,Diamond III - 81 LP,58.3,187 / 134
#38,ADC,Sinon,Diamond III - 78 LP,56.5,169 / 130
#39,Mid,MidBot,Diamond III - 77 LP,56.2,159 / 124
#40,ADC,DoubleDouble,Diamond III - 75 LP,54.3,165 / 139
#41,Top,RNG Letme,Diamond III - 72 LP,60.0,153 / 102
#42,ADC,Japan,Diamond III - 67 LP,56.8,172 / 131
#43,ADC,Adc,Diamond III - 64 LP,55.9,146 / 115
#44,Mid,Slimsnoker,Diamond III - 62 LP,56.2,164 / 128
#45,ADC,Test4,Diamond III - 62 LP,57.2,186 / 139
#46,Mid,Midlaner,Diamond III - 62 LP,59.7,166 / 112
#47,Top,DRX Deft,Diamond III - 61 LP,57.6,152 / 112
#48,ADC,Vahvel,Diamond III - 61 LP,53.3,147 / 129
#49,Top,NoImpact,Diamond III - 59 LP,56.2,95 / 74
#50,Support,Emwues24,Diamond III - 58 LP,57.9,165 / 120
#51,Jungle,Luv Email,Diamond III - 50 LP,54.3,165 / 139
#52,Mid,Arteros,Diamond III - 40 LP,57.6,147 / 108
#53,ADC,JlNX,Diamond III - 39 LP,58.0,160 / 116
#54,Mid,Flame,Diamond III - 39 LP,52.3,136 / 124
#55,Mid,Mid,Diamond III - 34 LP,57.3,169 / 126
#56,Support,ye,Diamond III - 33 LP,54.4,147 / 123
#57,ADC,Pokimane,Diamond III - 33 LP,56.6,172 / 132
#58,Jungle,strawberry cat,Diamond III - 32 LP,54.8,182 / 150
#59,Jungle,Blaze,Diamond III - 31 LP,54.0,154 / 131
#60,ADC,ADCarry,Diamond III - 28 LP,58.0,149 / 108
#61,ADC,Leopan,Diamond III - 28 LP,58.1,150 / 108
#62,Top,Top,Diamond III - 27 LP,57.5,134 / 99
#63,Mid,Seirilyvia,Diamond III - 27 LP,55.1,179 / 146
#64,Top,Aryze,Diamond III - 26 LP,59.2,141 / 97
#65,Jungle,jeffthelizard,Diamond III - 25 LP,59.5,147 / 100
#66,Top,Funn1k,Diamond III - 25 LP,55.4,168 / 135
#67,ADC,Char,Diamond III - 25 LP,51.7,151 / 141
#68,Mid,BottleCaps,Diamond III - 24 LP,54.5,151 / 126
#69,Mid,strawberry frog,Diamond III - 22 LP,52.5,159 / 144
#70,Support,Nite,Diamond III - 20 LP,56.4,180 / 139
#71,Top,MJay,Diamond III - 20 LP,58.4,150 / 107
#72,Support,Deontic,Diamond III - 20 LP,56.7,183 / 140
#73,Support,Sinon onii-chan,Diamond III - 17 LP,57.4,183 / 136
#74,Support,Kutcher,Diamond III - 15 LP,56.9,145 / 110
#75,Jungle,Garrosh,Diamond III - 12 LP,55.8,139 / 110
#76,Mid,NULL,Diamond III - 11 LP,55.0,153 / 125
#77,Mid,Hjornet 7,Diamond III - 8 LP,56.0,183 / 144
#78,Support,Nightlight,Diamond III - 5 LP,56.3,139 / 108
#79,Mid,Jensen,Diamond III - 2 LP,53.6,135 / 117
#80,Top,Punchaubuns,Diamond III - 0 LP,57.9,147 / 107
#81,Support,JhinSuppNoTroll,Diamond IV - 99 LP,51.3,137 / 130
#82,Mid,Bye Bye Driver,Diamond IV - 99 LP,49.4,129 / 132
#83,Jungle,EG Voutocu,Diamond IV - 98 LP,55.2,143 / 116
#84,Jungle,DanDy,Diamond IV - 95 LP,58.2,138 / 99
#85,ADC,RNG Uzi,Diamond IV - 95 LP,54.1,172 / 146
#86,ADC,Rikish,Diamond IV - 94 LP,50.6,137 / 134
#87,ADC,BotBot,Diamond IV - 94 LP,54.9,158 / 130
#88,Top,TopBot,Diamond IV - 93 LP,54.3,151 / 127
#89,Support,Support,Diamond IV - 93 LP,54.0,147 / 125
#90,Support,SuppBot,Diamond IV - 93 LP,55.3,141 / 114
#91,Support,Hisher,Diamond IV - 92 LP,53.5,145 / 126
#92,Jungle,woope,Diamond IV - 90 LP,55.3,173 / 140
#93,Support,Duckling,Diamond IV - 89 LP,57.9,161 / 117
#94,Top,Maria Arusu,Diamond IV - 84 LP,58.0,138 / 100
#95,ADC,Kadlin,Diamond IV - 82 LP,55.6,174 / 139
#96,Top,Always Splits,Diamond IV - 81 LP,56.3,151 / 117
#97,Mid,Neekolul,Diamond IV - 80 LP,55.3,173 / 140
#98,Jungle,chef,Diamond IV - 78 LP,54.1,160 / 136
#99,Top,Doran,Diamond IV - 77 LP,56.0,153 / 120
#100,Support,FPX Crisp,Diamond IV - 76 LP,55.1,168 / 137
