Rank number,Role,Player name,Rank,Win rate(%),Wins / losses
#1,Support,Kapp Wampie,Platinum II - 72 LP,75.4,46 / 15
#2,Support,225,Platinum II - 53 LP,68.4,54 / 25
#3,Top,TopBot,Platinum II - 44 LP,64.7,55 / 30
#4,ADC,DoubleDouble,Platinum II - 39 LP,59.2,58 / 40
#5,Mid,Galio,Platinum II - 20 LP,61.9,65 / 40
#6,Top,SUPER TOP,Platinum II - 14 LP,60.0,48 / 32
#7,Mid,Rexxar,Platinum II - 8 LP,66.7,66 / 33
#8,Mid,Phantom,Platinum II - 4 LP,60.6,66 / 43
#9,Jungle,RNG mlxg,Platinum III - 98 LP,52.8,57 / 51
#10,Jungle,Matthew,Platinum III - 94 LP,66.3,61 / 31
#11,Jungle,Pyosik,Platinum III - 87 LP,66.1,74 / 38
#12,Jungle,Bibi,Platinum III - 85 LP,61.2,60 / 38
#13,Jungle,Zevton,Platinum III - 85 LP,63.9,46 / 26
#14,Jungle,Jinxnator,Platinum III - 77 LP,63.3,57 / 33
#15,Jungle,Hidden,Platinum III - 69 LP,67.1,57 / 28
#16,Support,FPX Crisp,Platinum III - 63 LP,55.6,60 / 48
#17,ADC,TPOPIS,Platinum III - 60 LP,59.8,61 / 41
#18,Support,Anbeeld,Platinum III - 58 LP,55.6,60 / 48
#19,Jungle,Superb,Platinum III - 56 LP,64.4,47 / 26
#20,Mid,Megumin,Platinum III - 56 LP,55.6,65 / 52
#21,Mid,TES knight9,Platinum III - 55 LP,50.9,58 / 56
#22,ADC,F,Platinum III - 54 LP,50.6,44 / 43
#23,ADC,Prodigy,Platinum III - 52 LP,55.8,53 / 42
#24,Support,Nite,Platinum III - 47 LP,57.7,60 / 44
#25,Top,thegamingzebra,Platinum III - 46 LP,64.6,53 / 29
#26,Support,Jao,Platinum III - 40 LP,50.0,50 / 50
#27,Top,TheHentaiKing,Platinum III - 37 LP,65.3,47 / 25
#28,Jungle,tarzaned,Platinum III - 36 LP,56.6,69 / 53
#29,Top,R0ck,Platinum III - 35 LP,64.7,55 / 30
#30,Jungle,Wrath,Platinum III - 27 LP,59.1,68 / 47
#31,Top,Jabron,Platinum III - 26 LP,56.1,60 / 47
#32,ADC,BotBot,Platinum III - 26 LP,55.1,54 / 44
#33,Mid,Neekolul,Platinum III - 23 LP,55.2,53 / 43
#34,Top,Impact,Platinum III - 23 LP,63.1,53 / 31
#35,Jungle,BelleDelphine,Platinum III - 21 LP,59.1,68 / 47
#36,Mid,Chovy,Platinum III - 19 LP,50.0,50 / 50
#37,Mid,Mid Lane Bot,Platinum III - 18 LP,61.5,48 / 30
#38,Top,xxaznpuppy32xx,Platinum III - 18 LP,59.1,75 / 52
#39,Mid,[REDACTED],Platinum III - 17 LP,48.0,48 / 52
#40,ADC,Riverr,Platinum III - 16 LP,58.1,68 / 49
#41,ADC,Deft,Platinum III - 15 LP,55.7,54 / 43
#42,Jungle,GankMe,Platinum III - 15 LP,47.7,42 / 46
#43,Top,Broken Blade,Platinum III - 14 LP,49.5,47 / 48
#44,Top,Top,Platinum III - 13 LP,55.2,48 / 39
#45,ADC,Asian City,Platinum III - 12 LP,58.8,47 / 33
#46,Support,Rookie,Platinum III - 11 LP,58.2,57 / 41
