Rank number,Role,Player name,Rank,Win rate(%),Wins / losses
#1,Support,FPX Crisp,Platinum III - 86 LP,50.0,1 / 1
#2,Jungle,Poppey,Platinum III - 28 LP,50.0,2 / 2
#3,Top,TopBot,Platinum III - 14 LP,85.7,6 / 1
#4,ADC,Kapp Wasfürsaft,Platinum III - 11 LP,33.3,1 / 2
#5,Jungle,Zevton,Platinum III - 0 LP,62.5,5 / 3
#6,Support,Hisher,Platinum IV - 97 LP,33.3,1 / 2
#7,Jungle,Superb,Platinum IV - 87 LP,100.0,4 / 0
#8,Top,Raleigh Obelisk,Platinum IV - 85 LP,54.5,6 / 5
#9,Top,Top,Platinum IV - 83 LP,33.3,1 / 2
#10,Top,xxaznpuppy32xx,Platinum IV - 82 LP,50.0,3 / 3
#11,Mid,BOOCAUWMOO,Platinum IV - 78 LP,40.0,2 / 3
#12,Jungle,Sparrow,Platinum IV - 62 LP,62.5,5 / 3
#13,Jungle,Bibi,Platinum IV - 59 LP,88.9,8 / 1
#14,Jungle,chef,Platinum IV - 57 LP,66.7,4 / 2
#15,Top,SS Flandre,Platinum IV - 54 LP,83.3,5 / 1
#16,Mid,RunningDown,Platinum IV - 46 LP,50.0,2 / 2
#17,Support,Mastermind,Platinum IV - 45 LP,50.0,2 / 2
#18,ADC,Boop,Platinum IV - 41 LP,85.7,6 / 1
#19,Support,Rookie,Platinum IV - 40 LP,42.9,3 / 4
#20,Jungle,Luv Email,Platinum IV - 39 LP,75.0,6 / 2
#21,ADC,sola,Platinum IV - 39 LP,66.7,8 / 4
#22,Support,Sup Bot,Platinum IV - 38 LP,100.0,5 / 0
#23,Mid,Rexxar,Platinum IV - 36 LP,100.0,5 / 0
#24,Jungle,Hidden,Platinum IV - 35 LP,85.7,6 / 1
#25,Jungle,Test2,Platinum IV - 33 LP,40.0,2 / 3
#26,Support,owl city,Platinum IV - 32 LP,61.9,13 / 8
#27,Support,Kapp Wampie,Platinum IV - 31 LP,50.0,4 / 4
#28,ADC,4four,Platinum IV - 29 LP,83.3,5 / 1
#29,ADC,Alec,Platinum IV - 27 LP,58.8,10 / 7
#30,Top,Destiny,Platinum IV - 25 LP,50.0,4 / 4
#31,Mid,Ann Takamaki,Platinum IV - 24 LP,57.1,8 / 6
#32,Top,TDA Damocles,Platinum IV - 22 LP,75.0,6 / 2
#33,Mid,Flame,Platinum IV - 22 LP,83.3,5 / 1
#34,Jungle,EnzoLeCoco,Platinum IV - 21 LP,100.0,10 / 0
#35,Top,circles,Platinum IV - 21 LP,75.0,6 / 2
#36,Jungle,PepeHands,Platinum IV - 20 LP,70.0,7 / 3
#37,ADC,KittenViti,Platinum IV - 20 LP,64.3,9 / 5
#38,Support,healslut,Platinum IV - 19 LP,40.0,2 / 3
#39,ADC,F,Platinum IV - 18 LP,60.0,6 / 4
#40,Top,TurboThrow,Platinum IV - 18 LP,62.5,5 / 3
#41,Support,Kutchcrafter,Platinum IV - 18 LP,66.7,4 / 2
#42,Mid,Subarus Duckling,Platinum IV - 17 LP,64.3,9 / 5
#43,ADC,mind,Platinum IV - 17 LP,100.0,3 / 0
#44,Mid,PepeCool,Platinum IV - 15 LP,66.7,8 / 4
#45,ADC,Test4,Platinum IV - 13 LP,66.7,4 / 2
#46,Top,thegamingzebra,Platinum IV - 11 LP,50.0,5 / 5
#47,ADC,El Capitano,Platinum IV - 11 LP,62.5,5 / 3
#48,ADC,xXxVaYnEmAiNxXx,Platinum IV - 10 LP,75.0,3 / 1
#49,ADC,BöllerBusch,Platinum IV - 10 LP,62.5,5 / 3
#50,Support,God damn i doode,Platinum IV - 9 LP,80.0,4 / 1
#51,Support,R.Leg of Cauw,Platinum IV - 8 LP,50.0,3 / 3
#52,Mid,Galio,Platinum IV - 8 LP,60.0,6 / 4
#53,Jungle,SpiderLilyAI,Platinum IV - 7 LP,52.9,9 / 8
#54,Support,Lambo Bambo,Platinum IV - 7 LP,60.0,6 / 4
#55,ADC,Unable to Farm,Platinum IV - 4 LP,57.1,8 / 6
#56,Mid,Cant Roam,Platinum IV - 3 LP,66.7,10 / 5
#57,Jungle,Dontgank,Platinum IV - 3 LP,62.5,5 / 3
#58,Top,Always Splits,Platinum IV - 3 LP,62.5,10 / 6
#59,Mid,Slimsnoker,Platinum IV - 2 LP,62.5,5 / 3
#60,Mid,MidBot,Platinum IV - 2 LP,50.0,6 / 6
#61,ADC,No CS,Platinum IV - 2 LP,57.1,4 / 3
#62,ADC,Kadlin,Platinum IV - 1 LP,42.9,3 / 4
#63,Mid,Seirilyvia,Gold I - 99 LP,61.5,8 / 5
#64,Jungle,Kong,Gold I - 98 LP,62.5,5 / 3
#65,Jungle,Jungy,Gold I - 97 LP,66.7,2 / 1
#66,ADC,Jake,Gold I - 96 LP,72.7,8 / 3
#67,Jungle,Gnima,Gold I - 93 LP,60.0,6 / 4
#68,Mid,Hallend,Gold I - 90 LP,50.0,4 / 4
#69,Jungle,JglBot,Gold I - 90 LP,50.0,5 / 5
#70,Support,Pawko ,Gold I - 89 LP,75.0,6 / 2
#71,Top,Broken Blade,Gold I - 89 LP,75.0,3 / 1
#72,Top,Destructoid,Gold I - 89 LP,83.3,5 / 1
#73,Jungle,IG Ning,Gold I - 89 LP,57.1,4 / 3
#74,Mid,Renners,Gold I - 89 LP,70.0,7 / 3
#75,Jungle,Winston,Gold I - 88 LP,50.0,3 / 3
#76,Jungle,Wrath,Gold I - 88 LP,61.5,8 / 5
#77,Top,Discord bot,Gold I - 88 LP,50.0,2 / 2
#78,Top,Randomsmeker1234,Gold I - 87 LP,33.3,3 / 6
#79,Mid,do you have dad,Gold I - 86 LP,40.0,4 / 6
#80,ADC,FriedOranges,Gold I - 85 LP,70.0,7 / 3
#81,Support,AI Rose,Gold I - 84 LP,40.0,2 / 3
#82,Support,AnosVold,Gold I - 84 LP,33.3,2 / 4
#83,Support,beaituul,Gold I - 83 LP,71.4,5 / 2
#84,Jungle,Blaze,Gold I - 82 LP,33.3,1 / 2
#85,Jungle,ivy,Gold I - 82 LP,50.0,3 / 3
#86,Support,Tiriana,Gold I - 82 LP,63.6,7 / 4
#87,Support,Right leg,Gold I - 81 LP,40.0,2 / 3
#88,Top,Noobnoodle,Gold I - 81 LP,37.5,3 / 5
#89,Support,225,Gold I - 80 LP,66.7,4 / 2
#90,Jungle,DrSovsemandpasta,Gold I - 80 LP,75.0,3 / 1
#91,Mid,Eddouw,Gold I - 80 LP,75.0,3 / 1
#92,ADC,Kongen,Gold I - 79 LP,57.1,4 / 3
#93,ADC,Amadeus,Gold I - 79 LP,57.1,4 / 3
#94,Top,Metallkopf,Gold I - 78 LP,60.0,3 / 2
#95,ADC,Rio Sonogami,Gold I - 78 LP,77.8,7 / 2
#96,Top,SmackyB,Gold I - 78 LP,72.7,8 / 3
#97,Top,Rio,Gold I - 78 LP,37.5,3 / 5
#98,Jungle,Spica,Gold I - 78 LP,25.0,2 / 6
#99,Top,Washed up pro,Gold I - 77 LP,60.0,6 / 4
#100,Jungle,Light,Gold I - 77 LP,100.0,6 / 0
