Rank number,Role,Player name,Rank,Win rate(%),Wins / losses
#1,Support,FPX Crisp,Platinum I - 84 LP,56.2,187 / 146
#2,Top,Raleigh Obelisk,Platinum I - 83 LP,59.1,202 / 140
#3,Jungle,Poppey,Platinum I - 33 LP,57.6,219 / 161
#4,Support,Hisher,Platinum I - 32 LP,59.8,245 / 165
#5,Jungle,Zevton,Platinum I - 0 LP,53.3,223 / 195
#6,Top,xxaznpuppy32xx,Platinum II - 85 LP,58.5,275 / 195
#7,ADC,Kapp Wasfürsaft,Platinum II - 80 LP,55.4,184 / 148
#8,Support,RNG Ming,Platinum II - 74 LP,57.7,251 / 184
#9,Jungle,Superb,Platinum II - 69 LP,62.4,211 / 127
#10,Top,Destiny,Platinum II - 69 LP,53.3,194 / 170
#11,Top,Top,Platinum II - 63 LP,57.4,170 / 126
#12,ADC,xXxVaYnEmAiNxXx,Platinum II - 56 LP,55.3,231 / 187
#13,Support,Mastermind,Platinum II - 53 LP,51.5,219 / 206
#14,Support,Kapp Wampie,Platinum II - 46 LP,60.2,213 / 141
#15,Mid,BOOCAUWMOO,Platinum II - 39 LP,52.8,235 / 210
#16,Support,Rookie,Platinum II - 36 LP,55.9,248 / 196
#17,Jungle,Sparrow,Platinum II - 36 LP,58.3,243 / 174
#18,Top,TurboThrow,Platinum II - 32 LP,57.8,133 / 97
#19,ADC,4four,Platinum II - 30 LP,49.9,180 / 181
#20,Top,TopBot,Platinum II - 28 LP,51.8,198 / 184
#21,Mid,RunningDown,Platinum II - 27 LP,49.8,208 / 210
#22,Jungle,Kazuma,Platinum II - 25 LP,54.3,239 / 201
#23,Mid,MidBot,Platinum II - 24 LP,46.5,165 / 190
#24,Jungle,Jungy,Platinum II - 19 LP,50.6,212 / 207
#25,Jungle,chef,Platinum II - 17 LP,54.3,242 / 204
#26,Jungle,Test2,Platinum II - 15 LP,58.9,126 / 88
#27,Mid,Flame,Platinum II - 11 LP,49.5,143 / 146
#28,Top,circles,Platinum II - 6 LP,49.0,235 / 245
#29,Top,Noobnoodle,Platinum II - 3 LP,57.7,97 / 71
#30,Jungle,Luv Email,Platinum III - 98 LP,54.1,226 / 192
#31,Jungle,Hidden,Platinum III - 91 LP,59.4,142 / 97
#32,Jungle,Gnima,Platinum III - 90 LP,47.1,147 / 165
#33,ADC,F,Platinum III - 87 LP,56.4,268 / 207
#34,Jungle,Bibi,Platinum III - 85 LP,60.6,134 / 87
#35,Mid,Eddouw,Platinum III - 84 LP,48.8,212 / 222
#36,ADC,200 YEARSXD,Platinum III - 82 LP,51.1,231 / 221
#37,Top,Rio,Platinum III - 80 LP,44.4,187 / 234
#38,Support,Kutchcrafter,Platinum III - 80 LP,52.8,244 / 218
#39,Support,healslut,Platinum III - 79 LP,53.2,235 / 207
#40,Top,SS Flandre,Platinum III - 79 LP,54.9,245 / 201
#41,Top,Randomsmeker1234,Platinum III - 78 LP,56.3,263 / 204
#42,Mid,Arteros,Platinum III - 77 LP,53.8,231 / 198
#43,Support,R.Leg of Cauw,Platinum III - 77 LP,51.0,210 / 202
#44,ADC,OTP ADC,Platinum III - 76 LP,53.7,151 / 130
#45,ADC,Trueways,Platinum III - 74 LP,49.9,197 / 198
#46,Top,CNanami,Platinum III - 69 LP,53.5,123 / 107
#47,Top,Broken Blade,Platinum III - 68 LP,55.5,239 / 192
#48,Mid,BottleCaps,Platinum III - 68 LP,59.6,276 / 187
#49,ADC,Kogglemoggle,Platinum III - 65 LP,54.9,247 / 203
#50,Mid,Flat Earther,Platinum III - 64 LP,50.5,186 / 182
#51,Support,Plays Rengar Sup,Platinum III - 63 LP,57.0,241 / 182
#52,Jungle,SpiderLilyAI,Platinum III - 61 LP,55.8,144 / 114
#53,Mid,Choky,Platinum III - 59 LP,50.7,248 / 241
#54,Support,Help,Platinum III - 59 LP,50.7,254 / 247
#55,Mid,do you have dad,Platinum III - 57 LP,48.9,181 / 189
#56,Top,Metallkopf,Platinum III - 56 LP,55.7,229 / 182
#57,Support,i love warding,Platinum III - 56 LP,48.7,199 / 210
#58,Jungle,PepeHands,Platinum III - 56 LP,53.1,233 / 206
#59,Mid,creative mind,Platinum III - 55 LP,54.7,263 / 218
#60,Jungle,Kai,Platinum III - 53 LP,50.7,214 / 208
#61,Top,Jabron,Platinum III - 53 LP,50.1,221 / 220
#62,Jungle,woope,Platinum III - 52 LP,62.1,82 / 50
#63,Support,JhinSuppNoTroll,Platinum III - 51 LP,55.9,229 / 181
#64,Mid,Galio,Platinum III - 50 LP,53.8,231 / 198
#65,Mid,Byumbert,Platinum III - 49 LP,49.4,252 / 258
#66,Support,God damn i doode,Platinum III - 48 LP,53.5,220 / 191
#67,Support,Egirl champs onl,Platinum III - 48 LP,43.1,185 / 244
#68,ADC,Kongen,Platinum III - 47 LP,58.9,96 / 67
#69,ADC,A bootiful perso,Platinum III - 47 LP,53.3,229 / 201
#70,ADC,Pokimane,Platinum III - 46 LP,54.9,256 / 210
#71,ADC,FriedOranges,Platinum III - 46 LP,44.3,194 / 244
#72,Top,thegamingzebra,Platinum III - 46 LP,58.5,233 / 165
#73,Top,Destructoid,Platinum III - 45 LP,55.4,181 / 146
#74,Mid,Hallend,Platinum III - 42 LP,48.8,182 / 191
#75,Support,225,Platinum III - 41 LP,52.8,227 / 203
#76,Mid,Slimsnoker,Platinum III - 41 LP,51.6,205 / 192
#77,Top,Malakkar,Platinum III - 40 LP,54.3,215 / 181
#78,Mid,Ann Takamaki,Platinum III - 40 LP,53.2,156 / 137
#79,Support,Aqua,Platinum III - 40 LP,55.5,252 / 202
#80,Top,Hex Hex,Platinum III - 39 LP,52.0,127 / 117
#81,Top,MJay,Platinum III - 39 LP,56.7,255 / 195
#82,Mid,I like trains,Platinum III - 38 LP,53.3,217 / 190
#83,ADC,Rikish,Platinum III - 38 LP,52.2,221 / 202
#84,Support,Tratz,Platinum III - 37 LP,50.6,205 / 200
#85,Top,Memeguel,Platinum III - 37 LP,50.0,120 / 120
#86,Mid,Omni,Platinum III - 36 LP,50.5,154 / 151
#87,Jungle,NerfJarvan,Platinum III - 36 LP,58.8,107 / 75
#88,Jungle,worsejg,Platinum III - 35 LP,55.3,163 / 132
#89,Support,Xpecial,Platinum III - 34 LP,55.3,247 / 200
#90,Support,CoreJJ,Platinum III - 34 LP,56.4,195 / 151
#91,ADC,Shanghai,Platinum III - 34 LP,48.5,207 / 220
#92,Support,Duckling,Platinum III - 33 LP,49.9,208 / 209
#93,Top,SmackyB,Platinum III - 32 LP,48.5,243 / 258
#94,Support,d0gg0,Platinum III - 32 LP,53.1,225 / 199
#95,Mid,Phantom,Platinum III - 31 LP,55.7,194 / 154
#96,Support,keepOnLiving,Platinum III - 30 LP,50.8,192 / 186
#97,Jungle,ζήτα,Platinum III - 30 LP,48.8,164 / 172
#98,ADC,Prodigy,Platinum III - 30 LP,53.0,159 / 141
#99,Support,LuluOTP,Platinum III - 30 LP,49.4,208 / 213
#100,Jungle,Broxah,Platinum III - 29 LP,43.7,146 / 188
