Rank number,Role,Player name,Rank,Win rate(%),Wins / losses
#1,Top,Raleigh Obelisk,Diamond I - 36 LP,66.0,93 / 48
#2,Jungle,Zevton,Diamond II - 86 LP,63.5,80 / 46
#3,Top,xxaznpuppy32xx,Diamond II - 80 LP,63.7,93 / 53
#4,Jungle,Test2,Diamond II - 75 LP,63.6,63 / 36
#5,Jungle,Poppey,Diamond II - 23 LP,65.1,114 / 61
#6,Top,Ben Dover,Diamond II - 7 LP,63.2,108 / 63
#7,Jungle,Jinxnator,Diamond II - 7 LP,61.3,87 / 55
#8,Support,Duckling,Diamond II - 6 LP,63.1,118 / 69
#9,ADC,Bacon,Diamond II - 1 LP,60.1,128 / 85
#10,Support,Mastermind,Diamond III - 72 LP,57.7,120 / 88
#11,Top,NoImpact,Diamond III - 70 LP,59.3,64 / 44
#12,ADC,T1 T1,Diamond III - 68 LP,56.3,98 / 76
#13,Mid,Men in I3lack,Diamond III - 50 LP,57.1,113 / 85
#14,Jungle,HLE Viper,Diamond III - 45 LP,64.5,71 / 39
#15,Top,Aryze,Diamond III - 45 LP,61.6,106 / 66
#16,Support,ye,Diamond III - 44 LP,56.1,106 / 83
#17,Mid,WoO0oW,Diamond III - 35 LP,61.6,122 / 76
#18,Support,FPX Crisp,Diamond III - 32 LP,57.0,106 / 80
#19,Support,SuppBot,Diamond III - 29 LP,57.8,104 / 76
#20,Top,Salsa,Diamond III - 28 LP,61.5,134 / 84
#21,ADC,Leopan,Diamond III - 23 LP,61.8,110 / 68
#22,Support,Kapp Wampie,Diamond III - 22 LP,58.5,83 / 59
#23,Mid,BottleCaps,Diamond III - 16 LP,56.6,107 / 82
#24,ADC,CoolBroDenis,Diamond III - 12 LP,60.9,109 / 70
#25,Support,Emwues24,Diamond III - 11 LP,59.6,121 / 82
#26,ADC,Perkz,Diamond III - 11 LP,57.1,101 / 76
#27,ADC,PvM,Diamond III - 10 LP,57.8,100 / 73
#28,Top,Top,Diamond III - 9 LP,59.7,95 / 64
#29,Support,Soundboard,Diamond III - 9 LP,56.8,109 / 83
#30,Jungle,Xyras,Diamond III - 4 LP,58.3,105 / 75
#31,Mid,AJDG Life,Diamond III - 4 LP,57.0,118 / 89
#32,Jungle,Sparrow,Diamond III - 0 LP,61.2,104 / 66
#33,Top,Amouranth,Diamond IV - 98 LP,58.2,110 / 79
#34,Jungle,MexicanPidgeon,Diamond IV - 97 LP,58.4,108 / 77
#35,Jungle,time,Diamond IV - 94 LP,58.5,110 / 78
#36,Mid,PepeCool,Diamond IV - 94 LP,56.3,120 / 93
#37,Jungle,Superb,Diamond IV - 92 LP,61.9,83 / 51
#38,Jungle,Pyosik,Diamond IV - 86 LP,61.2,82 / 52
#39,Jungle,Bibi,Diamond IV - 82 LP,59.5,69 / 47
#40,Top,RNG Letme,Diamond IV - 78 LP,60.9,103 / 66
#41,ADC,DoubleDouble,Diamond IV - 77 LP,55.9,95 / 75
#42,Support,Hisher,Diamond IV - 71 LP,54.5,96 / 80
#43,Top,Darkness,Diamond IV - 66 LP,57.6,121 / 89
#44,Top, IG TheShy,Diamond IV - 65 LP,59.9,103 / 69
#45,ADC,RightLick2Win,Diamond IV - 63 LP,59.8,110 / 74
#46,ADC,fulltag,Diamond IV - 61 LP,57.1,93 / 70
#47,ADC,Test4,Diamond IV - 58 LP,58.9,126 / 88
#48,Support,flaree,Diamond IV - 58 LP,55.8,125 / 99
#49,Support,Nite,Diamond IV - 57 LP,58.0,127 / 92
#50,Jungle,Hidden,Diamond IV - 56 LP,56.4,106 / 82
#51,ADC,Pokimane,Diamond IV - 56 LP,57.4,117 / 87
#52,Support,Aqua,Diamond IV - 55 LP,55.3,83 / 67
#53,ADC,Kadlin,Diamond IV - 55 LP,56.1,120 / 94
#54,Top,Randomsmeker1234,Diamond IV - 53 LP,61.3,111 / 70
#55,Mid,NULL,Diamond IV - 52 LP,55.7,107 / 85
#56,ADC,Sinon,Diamond IV - 50 LP,56.0,117 / 92
#57,Jungle,EG Voutocu,Diamond IV - 49 LP,56.3,99 / 77
#58,Top,Washed up pro,Diamond IV - 49 LP,58.0,87 / 63
