Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,Jungle,tarzaned,Challenger - 1107 LP,68.8,305 / 138,Tyler1
#2,Support,HelpingX,Challenger - 737 LP,63.9,452 / 255,Felixxx
#3,Jungle,DanDyx,Challenger - 673 LP,72.8,399 / 149,Choi
#4,Mid,Etosh,Challenger - 594 LP,58.1,384 / 277,Etosh
#5,Mid,Choky,Challenger - 570 LP,58.1,465 / 336,Key
#6,Jungle,Shitfeather,Challenger - 541 LP,64.4,428 / 237,hiroli
#7,Jungle,junglekek,Challenger - 534 LP,57.2,411 / 308,redeemer
#8,Mid,PawNx,Challenger - 520 LP,65.4,344 / 182,Choi
#9,ADC,Impx,Challenger - 509 LP,63.3,305 / 177,Choi
#10,Support,unicornpetpetuwu,Challenger - 505 LP,56.4,499 / 385,GamerGirls
#11,Jungle,sandbox5,Challenger - 467 LP,57.8,413 / 301,
#12,Jungle,AttSeeker,Challenger - 465 LP,60.4,380 / 249,PaxVan
#13,Mid,LeSnek,Challenger - 448 LP,55.3,481 / 389,LS
#14,ADC,sandbox15,Challenger - 438 LP,55.4,563 / 454,
#15,Jungle,Kaltch,Challenger - 437 LP,57.6,399 / 294,Princess
#16,Mid,Chovy,Challenger - 429 LP,58.3,480 / 343,TheStriker9
#17,Jungle,Aela ,Challenger - 394 LP,57.9,549 / 400,MolscarZX
#18,Top,Salsa,Challenger - 394 LP,53.2,680 / 599,YungYiga
#19,Mid,Jarl Mid,Challenger - 393 LP,58.8,364 / 255,Jarl
#20,Mid,The_Ghost16,Challenger - 386 LP,57.3,410 / 306,Sb1
#21,Support,Keria,Challenger - 380 LP,54.6,471 / 392,TheStriker9
#22,Top,Ayu,Challenger - 372 LP,53.6,574 / 497,Bitesized
#23,Support,Princess,Challenger - 366 LP,55.1,441 / 359,Princess
#24,Mid,Exodia,Challenger - 363 LP,55.6,373 / 298,yugi
#25,Jungle,Stupid Jungler,Challenger - 352 LP,62.5,439 / 263,PooPooPeePee
#26,ADC,DoubleDouble,Challenger - 352 LP,53.4,579 / 506,Player2225
#27,Top,Human Tornado,Challenger - 349 LP,53.0,457 / 406,Etosh
#28,Mid,midlane king,Challenger - 348 LP,51.9,501 / 464,hater
#29,Top,TopBot,Challenger - 341 LP,54.0,560 / 477,TangilBOT
#30,Support,Fekker,Challenger - 340 LP,55.6,498 / 398,Key
#31,Top,Diablo,Challenger - 331 LP,54.4,486 / 408,Kyzent
#32,ADC,Pokimane,Challenger - 330 LP,55.5,579 / 464,Simp
#33,Top,Ooga,Challenger - 329 LP,59.7,444 / 300,Poggersnation
#34,ADC,Ree-ason,Challenger - 329 LP,56.2,470 / 367,hmphree
#35,Mid,sandbox10,Challenger - 328 LP,53.8,483 / 415,
#36,Top,Dumbass,Challenger - 326 LP,52.9,483 / 430,Key
#37,Support,Rookie,Challenger - 325 LP,57.5,349 / 258,LordArtos
#38,Support,SupBot,Challenger - 324 LP,55.1,541 / 441,TangilBOT
#39,ADC,NewMeta,Challenger - 315 LP,54.9,761 / 626,moxir
#40,Jungle,Canyon,Challenger - 302 LP,58.7,517 / 364,YamatoCannon
#41,Mid,Tupac,Challenger - 300 LP,55.7,370 / 294,Pranceof
#42,Support,Wilde,Challenger - 297 LP,54.9,593 / 487,Wealth_and_Taste
#43,Jungle,Prime Bengi,Challenger - 296 LP,62.9,336 / 198,LDK
#44,Mid,Kiddlazy,Challenger - 284 LP,53.5,395 / 344,Gawaine
#45,Support,Aeryn,Challenger - 280 LP,55.6,480 / 384,WildChoas
#46,Jungle,Terrified,Challenger - 275 LP,53.3,449 / 394,MaverickG
#47,Mid,midkek,Challenger - 266 LP,52.5,559 / 506,redeemer
#48,Jungle,Sanga,Challenger - 262 LP,54.2,500 / 423,EMFyels
#49,Jungle,SmelliElli,Challenger - 262 LP,60.1,377 / 250,bigjon
#50,ADC,botkek,Challenger - 258 LP,54.1,564 / 478,redeemer
#51,Jungle,ggbebe,Challenger - 258 LP,52.2,562 / 515,garbz
#52,Support,Xenicz,Grandmaster - 255 LP,56.1,416 / 325,iambadatlol4
#53,Mid,SrqUe,Grandmaster - 253 LP,53.0,661 / 585,moxir
#54,Jungle,Senbonzakura,Grandmaster - 252 LP,54.1,346 / 293,PacoPeco
#55,Jungle,Souless,Grandmaster - 250 LP,54.9,510 / 419,Bitesized
#56,Top,JollyGiant,Grandmaster - 249 LP,52.7,458 / 411,[email protected]
#57,Mid,Zer,Grandmaster - 247 LP,53.2,404 / 356,cmoney847
#58,Jungle,Wakes,Grandmaster - 245 LP,58.3,713 / 510,alim
#59,Support,Dibbs,Grandmaster - 241 LP,54.4,459 / 384,MaverickG
#60,ADC,Panther,Grandmaster - 238 LP,55.4,479 / 385,WildChoas
#61,Top,SilSol,Grandmaster - 230 LP,56.8,266 / 202,silsoleuw
#62,Top,Heimerdonger,Grandmaster - 228 LP,56.6,452 / 347,TimoMacDonut
#63,Jungle,DoperThanDopa,Grandmaster - 227 LP,55.4,549 / 442,yukioken
#64,Support,Emwues24,Grandmaster - 225 LP,55.8,358 / 284,Jinxnator
#65,ADC,Puki style23,Grandmaster - 224 LP,55.1,391 / 318,Klorellv4
#66,Mid,hackigel,Grandmaster - 221 LP,54.2,382 / 323,Pogchampion
#67,Jungle,Umbral,Grandmaster - 209 LP,55.0,382 / 313,Indoraps
#68,Mid,garbz,Grandmaster - 208 LP,55.3,843 / 681,garbz
#69,Top,Natlas,Grandmaster - 205 LP,50.5,501 / 492,Trindor
#70,Support,xplayz4dayz,Grandmaster - 203 LP,58.3,321 / 230,froggen
#71,Top,DoinB,Grandmaster - 202 LP,54.1,358 / 304,LordArtos
#72,Top,Alistar top,Grandmaster - 202 LP,55.2,321 / 261,roysiggi 2 
#73,Mid,Wrekz,Grandmaster - 200 LP,50.7,689 / 671,alim
#74,ADC,CellZ,Grandmaster - 200 LP,50.1,531 / 529,EMFyels
#75,Top,Apoloniusz,Grandmaster - 195 LP,50.9,467 / 450,Vuz
#76,Mid,Yunbee,Grandmaster - 194 LP,52.7,536 / 482,Memersticks
#77,Mid,QQ Miku,Grandmaster - 192 LP,53.5,332 / 289,Futaro
#78,Jungle,PiolsJg,Grandmaster - 190 LP,57.4,331 / 246,Piols2
#79,Top,jayce top only,Grandmaster - 190 LP,52.1,514 / 473,aquietghost
#80,ADC,Carrot,Grandmaster - 190 LP,50.6,411 / 401,Haram
#81,Top,May,Grandmaster - 188 LP,55.4,310 / 250,toptochall
