Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,Jungle,tarzaned,Challenger - 931 LP,70.2,254 / 108,Tyler1
#2,Support,HelpingX,Challenger - 571 LP,64.4,348 / 192,Felixxx
#3,Mid,Etosh,Challenger - 530 LP,59.4,309 / 211,Etosh
#4,Jungle,junglekek,Challenger - 523 LP,58.6,342 / 242,redeemer
#5,Jungle,Shitfeather,Challenger - 512 LP,65.4,353 / 187,hiroli
#6,Jungle,AttSeeker,Challenger - 463 LP,62.0,303 / 186,PaxVan
#7,Mid,Exodia,Challenger - 448 LP,59.0,317 / 220,yugi
#8,Mid,Chovy,Challenger - 448 LP,59.8,370 / 249,TheStriker9
#9,Top,TopBot,Challenger - 429 LP,56.3,424 / 329,TangilBOT
#10,Mid,Jarl Mid,Challenger - 420 LP,60.7,307 / 199,Jarl
#11,Jungle,sandbox5,Challenger - 408 LP,56.5,321 / 247,
#12,Jungle,Aela ,Challenger - 399 LP,58.2,466 / 335,MolscarZX
#13,Support,Keria,Challenger - 390 LP,55.3,355 / 287,TheStriker9
#14,Mid,LeSnek,Challenger - 385 LP,55.7,383 / 304,LS
#15,Support,unicornpetpetuwu,Challenger - 379 LP,55.7,359 / 286,GamerGirls
#16,Jungle,Kaltch,Challenger - 367 LP,59.3,307 / 211,Princess
#17,Mid,Choky,Challenger - 362 LP,57.1,329 / 247,Key
#18,ADC,botkek,Challenger - 359 LP,55.5,451 / 362,redeemer
#19,Support,Princess,Challenger - 356 LP,56.5,336 / 259,Princess
#20,Support,Rookie,Challenger - 355 LP,60.7,276 / 179,LordArtos
#21,Mid,sandbox10,Challenger - 354 LP,54.3,405 / 341,
#22,Jungle,Stupid Jungler,Challenger - 352 LP,64.6,366 / 201,PooPooPeePee
#23,ADC,Pokimane,Challenger - 349 LP,56.9,419 / 318,Simp
#24,Mid,The_Ghost16,Challenger - 324 LP,56.6,330 / 253,Sb1
#25,Jungle,Wakes,Challenger - 304 LP,58.9,584 / 407,alim
#26,Jungle,Umbral,Challenger - 298 LP,57.2,309 / 231,Indoraps
#27,Mid,Kiddlazy,Challenger - 298 LP,54.3,335 / 282,Gawaine
#28,Support,Aeryn,Challenger - 297 LP,57.1,399 / 300,WildChoas
#29,Support,Fekker,Challenger - 293 LP,55.8,326 / 258,Key
#30,Jungle,Sanga,Challenger - 292 LP,55.2,404 / 328,EMFyels
#31,ADC,Ree-ason,Challenger - 287 LP,56.7,351 / 268,hmphree
#32,ADC,DoubleDouble,Challenger - 283 LP,54.4,454 / 380,Player2225
#33,Mid,Tupac,Challenger - 278 LP,56.0,308 / 242,Pranceof
#34,Top,Ooga,Challenger - 276 LP,61.0,343 / 219,Poggersnation
#35,ADC,Puki style23,Challenger - 276 LP,57.4,313 / 232,Klorellv4
#36,Top,JollyGiant,Challenger - 275 LP,54.4,375 / 314,[email protected]
#37,Mid,Yunbee,Challenger - 271 LP,53.0,457 / 405,Memersticks
#38,Top,Human Tornado,Challenger - 269 LP,53.0,353 / 313,Etosh
#39,ADC,Primmish,Challenger - 266 LP,54.5,404 / 337,Trindor
#40,Jungle,Senbonzakura,Challenger - 256 LP,56.4,257 / 199,PacoPeco
#41,Mid,SrqUe,Challenger - 254 LP,53.5,539 / 468,moxir
#42,ADC,Panther,Challenger - 249 LP,56.7,406 / 310,WildChoas
#43,ADC,sandbox15,Challenger - 246 LP,53.9,415 / 355,
#44,Support,Wilde,Challenger - 246 LP,55.2,506 / 410,Wealth_and_Taste
#45,Top,Craq,Challenger - 237 LP,54.0,1141 / 972,moxir
#46,Top,Heimerdonger,Challenger - 230 LP,56.4,350 / 271,TimoMacDonut
#47,Jungle,ggbebe,Challenger - 229 LP,52.5,478 / 433,garbz
#48,Jungle,Canyon,Challenger - 226 LP,58.3,385 / 275,YamatoCannon
#49,Mid,midkek,Challenger - 222 LP,52.5,454 / 411,redeemer
#50,Top,Salsa,Challenger - 222 LP,52.3,572 / 521,YungYiga
#51,Jungle,Souless,Grandmaster - 221 LP,55.6,422 / 337,Bitesized
#52,Jungle,SmelliElli,Grandmaster - 216 LP,59.7,322 / 217,bigjon
#53,Jungle,Prime Bengi,Grandmaster - 211 LP,62.0,263 / 161,LDK
#54,Top,Ayu,Grandmaster - 210 LP,51.9,440 / 408,Bitesized
#55,Top,Alistar top,Grandmaster - 208 LP,56.5,270 / 208,roysiggi 2 
#56,Mid,garbz,Grandmaster - 207 LP,54.9,722 / 594,garbz
#57,Support,Dibbs,Grandmaster - 207 LP,55.1,385 / 314,MaverickG
#58,Support,DieFliegendeKuh,Grandmaster - 205 LP,55.8,370 / 293,doofboy13
#59,Top,Apoloniusz,Grandmaster - 201 LP,50.8,396 / 384,Vuz
#60,Mid,Cody275,Grandmaster - 197 LP,54.8,364 / 300,[email protected]
#61,Jungle,PiolsJg,Grandmaster - 193 LP,58.6,282 / 199,Piols2
#62,Mid,midlane king,Grandmaster - 192 LP,51.2,417 / 398,hater
#63,Top,May,Grandmaster - 191 LP,57.1,254 / 191,toptochall
#64,ADC,Carrot,Grandmaster - 187 LP,50.4,335 / 330,Haram
#65,ADC,NewMeta,Grandmaster - 185 LP,54.7,581 / 481,moxir
#66,Top,Natlas,Grandmaster - 184 LP,50.4,411 / 404,Trindor
