Champion name,Win rate(%),Wins / losses
Pyke,55.5,52572 / 42205
Karthus,55.1,70302 / 57196
Nunu,53.5,30065 / 26162
Ahri,53.4,78185 / 68116
Renekton,53.3,60422 / 53000
Ekko,52.3,47551 / 43398
Nautilus,52.1,43078 / 39556
Bard,51.4,51551 / 48781
Sett,51.4,23046 / 21795
Ornn,51.3,13492 / 12828
Maokai,51.3,10599 / 10052
Blitzcrank,51.2,29674 / 28316
Poppy,51.2,18196 / 17321
Sejuani,51.1,25892 / 24801
Kassadin,51.1,16572 / 15870
Galio,51.0,11024 / 10581
Fizz,51.0,5198 / 4999
Neeko,50.9,32985 / 31841
Volibear,50.8,23176 / 22405
Udyr,50.7,6274 / 6103
Wukong,50.5,7840 / 7693
Amumu,50.4,4795 / 4720
Rek'Sai,50.4,3549 / 3490
Shen,50.3,19520 / 19254
Cho'Gath,50.3,12318 / 12161
Garen,50.3,11013 / 10881
LeBlanc,50.1,10104 / 10069
Pantheon,50.0,16242 / 16225
Xayah,49.9,9731 / 9755
Talon,49.9,5745 / 5759
Jarvan IV,49.8,5183 / 5221
Skarner,49.8,2486 / 2503
Ivern,49.5,5315 / 5424
Kai'Sa,49.4,16196 / 16584
Vi,49.4,5734 / 5872
Urgot,49.4,3845 / 3933
Warwick,49.3,5451 / 5609
Rammus,49.3,4211 / 4336
Tahm Kench,49.3,4058 / 4168
Zac,49.2,10560 / 10906
Zoe,49.1,9471 / 9803
Malphite,49.1,5605 / 5819
Hecarim,49.1,2709 / 2811
Dr. Mundo,49.0,8818 / 9180
Rakan,48.9,10966 / 11477
Alistar,48.9,8021 / 8383
Riven,48.9,7079 / 7395
Gragas,48.9,4210 / 4394
Ezreal,48.8,12009 / 12580
Katarina,48.8,5497 / 5763
Zed,48.7,8785 / 9265
Qiyana,48.7,8191 / 8616
Diana,48.7,4395 / 4625
Swain,48.6,7815 / 8268
Leona,48.5,7815 / 8310
Lissandra,48.5,853 / 907
Singed,48.4,7004 / 7472
Syndra,48.4,6510 / 6949
Quinn,48.3,8224 / 8803
Mordekaiser,48.3,7376 / 7905
Evelynn,48.3,4153 / 4448
Aurelion Sol,48.3,3818 / 4081
Illaoi,48.3,1566 / 1675
Camille,48.2,8100 / 8709
Braum,48.2,5789 / 6229
Fiora,48.2,2511 / 2702
Akali,48.1,12244 / 13208
Vladimir,48.1,7877 / 8493
Nidalee,48.1,4591 / 4957
Teemo,48.1,2481 / 2674
Taliyah,47.9,2149 / 2340
Veigar,47.8,3063 / 3349
Lillia,47.7,3742 / 4102
Aatrox,47.6,8669 / 9550
Kled,47.6,2637 / 2898
Anivia,47.6,1524 / 1676
Aphelios,47.5,11323 / 12527
Miss Fortune,47.5,7286 / 8057
Sion,47.5,3400 / 3753
Karma,47.4,6012 / 6681
Elise,47.3,4644 / 5165
Nasus,47.3,2720 / 3031
Tristana,47.2,5096 / 5690
Nocturne,47.1,2634 / 2958
Sona,47.0,3626 / 4090
Ashe,46.9,8074 / 9134
Lee Sin,46.9,7059 / 7977
Jhin,46.9,5345 / 6050
Master Yi,46.8,1955 / 2223
Vayne,46.5,5275 / 6073
Annie,46.5,3682 / 4236
Thresh,46.3,7683 / 8914
Rengar,46.3,2708 / 3141
Kha'Zix,46.3,2466 / 2856
Varus,46.2,4038 / 4694
Darius,46.2,2490 / 2905
Irelia,46.0,4003 / 4700
Yorick,46.0,1354 / 1587
Ryze,45.9,3545 / 4183
Trundle,45.8,3127 / 3700
Zyra,45.7,1874 / 2231
Caitlyn,45.6,7573 / 9018
Twitch,45.6,7085 / 8444
Kog'Maw,45.5,3562 / 4266
Draven,45.4,4021 / 4830
Graves,45.3,3842 / 4630
Xerath,45.3,3319 / 4010
Rumble,45.3,1398 / 1685
Gnar,45.2,1924 / 2337
Zilean,45.1,4183 / 5097
Jayce,45.0,2210 / 2702
Sivir,44.8,2358 / 2907
Brand,44.7,1669 / 2068
Yasuo,44.5,6460 / 8044
Fiddlesticks,44.5,2847 / 3549
Soraka,44.5,2089 / 2605
Taric,44.4,1910 / 2393
Shaco,44.3,1294 / 1627
Malzahar,44.2,1282 / 1617
Jax,44.1,2905 / 3675
Xin Zhao,43.9,704 / 901
Jinx,43.8,3318 / 4258
Sylas,43.7,3769 / 4862
Kalista,43.7,2956 / 3811
Olaf,43.1,2288 / 3019
Viktor,43.1,2086 / 2753
Nami,43.1,2045 / 2703
Yuumi,42.9,3024 / 4021
Heimerdinger,42.4,1692 / 2296
Shyvana,42.4,1430 / 1945
Orianna,42.3,2324 / 3175
Corki,42.3,1508 / 2060
Lulu,42.2,2401 / 3288
Lucian,42.0,3139 / 4342
Kindred,41.9,1489 / 2067
Tryndamere,41.7,879 / 1228
Janna,41.4,2151 / 3041
Cassiopeia,41.0,1872 / 2689
Morgana,40.6,2453 / 3589
Ziggs,40.6,804 / 1175
Azir,40.5,2110 / 3104
Lux,40.2,903 / 1346
Kennen,39.9,1293 / 1948
Gangplank,39.5,2160 / 3303
Twisted Fate,39.1,965 / 1504
Vel'Koz,38.1,1456 / 2363
Senna,37.3,2119 / 3567
Kayle,37.0,825 / 1407
