Champion name,Win rate(%),Wins / losses
Pyke,55.5,56784 / 45602
Karthus,55.1,75501 / 61599
Nunu,53.5,32752 / 28464
Ahri,53.4,83971 / 73154
Renekton,53.3,64903 / 56973
Ekko,52.2,51123 / 46741
Nautilus,52.1,46289 / 42515
Bard,51.4,55172 / 52242
Sett,51.4,25038 / 23719
Ornn,51.3,14553 / 13817
Poppy,51.2,19468 / 18561
Kassadin,51.2,17787 / 16972
Blitzcrank,51.1,31776 / 30459
Sejuani,51.1,27718 / 26500
Maokai,51.1,11424 / 10919
Neeko,51.0,35382 / 34039
Galio,51.0,11851 / 11382
Volibear,50.8,25001 / 24199
Fizz,50.7,5622 / 5471
Amumu,50.7,5133 / 4989
Wukong,50.5,8401 / 8229
Udyr,50.5,6726 / 6582
Shen,50.4,21018 / 20681
Cho'Gath,50.3,13182 / 13030
Garen,50.3,11867 / 11738
Rek'Sai,50.3,3816 / 3769
Skarner,50.2,2715 / 2696
Pantheon,50.1,17344 / 17266
LeBlanc,50.1,10903 / 10881
Talon,50.1,6173 / 6157
Xayah,49.8,10527 / 10608
Jarvan IV,49.7,5490 / 5564
Warwick,49.5,5986 / 6106
Ivern,49.5,5680 / 5790
Kai'Sa,49.4,17169 / 17616
Vi,49.4,6134 / 6280
Urgot,49.4,4113 / 4213
Zoe,49.3,10192 / 10502
Tahm Kench,49.3,4403 / 4527
Zac,49.2,11274 / 11633
Rammus,49.2,4534 / 4679
Dr. Mundo,49.1,9419 / 9757
Riven,49.1,7739 / 8024
Malphite,49.1,6059 / 6272
Hecarim,49.1,2910 / 3018
Lissandra,49.1,949 / 985
Rakan,48.9,11914 / 12438
Alistar,48.9,8620 / 9012
Gragas,48.9,4497 / 4692
Ezreal,48.8,12892 / 13518
Qiyana,48.8,8773 / 9213
Katarina,48.7,5916 / 6244
Zed,48.6,9426 / 9962
Diana,48.6,4748 / 5021
Leona,48.5,8382 / 8914
Swain,48.5,8334 / 8852
Illaoi,48.5,1636 / 1737
Quinn,48.4,8833 / 9410
Syndra,48.4,7005 / 7458
Teemo,48.4,2677 / 2855
Evelynn,48.3,4674 / 5012
Fiora,48.3,2729 / 2926
Mordekaiser,48.2,7921 / 8520
Singed,48.2,7637 / 8221
Aurelion Sol,48.2,4028 / 4333
Camille,48.1,8635 / 9334
Braum,48.1,6173 / 6664
Nidalee,48.1,5018 / 5421
Akali,48.0,12967 / 14036
Vladimir,48.0,8468 / 9156
Lillia,47.9,3988 / 4336
Taliyah,47.8,2333 / 2546
Miss Fortune,47.7,7868 / 8634
Veigar,47.7,3247 / 3559
Sion,47.6,3690 / 4069
Nasus,47.6,2928 / 3228
Aatrox,47.5,9282 / 10244
Karma,47.5,6508 / 7195
Kled,47.5,2820 / 3121
Anivia,47.5,1629 / 1803
Aphelios,47.4,12301 / 13654
Tristana,47.4,5469 / 6058
Elise,47.3,4967 / 5526
Nocturne,47.1,2787 / 3134
Ashe,47.0,8677 / 9803
Lee Sin,47.0,7666 / 8631
Sona,46.9,3831 / 4330
Jhin,46.7,5769 / 6572
Annie,46.7,3960 / 4527
Vayne,46.5,5635 / 6496
Varus,46.4,4313 / 4989
Thresh,46.3,8257 / 9587
Kha'Zix,46.3,2621 / 3037
Rengar,46.2,2926 / 3405
Darius,46.1,2658 / 3103
Master Yi,46.1,2074 / 2424
Irelia,46.0,4360 / 5127
Zyra,46.0,2034 / 2391
Yorick,46.0,1427 / 1678
Trundle,45.8,3349 / 3959
Twitch,45.7,7561 / 8991
Ryze,45.7,3793 / 4501
Caitlyn,45.6,8123 / 9693
Kog'Maw,45.6,3834 / 4577
Draven,45.5,4324 / 5180
Rumble,45.5,1505 / 1806
Xerath,45.3,3480 / 4197
Graves,45.2,4150 / 5026
Zilean,45.0,4392 / 5378
Gnar,45.0,1997 / 2442
Jayce,44.8,2374 / 2931
Sivir,44.7,2513 / 3111
Xin Zhao,44.7,802 / 994
Soraka,44.6,2261 / 2804
Brand,44.6,1762 / 2190
Yasuo,44.5,6933 / 8632
Jax,44.3,3136 / 3944
Fiddlesticks,44.3,3036 / 3815
Taric,44.3,2006 / 2522
Shaco,44.3,1364 / 1717
Malzahar,44.2,1364 / 1722
Kalista,43.9,3187 / 4065
Jinx,43.8,3580 / 4593
Sylas,43.7,4007 / 5152
Olaf,43.4,2499 / 3261
Yuumi,43.1,3266 / 4305
Nami,42.9,2175 / 2896
Shyvana,42.9,1567 / 2086
Viktor,42.6,2191 / 2950
Heimerdinger,42.5,1802 / 2442
Orianna,42.4,2477 / 3362
Corki,42.3,1610 / 2198
Lucian,42.2,3436 / 4713
Lulu,42.1,2567 / 3528
Kindred,41.9,1587 / 2201
Tryndamere,41.9,929 / 1290
Janna,41.4,2276 / 3217
Cassiopeia,41.3,1999 / 2841
Ziggs,40.8,879 / 1276
Morgana,40.6,2595 / 3792
Lux,40.6,993 / 1454
Azir,40.2,2227 / 3314
Kennen,40.2,1401 / 2084
Gangplank,39.7,2318 / 3522
Twisted Fate,38.9,1038 / 1631
Vel'Koz,37.9,1609 / 2637
Senna,37.4,2294 / 3845
Kayle,37.2,878 / 1482
