Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,Jungle,DanDyx,Challenger - 2559 LP,70.6,930 / 387,Choi
#2,Jungle,Aela ,Challenger - 1575 LP,58.1,1217 / 879,MolscarZX
#3,ADC,Impx,Challenger - 1267 LP,60.8,1435 / 927,Choi
#4,Jungle,tarzaned,Challenger - 1027 LP,60.0,504 / 336,Tyler1
#5,Mid,Jarl Mid,Challenger - 904 LP,59.4,1290 / 883,Jarl
#6,Top,Heimerdonger,Challenger - 839 LP,56.3,1797 / 1397,TimoMacDonut
#7,Support,HelpingX,Challenger - 826 LP,58.0,1223 / 884,Felixxx
#8,Mid,Etosh,Challenger - 743 LP,54.4,1434 / 1204,Etosh
#9,Jungle,AttSeeker,Challenger - 728 LP,56.4,903 / 698,PaxVan
#10,ADC,Cryhard II,Challenger - 702 LP,54.3,1522 / 1279,roysiggi
#11,Support,Fekker,Challenger - 635 LP,54.8,1486 / 1227,Key
#12,Jungle,Canyon,Challenger - 633 LP,58.2,1392 / 1001,YamatoCannon
#13,Jungle,sandbox5,Challenger - 599 LP,55.5,1008 / 807,
#14,Mid,Choky,Challenger - 595 LP,54.4,1503 / 1258,Key
#15,Jungle,Stupid Jungler,Challenger - 590 LP,59.2,1110 / 764,PooPooPeePee
#16,Jungle,Umbral,Challenger - 589 LP,55.2,1261 / 1022,Indoraps
#17,Jungle,Wakes,Challenger - 581 LP,57.4,1499 / 1113,alim
#18,Support,unicornpetpetuwu,Challenger - 572 LP,53.7,1412 / 1217,GamerGirls
#19,Jungle,Prime Bengi,Challenger - 568 LP,60.0,910 / 606,LDK
#20,Mid,PawNx,Challenger - 544 LP,54.4,1459 / 1221,Choi
#21,Mid,The_Ghost16,Challenger - 540 LP,54.4,1130 / 949,Sb1
#22,Jungle,Shitfeather,Challenger - 537 LP,56.6,1167 / 894,hiroli
#23,Jungle,Nunu V2,Challenger - 526 LP,56.5,1068 / 823,willchung1024
#24,Mid,midkek,Challenger - 513 LP,52.5,1551 / 1401,redeemer
#25,Support,Aeryn,Challenger - 509 LP,54.3,1344 / 1132,WildChoas
#26,Jungle,Kaltch,Challenger - 505 LP,55.2,1410 / 1143,Princess
#27,Jungle,junglekek,Challenger - 500 LP,53.8,1321 / 1134,redeemer
#28,Mid,Chovy,Challenger - 496 LP,54.7,1291 / 1068,TheStriker9
#29,Jungle,QQ Nino,Challenger - 490 LP,53.8,1255 / 1079,Futaro
#30,Support,Kaflax,Challenger - 479 LP,54.4,1179 / 987,Kawax
#31,Mid,EMFyels,Challenger - 478 LP,53.6,1718 / 1490,EMFyels
#32,ADC,NewMeta,Challenger - 466 LP,52.7,2002 / 1799,moxir
#33,Support,DieFliegendeKuh,Challenger - 465 LP,54.3,1391 / 1172,doofboy13
#34,Jungle,Iris,Challenger - 462 LP,54.3,1461 / 1231,WildChoas
#35,Support,xplayz4dayz,Challenger - 456 LP,56.4,1007 / 779,froggen
#36,Support,SupBot,Challenger - 454 LP,53.1,1392 / 1230,TangilBOT
#37,Top,sandbox0,Challenger - 450 LP,53.9,1250 / 1068,
#38,ADC,Puki style23,Challenger - 450 LP,53.0,1235 / 1094,Klorellv4
#39,Support,Princess,Challenger - 443 LP,53.2,1635 / 1438,Princess
#40,Top,Salsa,Challenger - 443 LP,51.9,2270 / 2101,YungYiga
#41,ADC,sandbox15,Challenger - 428 LP,53.4,1442 / 1260,
#42,ADC,-200 years,Challenger - 422 LP,53.9,1202 / 1030,aquietghost
#43,Jungle,Sanga,Challenger - 417 LP,54.2,1777 / 1500,EMFyels
#44,Support,Dibbs,Challenger - 417 LP,53.8,1160 / 998,MaverickG
#45,Top,Diablo,Challenger - 412 LP,53.4,1552 / 1357,Kyzent
#46,ADC,Ree-ason,Challenger - 411 LP,51.7,1658 / 1549,hmphree
#47,Support,Rookie,Challenger - 411 LP,53.6,1338 / 1156,LordArtos
#48,Top,Alistar top,Challenger - 410 LP,54.6,1071 / 892,roysiggi 2 
#49,Top,TopBot,Challenger - 408 LP,51.9,1811 / 1676,TangilBOT
#50,Mid,LeSnek,Challenger - 408 LP,52.4,1197 / 1087,LS
#51,Top,Finch,Grandmaster - 406 LP,52.0,1099 / 1013,LumiFumi
#52,Support,Keria,Grandmaster - 403 LP,51.9,1302 / 1205,TheStriker9
#53,Top,DoinB,Grandmaster - 398 LP,54.0,1134 / 965,LordArtos
#54,Top,Craq,Grandmaster - 396 LP,53.8,3279 / 2819,moxir
#55,Jungle,Freja,Grandmaster - 393 LP,54.7,1049 / 867,ornstein123
#56,ADC,Panther,Grandmaster - 391 LP,53.2,1285 / 1130,WildChoas
#57,Top,Bijou,Grandmaster - 389 LP,50.8,1464 / 1420,EMFyels
#58,Mid,SrqUe,Grandmaster - 386 LP,52.6,1541 / 1389,moxir
#59,ADC,Rabbit4,Grandmaster - 380 LP,54.9,1060 / 870,willchungtester
#60,Support,JoseJose,Grandmaster - 370 LP,52.9,1417 / 1263,tytn
#61,Mid,Tupac,Grandmaster - 369 LP,54.2,1051 / 889,Pranceof
#62,Mid,Mephisto,Grandmaster - 362 LP,53.1,1390 / 1228,Zettohail
#63,Support,Meeeeew,Grandmaster - 362 LP,54.6,1015 / 844,Foxxo
#64,Mid,sandbox10,Grandmaster - 360 LP,53.3,1183 / 1038,
#65,Jungle,PiolsJg,Grandmaster - 360 LP,56.0,895 / 702,Piols2
#66,Support,Wilde,Grandmaster - 360 LP,52.9,1442 / 1286,Wealth_and_Taste
#67,Top,Jarun,Grandmaster - 360 LP,51.7,1593 / 1489,Memersticks
#68,Jungle,SmelliElli,Grandmaster - 359 LP,56.6,985 / 754,bigjon
#69,Jungle,Souless,Grandmaster - 357 LP,54.7,1064 / 881,Bitesized
#70,Jungle,Shard,Grandmaster - 348 LP,53.1,1593 / 1409,Memersticks
#71,ADC,Carrot,Grandmaster - 348 LP,52.1,1069 / 983,Haram
#72,ADC,Pokimane,Grandmaster - 343 LP,52.1,1417 / 1301,Simp
#73,Support,stolik,Grandmaster - 342 LP,53.1,1260 / 1115,stolik
#74,Mid,Jess,Grandmaster - 329 LP,52.5,1410 / 1274,WildChoas
#75,Jungle,Prophet,Grandmaster - 319 LP,55.6,995 / 793,Four
#76,Jungle,Ricardo,Grandmaster - 318 LP,49.7,1282 / 1300,prophetofvoid
#77,Jungle,Senbonzakura,Grandmaster - 318 LP,53.8,922 / 791,PacoPeco
#78,Jungle,DoperThanDopa,Grandmaster - 317 LP,54.7,1180 / 978,yukioken
#79,Top,Fantasy,Grandmaster - 317 LP,52.7,1189 / 1069,WildChoas
#80,Top,Ooga,Grandmaster - 316 LP,54.2,1381 / 1168,Poggersnation
#81,Jungle,Pyosuck,Grandmaster - 315 LP,53.7,1014 / 875,Key
#82,ADC,botkek,Grandmaster - 313 LP,52.8,1872 / 1674,redeemer
#83,Support,Emwues24,Grandmaster - 311 LP,53.7,938 / 810,Jinxnator
#84,ADC,UziisBack,Grandmaster - 310 LP,51.3,1644 / 1559,Zettohail
#85,Top,Dumbass,Grandmaster - 309 LP,51.1,1591 / 1523,Key
#86,Support,Elythys,Grandmaster - 308 LP,55.1,864 / 704,Elythys
#87,Jungle,02020202020202,Grandmaster - 304 LP,50.7,1325 / 1288,sanchesmemo
