Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,Jungle,DanDyx,Challenger - 2389 LP,70.8,891 / 368,Choi
#2,Jungle,Aela ,Challenger - 1554 LP,58.1,1205 / 869,MolscarZX
#3,ADC,Impx,Challenger - 1340 LP,61.2,1386 / 880,Choi
#4,Jungle,tarzaned,Challenger - 1051 LP,60.6,499 / 324,Tyler1
#5,Mid,Jarl Mid,Challenger - 887 LP,59.3,1265 / 867,Jarl
#6,Support,HelpingX,Challenger - 812 LP,58.1,1197 / 865,Felixxx
#7,Top,Heimerdonger,Challenger - 739 LP,56.0,1702 / 1336,TimoMacDonut
#8,Jungle,AttSeeker,Challenger - 736 LP,56.5,887 / 682,PaxVan
#9,Mid,Etosh,Challenger - 698 LP,54.1,1397 / 1186,Etosh
#10,ADC,Cryhard II,Challenger - 676 LP,54.2,1468 / 1240,roysiggi
#11,Mid,PawNx,Challenger - 644 LP,54.9,1415 / 1164,Choi
#12,Support,Fekker,Challenger - 636 LP,54.8,1460 / 1204,Key
#13,Jungle,Canyon,Challenger - 635 LP,58.2,1377 / 987,YamatoCannon
#14,Jungle,sandbox5,Challenger - 587 LP,55.5,988 / 792,
#15,Jungle,Stupid Jungler,Challenger - 582 LP,59.3,1091 / 749,PooPooPeePee
#16,Jungle,Umbral,Challenger - 581 LP,55.3,1229 / 995,Indoraps
#17,Jungle,Wakes,Challenger - 576 LP,57.4,1477 / 1094,alim
#18,Mid,Choky,Challenger - 569 LP,54.4,1465 / 1226,Key
#19,Jungle,Prime Bengi,Challenger - 542 LP,59.9,885 / 592,LDK
#20,Jungle,Shitfeather,Challenger - 536 LP,56.7,1150 / 878,hiroli
#21,Support,unicornpetpetuwu,Challenger - 536 LP,53.6,1378 / 1195,GamerGirls
#22,Mid,The_Ghost16,Challenger - 535 LP,54.5,1100 / 919,Sb1
#23,Mid,midkek,Challenger - 526 LP,52.5,1489 / 1345,redeemer
#24,Jungle,Nunu V2,Challenger - 507 LP,56.4,1043 / 807,willchung1024
#25,Jungle,QQ Nino,Challenger - 497 LP,53.8,1238 / 1062,Futaro
#26,Support,Aeryn,Challenger - 492 LP,54.3,1311 / 1105,WildChoas
#27,Support,Princess,Challenger - 486 LP,53.2,1560 / 1370,Princess
#28,Support,DieFliegendeKuh,Challenger - 478 LP,54.5,1360 / 1135,doofboy13
#29,Jungle,Iris,Challenger - 476 LP,54.4,1441 / 1208,WildChoas
#30,Mid,Chovy,Challenger - 475 LP,54.7,1257 / 1039,TheStriker9
#31,Top,Salsa,Challenger - 468 LP,52.0,2224 / 2049,YungYiga
#32,Top,sandbox0,Challenger - 467 LP,54.2,1214 / 1026,
#33,ADC,Puki style23,Challenger - 460 LP,53.2,1201 / 1055,Klorellv4
#34,ADC,NewMeta,Challenger - 457 LP,52.7,1955 / 1755,moxir
#35,ADC,botkek,Challenger - 455 LP,53.1,1817 / 1603,redeemer
#36,Jungle,junglekek,Challenger - 451 LP,53.7,1256 / 1085,redeemer
#37,Support,xplayz4dayz,Challenger - 451 LP,56.5,973 / 748,froggen
#38,Top,Alistar top,Challenger - 440 LP,54.9,1043 / 856,roysiggi 2 
#39,ADC,Panther,Challenger - 432 LP,53.6,1264 / 1096,WildChoas
#40,Support,SupBot,Challenger - 432 LP,52.9,1364 / 1213,TangilBOT
#41,Support,Keria,Challenger - 428 LP,52.1,1276 / 1175,TheStriker9
#42,Support,Dibbs,Challenger - 422 LP,53.8,1129 / 968,MaverickG
#43,ADC,-200 years,Challenger - 422 LP,53.9,1172 / 1001,aquietghost
#44,Top,Craq,Challenger - 415 LP,53.9,3251 / 2786,moxir
#45,Top,TopBot,Challenger - 414 LP,52.0,1780 / 1646,TangilBOT
#46,Mid,LeSnek,Challenger - 410 LP,52.4,1170 / 1063,LS
#47,Jungle,Sanga,Challenger - 408 LP,54.0,1645 / 1402,EMFyels
#48,Support,Rookie,Challenger - 408 LP,53.6,1303 / 1128,LordArtos
#49,Mid,SrqUe,Challenger - 400 LP,52.7,1524 / 1369,moxir
#50,Support,Kaflax,Challenger - 399 LP,54.3,1127 / 947,Kawax
#51,Mid,Mephisto,Grandmaster - 398 LP,53.3,1365 / 1194,Zettohail
#52,Jungle,Kaltch,Grandmaster - 397 LP,55.0,1343 / 1097,Princess
#53,ADC,sandbox15,Grandmaster - 395 LP,53.2,1402 / 1234,
#54,Support,Wilde,Grandmaster - 395 LP,53.1,1422 / 1257,Wealth_and_Taste
#55,Top,DoinB,Grandmaster - 389 LP,54.0,1101 / 939,LordArtos
#56,Top,Finch,Grandmaster - 386 LP,51.8,1060 / 986,LumiFumi
#57,Jungle,Shard,Grandmaster - 385 LP,53.3,1571 / 1378,Memersticks
#58,ADC,Carrot,Grandmaster - 377 LP,52.4,1049 / 953,Haram
