Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,Jungle,DanDyx,Challenger - 2676 LP,70.6,953 / 396,Choi
#2,Jungle,Aela ,Challenger - 1556 LP,57.9,1218 / 886,MolscarZX
#3,ADC,Impx,Challenger - 1324 LP,60.6,1470 / 954,Choi
#4,Jungle,tarzaned,Challenger - 1017 LP,59.7,506 / 341,Tyler1
#5,Mid,Jarl Mid,Challenger - 893 LP,59.2,1297 / 895,Jarl
#6,Support,HelpingX,Challenger - 859 LP,58.1,1255 / 904,Felixxx
#7,Top,Heimerdonger,Challenger - 852 LP,56.2,1836 / 1431,TimoMacDonut
#8,Mid,Etosh,Challenger - 780 LP,54.5,1470 / 1225,Etosh
#9,Jungle,AttSeeker,Challenger - 720 LP,56.2,917 / 714,PaxVan
#10,ADC,Cryhard II,Challenger - 679 LP,54.0,1567 / 1335,roysiggi
#11,Support,Fekker,Challenger - 658 LP,54.8,1528 / 1261,Key
#12,Jungle,Canyon,Challenger - 645 LP,58.2,1415 / 1016,YamatoCannon
#13,Jungle,Stupid Jungler,Challenger - 639 LP,59.6,1146 / 778,PooPooPeePee
#14,Jungle,sandbox5,Challenger - 628 LP,55.7,1036 / 824,
#15,Jungle,Prime Bengi,Challenger - 605 LP,59.9,938 / 628,LDK
#16,Jungle,Wakes,Challenger - 603 LP,57.5,1517 / 1121,alim
#17,Mid,PawNx,Challenger - 597 LP,54.4,1508 / 1266,Choi
#18,Support,unicornpetpetuwu,Challenger - 593 LP,53.7,1452 / 1250,GamerGirls
#19,Mid,Choky,Challenger - 588 LP,54.3,1535 / 1292,Key
#20,Jungle,Nunu V2,Challenger - 574 LP,56.6,1096 / 840,willchung1024
#21,Jungle,Umbral,Challenger - 573 LP,55.1,1280 / 1045,Indoraps
#22,Support,Aeryn,Challenger - 571 LP,54.4,1406 / 1177,WildChoas
#23,Mid,The_Ghost16,Challenger - 550 LP,54.4,1159 / 971,Sb1
#24,Jungle,Shitfeather,Challenger - 545 LP,56.7,1185 / 906,hiroli
#25,Top,Diablo,Challenger - 541 LP,53.5,1681 / 1461,Kyzent
#26,Mid,Chovy,Challenger - 529 LP,55.0,1332 / 1091,TheStriker9
#27,Mid,midkek,Challenger - 514 LP,52.6,1607 / 1448,redeemer
#28,Jungle,QQ Nino,Challenger - 500 LP,53.9,1273 / 1090,Futaro
#29,Jungle,Kaltch,Challenger - 492 LP,55.2,1474 / 1194,Princess
#30,Jungle,Iris,Challenger - 490 LP,54.3,1513 / 1271,WildChoas
#31,ADC,NewMeta,Challenger - 488 LP,52.8,2037 / 1821,moxir
#32,Mid,EMFyels,Challenger - 482 LP,53.6,1760 / 1524,EMFyels
#33,ADC,botkek,Challenger - 476 LP,53.1,1947 / 1722,redeemer
#34,Support,xplayz4dayz,Challenger - 462 LP,56.4,1039 / 803,froggen
#35,Jungle,Sanga,Challenger - 459 LP,54.3,1871 / 1573,EMFyels
#36,ADC,Puki style23,Challenger - 444 LP,53.0,1263 / 1121,Klorellv4
#37,Jungle,junglekek,Challenger - 443 LP,53.9,1370 / 1172,redeemer
#38,Support,DieFliegendeKuh,Challenger - 438 LP,54.1,1414 / 1200,doofboy13
#39,Support,SupBot,Challenger - 437 LP,53.0,1414 / 1254,TangilBOT
#40,Support,Kaflax,Challenger - 432 LP,54.3,1234 / 1038,Kawax
#41,Top,Salsa,Challenger - 432 LP,51.9,2302 / 2132,YungYiga
#42,Top,Alistar top,Challenger - 420 LP,54.7,1106 / 917,roysiggi 2 
#43,ADC,Rabbit4,Challenger - 417 LP,55.2,1107 / 898,willchungtester
#44,Top,Bijou,Challenger - 412 LP,51.1,1539 / 1475,EMFyels
#45,Top,Finch,Challenger - 409 LP,51.9,1129 / 1046,LumiFumi
#46,Top,sandbox0,Challenger - 407 LP,53.6,1269 / 1099,
#47,Support,Princess,Challenger - 406 LP,53.0,1701 / 1508,Princess
#48,ADC,Ree-ason,Challenger - 405 LP,51.7,1688 / 1578,hmphree
#49,ADC,-200 years,Challenger - 405 LP,53.7,1233 / 1064,aquietghost
#50,Support,Dibbs,Challenger - 402 LP,53.6,1191 / 1031,MaverickG
#51,Top,DoinB,Grandmaster - 400 LP,53.9,1178 / 1006,LordArtos
#52,ADC,sandbox15,Grandmaster - 397 LP,53.1,1470 / 1296,
#53,Support,Keria,Grandmaster - 397 LP,52.0,1330 / 1230,TheStriker9
#54,Top,TopBot,Grandmaster - 396 LP,51.9,1848 / 1713,TangilBOT
#55,Top,Craq,Grandmaster - 395 LP,53.8,3316 / 2851,moxir
#56,Support,Rookie,Grandmaster - 392 LP,53.5,1370 / 1190,LordArtos
#57,Jungle,Freja,Grandmaster - 391 LP,54.7,1080 / 895,ornstein123
#58,Mid,LeSnek,Grandmaster - 382 LP,52.2,1231 / 1126,LS
#59,Mid,Prime Faker,Grandmaster - 378 LP,54.8,959 / 792,LDK
#60,Support,Meeeeew,Grandmaster - 377 LP,54.7,1050 / 871,Foxxo
#61,Top,Fantasy,Grandmaster - 376 LP,52.7,1238 / 1109,WildChoas
#62,Mid,Mephisto,Grandmaster - 376 LP,53.2,1426 / 1254,Zettohail
#63,Support,Wilde,Grandmaster - 373 LP,53.0,1476 / 1311,Wealth_and_Taste
#64,Support,JoseJose,Grandmaster - 367 LP,52.8,1446 / 1293,tytn
#65,Jungle,Shard,Grandmaster - 363 LP,53.1,1650 / 1458,Memersticks
#66,Jungle,Souless,Grandmaster - 362 LP,54.7,1093 / 905,Bitesized
#67,Jungle,SmelliElli,Grandmaster - 361 LP,56.6,1012 / 777,bigjon
#68,Mid,Tupac,Grandmaster - 357 LP,54.0,1085 / 925,Pranceof
#69,Mid,sandbox10,Grandmaster - 355 LP,53.2,1209 / 1063,
#70,Jungle,PiolsJg,Grandmaster - 353 LP,55.9,930 / 733,Piols2
#71,Mid,SrqUe,Grandmaster - 353 LP,52.4,1565 / 1422,moxir
#72,ADC,Pokimane,Grandmaster - 347 LP,52.1,1452 / 1336,Simp
#73,ADC,Carrot,Grandmaster - 344 LP,52.0,1098 / 1014,Haram
#74,Jungle,Pyosuck,Grandmaster - 344 LP,53.9,1059 / 905,Key
#75,Top,Ooga,Grandmaster - 340 LP,54.2,1429 / 1207,Poggersnation
#76,Jungle,Ricardo,Grandmaster - 336 LP,49.6,1315 / 1335,prophetofvoid
#77,Jungle,Senbonzakura,Grandmaster - 334 LP,53.9,957 / 817,PacoPeco
#78,Jungle,Rain,Grandmaster - 331 LP,53.2,1446 / 1274,cmoney847
#79,Jungle,DoperThanDopa,Grandmaster - 322 LP,54.6,1208 / 1003,yukioken
#80,ADC,Noob,Grandmaster - 322 LP,54.4,897 / 751,Baleygr
#81,Jungle,02020202020202,Grandmaster - 321 LP,50.9,1364 / 1316,sanchesmemo
#82,ADC,Viyo,Grandmaster - 315 LP,51.5,1150 / 1085,Xcotch
#83,Top,Ayu,Grandmaster - 315 LP,51.5,1269 / 1196,Bitesized
#84,ADC,UziisBack,Grandmaster - 313 LP,51.3,1684 / 1596,Zettohail
#85,Mid,Buddha Gautama,Grandmaster - 310 LP,54.2,977 / 827,meroaga
#86,Top,Chad,Grandmaster - 309 LP,49.3,1142 / 1174,prophetofvoid
#87,Jungle,Jinxnator,Grandmaster - 308 LP,55.7,934 / 744,Jinxnator
#88,Jungle,Prophet,Grandmaster - 307 LP,55.4,1027 / 826,Four
#89,Top,Natlas,Grandmaster - 307 LP,52.2,1169 / 1070,Trindor
#90,Jungle,Moxir,Grandmaster - 302 LP,53.0,1919 / 1702,moxir
#91,ADC,Seymour Buttz,Grandmaster - 301 LP,51.3,1603 / 1522,Agentdj
#92,Mid,Rabbit108,Grandmaster - 298 LP,55.7,969 / 772,willchung128
#93,Jungle,Jungler23,Grandmaster - 295 LP,55.4,931 / 751,js2614
#94,Support,Emwues24,Grandmaster - 294 LP,53.4,968 / 846,Jinxnator
#95,Top,Kingen,Grandmaster - 293 LP,53.4,1025 / 895,Maffayoo
#96,Mid,Snek,Grandmaster - 293 LP,52.2,1211 / 1107,prophetofvoid
#97,ADC,Panther,Grandmaster - 292 LP,53.0,1386 / 1231,WildChoas
#98,Top,Dumbass,Grandmaster - 291 LP,51.0,1616 / 1553,Key
#99,ADC,Blink Sooyaaa,Grandmaster - 288 LP,52.0,1043 / 961,willchung127
#100,Support,Elythys,Grandmaster - 288 LP,54.7,892 / 740,Elythys
