Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,Jungle,Stupid Jungler,Challenger - 219 LP,59.0,326 / 227,PooPooPeePee
#2,Jungle,Nunu V2,Challenger - 210 LP,55.1,436 / 356,willchung1024
#3,Support,HelpingX,Challenger - 202 LP,59.4,394 / 269,Felixxx
#4,Jungle,tarzaned,Challenger - 191 LP,56.1,301 / 236,Tyler1
#5,Mid,Rabbit8,Challenger - 145 LP,55.6,416 / 332,racingrabbits3
#6,Top,topkek,Challenger - 137 LP,55.1,433 / 353,redeemer
#7,Support,unicornpetpetuwu,Challenger - 123 LP,55.4,486 / 391,GamerGirls
#8,Support,Eclipsed,Challenger - 118 LP,53.0,574 / 508,cmoney847
#9,Mid,Chovy,Challenger - 116 LP,51.7,503 / 469,TheStriker9
#10,ADC,Teddy,Challenger - 103 LP,51.3,373 / 354,Kim
#11,Support,Salut,Challenger - 101 LP,51.0,606 / 583,moxir
#12,Top,CHADWICK,Challenger - 89 LP,53.4,424 / 370,MaverickG2
#13,Mid,Cody275,Challenger - 89 LP,55.0,449 / 368,[email protected]
#14,Jungle,Canyon,Challenger - 88 LP,56.8,353 / 269,YamatoCannon
#15,Top,TheAccelerator,Challenger - 76 LP,53.8,428 / 368,Lokalika
#16,Jungle,Senbonzakura,Challenger - 71 LP,55.1,437 / 356,PacoPeco
#17,ADC,NewMeta,Challenger - 68 LP,52.5,462 / 418,moxir
#18,ADC,lumbago,Challenger - 56 LP,56.0,405 / 318,debauchery
#19,Support,Wilde,Challenger - 55 LP,53.5,557 / 485,Wealth_and_Taste
#20,Mid,Pane,Challenger - 55 LP,57.0,404 / 305,remixitagain
#21,Jungle,SmelliElli,Challenger - 45 LP,55.5,412 / 330,bigjon
#22,Top,pulsion,Challenger - 42 LP,52.4,517 / 469,garbz
#23,Mid,DeliciousMilk,Challenger - 38 LP,50.9,532 / 513,Bitesized
#24,Jungle,Papafrita,Challenger - 32 LP,53.5,457 / 397,NismanSlayer
#25,ADC,Noob,Challenger - 32 LP,53.9,487 / 416,Baleygr
#26,ADC,Nieuss,Challenger - 27 LP,55.4,437 / 352,Nieuss
#27,ADC,Tapu Fini,Challenger - 21 LP,53.3,362 / 317,krxington
#28,Top,Fabrizio Frizzi,Challenger - 21 LP,52.1,505 / 464,CQANQKA
#29,Mid,Prime Faker,Challenger - 13 LP,53.2,416 / 366,LDK
#30,Jungle,Prophet,Challenger - 10 LP,55.9,426 / 336,Four
#31,Jungle,Aela ,Challenger - 9 LP,53.1,461 / 407,MolscarZX
#32,Mid,Factor,Challenger - 8 LP,52.2,487 / 446,thefactor7
#33,Mid,The_Ghost16,Challenger - 7 LP,50.0,476 / 476,Sb1
#34,Support,xplayz4dayz,Challenger - 5 LP,55.7,434 / 345,froggen
#35,Mid,MidHE,Challenger - 4 LP,48.5,400 / 424,tyrion
#36,Mid,Jarl Mid,Challenger - 3 LP,53.7,392 / 338,Jarl
#37,Support,V5 ppgod,Challenger - 2 LP,54.0,470 / 401,Lior
#38,ADC,adcdiff,Diamond I - 98 LP,54.1,486 / 413,difference
#39,Support,Chrome,Diamond I - 96 LP,49.6,392 / 398,Memersticks
#40,ADC,Abeel,Diamond I - 93 LP,53.8,502 / 431,NismanSlayer
#41,Top,GuppyMilk,Diamond I - 93 LP,53.2,538 / 473,gespenst
#42,ADC,invention,Diamond I - 91 LP,53.0,571 / 507,garbz
#43,Support,Hubble Telescope,Diamond I - 89 LP,52.9,423 / 376,Popelyua
#44,Support,Support23,Diamond I - 88 LP,49.3,508 / 522,js2614
#45,Mid,Ciri,Diamond I - 88 LP,54.3,500 / 420,warmi024
#46,Jungle,AttSeeker,Diamond I - 85 LP,52.5,457 / 414,PaxVan
#47,Top,Sirio,Diamond I - 85 LP,52.5,241 / 218,Spezza
#48,Mid,Yuumi Mid,Diamond I - 82 LP,51.9,456 / 422,Noon
#49,Jungle,Shard,Diamond I - 81 LP,51.7,493 / 461,Memersticks
#50,Jungle,TheSecretWeapon,Diamond I - 80 LP,53.8,395 / 339,Erknaite
#51,Support,Stracchino,Diamond I - 80 LP,54.2,438 / 370,LovelyKangaroo
#52,Support,Rabbit5,Diamond I - 78 LP,51.3,520 / 494,willchungtester
#53,Top,Ayu,Diamond I - 78 LP,52.5,629 / 570,Bitesized
#54,Top,Fantasy,Diamond I - 77 LP,50.8,382 / 370,WildChoas
