Champion name,Win rate(%),Wins / losses
Malphite,57.8,741 / 540
Garen,57.0,61 / 46
Brand,56.5,315 / 243
Illaoi,56.3,556 / 431
Karma,54.8,7359 / 6069
Nunu,54.8,698 / 575
Zac,53.9,3056 / 2611
Pyke,53.8,4034 / 3469
Skarner,53.5,1744 / 1515
Udyr,53.4,3907 / 3410
Karthus,53.3,6018 / 5282
Poppy,53.3,451 / 395
Shen,53.1,1655 / 1459
Galio,53.0,1436 / 1275
Malzahar,53.0,376 / 333
Warwick,52.9,842 / 751
Volibear,52.6,880 / 792
Rakan,52.2,5097 / 4666
Aphelios,51.9,3126 / 2900
Sejuani,51.9,496 / 460
Zyra,51.7,184 / 172
Hecarim,51.6,726 / 681
Alistar,51.6,673 / 632
Sona,51.5,2917 / 2749
Ashe,51.5,1347 / 1270
Rek'Sai,51.3,484 / 460
Yorick,51.3,249 / 236
Lee Sin,51.2,1085 / 1035
Dr. Mundo,51.2,700 / 666
Senna,51.1,4907 / 4692
Yasuo,51.1,2443 / 2336
Vi,51.1,117 / 112
Thresh,51.0,855 / 823
Irelia,50.9,3067 / 2960
Graves,50.8,2042 / 1978
Syndra,50.8,493 / 478
Trundle,50.8,339 / 328
Blitzcrank,50.6,824 / 806
Aurelion Sol,50.6,442 / 431
Rammus,50.6,201 / 196
Ivern,50.5,904 / 887
Orianna,50.5,663 / 649
Rumble,50.3,156 / 154
Ornn,50.2,1285 / 1276
Bard,50.0,1391 / 1390
Kalista,50.0,66 / 66
Xayah,49.9,1976 / 1982
Zilean,49.8,428 / 431
Jinx,49.8,379 / 382
Ahri,49.6,936 / 951
Caitlyn,49.6,780 / 792
Nasus,49.6,458 / 466
Kayle,49.6,230 / 234
Nocturne,49.5,744 / 759
Gragas,49.5,248 / 253
Singed,49.3,1228 / 1265
Fiddlesticks,49.1,530 / 550
Nidalee,49.1,433 / 448
Janna,49.0,824 / 856
Nautilus,48.9,863 / 901
Draven,48.8,731 / 767
Ryze,48.5,637 / 677
Leona,48.4,516 / 550
Maokai,48.4,303 / 323
Lucian,48.3,390 / 417
Amumu,48.3,183 / 196
Renekton,48.3,172 / 184
Wukong,48.2,456 / 491
Corki,48.1,149 / 161
Mordekaiser,47.9,448 / 487
Urgot,47.9,226 / 246
Vel'Koz,47.9,221 / 240
Elise,47.9,195 / 212
Master Yi,47.8,850 / 929
Tryndamere,47.7,1055 / 1155
Katarina,47.7,210 / 230
Camille,47.6,1092 / 1201
Miss Fortune,47.6,829 / 913
Sion,47.6,392 / 431
Gnar,47.6,311 / 342
Kog'Maw,47.6,275 / 303
Ziggs,47.6,168 / 185
Pantheon,47.5,557 / 615
Braum,47.4,769 / 852
Fizz,47.4,145 / 161
Jarvan IV,47.3,320 / 357
Tristana,47.3,291 / 324
Teemo,46.8,215 / 244
Riven,46.7,728 / 830
Kindred,46.7,223 / 255
Kassadin,46.4,345 / 398
Shyvana,46.4,65 / 75
Sylas,46.2,497 / 579
Ekko,46.1,267 / 312
LeBlanc,46.1,251 / 293
Kai'Sa,46.0,512 / 602
Anivia,45.7,405 / 481
Nami,45.6,349 / 417
Heimerdinger,45.5,171 / 205
Neeko,45.5,137 / 164
Olaf,45.4,306 / 368
Aatrox,45.3,601 / 725
Varus,45.2,471 / 570
Shaco,45.2,201 / 244
Tahm Kench,45.1,249 / 303
Jhin,44.9,203 / 249
Kled,44.7,144 / 178
Jayce,44.6,260 / 323
Rengar,44.6,45 / 56
Sett,44.5,660 / 823
Kennen,44.5,526 / 655
Cho'Gath,44.5,167 / 208
Ezreal,44.4,1027 / 1287
Evelynn,44.3,383 / 482
Cassiopeia,44.3,323 / 406
Kha'Zix,44.2,442 / 557
Swain,44.2,221 / 279
Yuumi,44.0,831 / 1059
Vladimir,44.0,196 / 249
Sivir,43.6,180 / 233
Azir,43.5,314 / 408
Twitch,43.5,243 / 315
Jax,43.5,110 / 143
Morgana,43.5,110 / 143
Lux,43.2,98 / 129
Viktor,43.2,82 / 108
Darius,43.1,276 / 364
Xerath,43.0,984 / 1305
Diana,43.0,89 / 118
Zoe,42.7,320 / 429
Zed,42.7,247 / 331
Lulu,42.6,181 / 244
Vayne,42.5,528 / 713
Gangplank,42.5,333 / 450
Fiora,42.3,380 / 519
Akali,42.2,566 / 774
Veigar,42.0,383 / 529
Annie,41.8,155 / 216
Xin Zhao,41.8,122 / 170
Talon,41.5,270 / 381
Soraka,41.3,104 / 148
Quinn,41.2,187 / 267
Qiyana,40.4,116 / 171
Twisted Fate,39.2,160 / 248
Taliyah,37.2,70 / 118
Lissandra,36.0,64 / 114
Taric,31.4,491 / 1072
