Champion name,Win rate(%),Wins / losses
Blitzcrank,64.3,293 / 163
Kassadin,64.1,59 / 33
Renekton,63.6,28 / 16
Vi,63.0,34 / 20
Swain,59.8,158 / 106
Udyr,59.6,283 / 192
Ahri,59.5,1552 / 1055
Karthus,59.3,731 / 502
Nautilus,59.2,1886 / 1302
LeBlanc,58.8,47 / 33
Garen,57.3,51 / 38
Zyra,56.7,156 / 119
Neeko,56.6,1416 / 1084
Ekko,56.6,852 / 653
Zed,55.9,1241 / 979
Pantheon,55.7,602 / 478
Alistar,55.5,430 / 345
Mordekaiser,55.4,506 / 407
Bard,55.3,1296 / 1046
Zilean,55.2,37 / 30
Pyke,55.1,398 / 324
Gnar,55.1,212 / 173
Gragas,55.0,225 / 184
Ornn,54.8,566 / 467
Sejuani,54.3,787 / 663
Volibear,54.3,215 / 181
Poppy,54.1,817 / 692
Shen,53.9,518 / 443
Urgot,53.6,398 / 344
Talon,53.6,265 / 229
Qiyana,53.2,256 / 225
Vladimir,52.9,678 / 604
Warwick,52.6,10 / 9
Hecarim,52.5,42 / 38
Aurelion Sol,52.2,59 / 54
Riven,52.0,167 / 154
Braum,51.9,204 / 189
Morgana,51.9,177 / 164
Rengar,51.8,547 / 510
Ivern,51.7,437 / 408
Sett,51.6,606 / 568
Akali,51.6,308 / 289
Quinn,51.5,228 / 215
Xayah,51.3,576 / 546
Wukong,51.3,405 / 384
Aatrox,51.3,193 / 183
Nocturne,51.3,115 / 109
Kog'Maw,51.2,85 / 81
Katarina,51.1,507 / 486
Thresh,51.0,525 / 505
Malphite,51.0,407 / 391
Rammus,51.0,76 / 73
Nunu,51.0,50 / 48
Rakan,50.6,1026 / 1002
Cho'Gath,50.6,914 / 894
Fiora,50.6,91 / 89
Jarvan IV,50.6,45 / 44
Miss Fortune,50.5,618 / 606
Maokai,50.4,254 / 250
Camille,50.1,405 / 403
Lee Sin,50.0,157 / 157
Jhin,49.8,344 / 347
Master Yi,49.6,111 / 113
Evelynn,49.5,102 / 104
Amumu,49.5,51 / 52
Dr. Mundo,49.3,615 / 632
Aphelios,49.3,277 / 285
Skarner,49.2,117 / 121
Orianna,49.0,195 / 203
Zac,49.0,168 / 175
Diana,48.6,191 / 202
Varus,48.5,115 / 122
Tahm Kench,48.4,236 / 252
Elise,48.4,119 / 127
Singed,48.3,223 / 239
Yorick,48.1,140 / 151
Kai'Sa,47.8,294 / 321
Janna,47.8,275 / 300
Brand,47.7,42 / 46
Fizz,47.6,361 / 398
Zoe,47.6,158 / 174
Soraka,47.1,328 / 369
Ezreal,47.0,368 / 415
Rek'Sai,46.9,160 / 181
Tryndamere,46.7,43 / 49
Syndra,46.5,261 / 300
Kha'Zix,46.5,113 / 130
Galio,46.3,437 / 507
Ziggs,46.3,44 / 51
Kled,46.1,393 / 459
Yuumi,46.1,254 / 297
Sona,46.1,111 / 130
Annie,46.0,830 / 975
Ashe,45.9,206 / 243
Shaco,45.9,17 / 20
Nasus,45.8,250 / 296
Twitch,45.7,295 / 350
Jax,45.3,334 / 403
Jinx,45.3,215 / 260
Leona,45.3,63 / 76
Sylas,45.2,90 / 109
Vayne,45.1,293 / 357
Malzahar,45.1,231 / 281
Heimerdinger,44.4,708 / 885
Nidalee,44.4,268 / 336
Trundle,44.0,179 / 228
Karma,44.0,166 / 211
Xerath,44.0,84 / 107
Yasuo,43.9,355 / 453
Veigar,43.8,284 / 364
Sion,43.8,199 / 255
Taric,43.5,534 / 694
Gangplank,43.4,89 / 116
Sivir,43.2,271 / 356
Lulu,43.2,54 / 71
Anivia,43.0,128 / 170
Fiddlesticks,42.7,32 / 43
Caitlyn,42.6,518 / 698
Teemo,42.6,393 / 529
Draven,42.6,333 / 449
Irelia,42.5,215 / 291
Kalista,42.4,168 / 228
Olaf,42.3,217 / 296
Kindred,41.9,99 / 137
Illaoi,41.9,26 / 36
Nami,41.8,309 / 430
Corki,41.3,33 / 47
Viktor,41.2,189 / 270
Vel'Koz,41.1,150 / 215
Kennen,41.1,134 / 192
Graves,40.9,65 / 94
Lux,40.7,158 / 230
Azir,40.7,123 / 179
Xin Zhao,40.3,219 / 325
Tristana,39.6,187 / 285
Ryze,39.5,17 / 26
Jayce,39.2,20 / 31
Cassiopeia,39.1,84 / 131
Twisted Fate,39.0,32 / 50
Darius,38.6,32 / 51
Lucian,37.2,213 / 359
Shyvana,36.3,293 / 514
Lissandra,36.1,13 / 23
Taliyah,33.3,16 / 32
Kayle,32.9,26 / 53
Senna,31.2,191 / 422
Rumble,25.0,4 / 12
