Champion name,Win rate(%),Wins / losses
Pyke,54.9,67489 / 55513
Nautilus,54.0,60000 / 51108
Thresh,52.6,20809 / 18774
Draven,52.5,17552 / 15897
Sivir,52.2,7277 / 6661
Riven,51.9,12287 / 11380
Maokai,51.8,24460 / 22767
Janna,51.8,9191 / 8555
Amumu,51.4,4823 / 4552
Quinn,51.3,5980 / 5673
Sejuani,51.2,26517 / 25226
Shen,51.2,19082 / 18201
Poppy,51.2,17407 / 16593
Ezreal,51.2,16272 / 15530
Leona,51.1,9082 / 8681
Senna,51.0,21464 / 20645
Heimerdinger,51.0,5658 / 5432
Ziggs,51.0,2584 / 2483
Lissandra,51.0,1779 / 1710
Vi,50.9,3412 / 3286
Aurelion Sol,50.8,9573 / 9255
Udyr,50.8,3828 / 3713
Ryze,50.7,9481 / 9229
Warwick,50.7,7046 / 6854
Fiora,50.7,5277 / 5132
Tryndamere,50.6,2267 / 2216
Ivern,50.5,32998 / 32376
Viktor,50.5,2799 / 2742
Sett,50.4,33471 / 32965
Xayah,50.4,20032 / 19748
Yasuo,50.4,15014 / 14762
Ekko,50.3,30710 / 30341
Ornn,50.3,17457 / 17225
Qiyana,50.3,12887 / 12751
LeBlanc,50.3,11615 / 11479
Anivia,50.3,1746 / 1726
Fizz,50.2,6981 / 6924
Evelynn,50.2,4109 / 4080
Cho'Gath,50.1,23471 / 23348
Kog'Maw,50.1,10461 / 10437
Wukong,50.1,7121 / 7096
Neeko,50.0,25206 / 25210
Akali,50.0,12070 / 12065
Irelia,50.0,6837 / 6829
Galio,49.9,11046 / 11093
Lucian,49.9,8517 / 8544
Jhin,49.9,6116 / 6150
Talon,49.9,5447 / 5476
Azir,49.9,4003 / 4012
Ahri,49.8,56596 / 57113
Jayce,49.8,3820 / 3850
Rumble,49.8,2016 / 2036
Aphelios,49.7,25307 / 25660
Nunu,49.7,16985 / 17193
Braum,49.7,5807 / 5879
Xerath,49.7,1642 / 1660
Camille,49.6,12969 / 13197
Pantheon,49.6,11517 / 11702
Miss Fortune,49.6,5944 / 6047
Renekton,49.5,38261 / 39025
Karthus,49.5,27106 / 27642
Vayne,49.5,8523 / 8701
Yone,49.5,8268 / 8442
Rammus,49.5,5033 / 5134
Yuumi,49.4,5453 / 5596
Gnar,49.4,2867 / 2936
Katarina,49.3,5301 / 5447
Varus,49.3,5272 / 5428
Bard,49.2,30180 / 31151
Volibear,49.2,13521 / 13950
Zed,49.2,6236 / 6441
Cassiopeia,49.2,5854 / 6040
Malphite,49.2,4403 / 4546
Syndra,49.2,3477 / 3586
Kassadin,49.1,11003 / 11403
Mordekaiser,49.1,4258 / 4412
Gangplank,49.1,4114 / 4265
Hecarim,49.1,2645 / 2742
Caitlyn,49.0,10134 / 10535
Kai'Sa,48.9,13500 / 14118
Garen,48.9,9574 / 10002
Jinx,48.9,7053 / 7380
Orianna,48.9,3195 / 3341
Lillia,48.8,7339 / 7702
Rek'Sai,48.8,3977 / 4171
Tahm Kench,48.8,3096 / 3252
Kennen,48.7,4764 / 5017
Veigar,48.7,3327 / 3499
Illaoi,48.7,562 / 593
Blitzcrank,48.6,15465 / 16372
Twitch,48.6,9407 / 9954
Rengar,48.6,5294 / 5601
Kayn,48.6,2326 / 2463
Sion,48.5,3581 / 3809
Jarvan IV,48.4,12148 / 12971
Karma,48.4,9855 / 10497
Lee Sin,48.4,4789 / 5102
Rakan,48.3,27649 / 29611
Zoe,48.3,7164 / 7682
Ashe,48.3,6932 / 7420
Alistar,48.3,5690 / 6086
Diana,48.2,6526 / 7007
Singed,48.2,4452 / 4779
Skarner,48.2,1357 / 1458
Graves,48.1,3038 / 3280
Taliyah,48.1,1293 / 1395
Tristana,48.0,3211 / 3472
Dr. Mundo,48.0,3061 / 3321
Nocturne,47.9,1886 / 2051
Taric,47.9,1488 / 1619
Aatrox,47.8,6851 / 7486
Kalista,47.8,3703 / 4040
Zilean,47.8,3145 / 3432
Gragas,47.8,3025 / 3301
Darius,47.7,6944 / 7611
Teemo,47.7,2946 / 3225
Urgot,47.7,2865 / 3142
Nasus,47.7,2620 / 2867
Yorick,47.7,1093 / 1200
Corki,47.4,1574 / 1748
Twisted Fate,47.3,1082 / 1204
Zac,47.2,5891 / 6596
Vladimir,47.2,4779 / 5347
Sylas,47.2,3452 / 3864
Kled,47.2,3153 / 3534
Vel'Koz,47.1,1649 / 1855
Nidalee,46.9,3347 / 3795
Swain,46.8,4004 / 4547
Lux,46.7,1147 / 1309
Morgana,46.5,5090 / 5857
Lulu,46.3,14322 / 16605
Nami,46.0,3737 / 4385
Elise,46.0,2716 / 3187
Annie,45.8,1520 / 1802
Zyra,45.6,1255 / 1496
Kayle,45.5,1313 / 1571
Malzahar,45.5,947 / 1135
Jax,45.4,3074 / 3699
Master Yi,45.3,1573 / 1903
Kha'Zix,44.4,1973 / 2475
Sona,44.2,2689 / 3397
Trundle,44.0,2120 / 2694
Kindred,43.7,870 / 1121
Soraka,43.5,3142 / 4089
Brand,43.1,1153 / 1521
Fiddlesticks,42.7,1898 / 2550
Shyvana,42.0,1719 / 2375
Shaco,41.3,981 / 1396
Olaf,40.7,1527 / 2223
Xin Zhao,37.1,434 / 737
