Champion name,Win rate(%),Wins / losses
Pyke,54.9,67919 / 55851
Nautilus,54.0,60381 / 51445
Thresh,52.6,20963 / 18909
Draven,52.5,17623 / 15970
Sivir,52.3,7347 / 6705
Riven,51.9,12369 / 11466
Maokai,51.8,24588 / 22882
Janna,51.8,9232 / 8601
Amumu,51.5,4868 / 4586
Quinn,51.3,6013 / 5705
Sejuani,51.2,26705 / 25412
Shen,51.2,19194 / 18303
Poppy,51.2,17498 / 16696
Ezreal,51.2,16376 / 15623
Leona,51.2,9143 / 8725
Senna,51.0,21626 / 20782
Heimerdinger,51.0,5688 / 5473
Aurelion Sol,50.9,9631 / 9303
Vi,50.9,3434 / 3313
Ziggs,50.9,2603 / 2506
Lissandra,50.9,1788 / 1723
Fiora,50.8,5314 / 5155
Udyr,50.8,3840 / 3724
Tryndamere,50.7,2301 / 2239
Ryze,50.6,9517 / 9282
Warwick,50.6,7086 / 6908
Ivern,50.5,33155 / 32528
Viktor,50.5,2812 / 2755
Sett,50.4,33721 / 33172
Xayah,50.4,20169 / 19883
Yasuo,50.4,15115 / 14851
Ekko,50.3,30914 / 30513
Ornn,50.3,17549 / 17307
LeBlanc,50.3,11674 / 11544
Anivia,50.3,1757 / 1739
Qiyana,50.2,12961 / 12841
Cho'Gath,50.1,23572 / 23475
Kog'Maw,50.1,10547 / 10512
Wukong,50.1,7174 / 7136
Fizz,50.1,6999 / 6958
Evelynn,50.1,4125 / 4102
Neeko,50.0,25300 / 25337
Akali,50.0,12145 / 12149
Irelia,50.0,6865 / 6862
Azir,50.0,4030 / 4034
Galio,49.9,11105 / 11150
Lucian,49.9,8564 / 8587
Jhin,49.9,6159 / 6194
Ahri,49.8,56915 / 57405
Talon,49.8,5491 / 5525
Jayce,49.8,3843 / 3872
Nunu,49.7,17083 / 17273
Braum,49.7,5834 / 5912
Rumble,49.7,2023 / 2048
Aphelios,49.6,25416 / 25800
Camille,49.6,13092 / 13318
Pantheon,49.6,11580 / 11754
Xerath,49.6,1652 / 1676
Renekton,49.5,38489 / 39218
Karthus,49.5,27263 / 27774
Vayne,49.5,8576 / 8752
Yone,49.5,8309 / 8475
Miss Fortune,49.5,5972 / 6085
Rammus,49.5,5064 / 5166
Katarina,49.4,5334 / 5471
Gnar,49.4,2874 / 2947
Zed,49.3,6274 / 6465
Yuumi,49.3,5504 / 5651
Varus,49.3,5305 / 5457
Syndra,49.3,3502 / 3603
Bard,49.2,30347 / 31310
Volibear,49.2,13582 / 14027
Cassiopeia,49.2,5888 / 6089
Malphite,49.2,4433 / 4582
Kassadin,49.1,11072 / 11458
Mordekaiser,49.1,4275 / 4430
Gangplank,49.1,4149 / 4293
Hecarim,49.1,2666 / 2766
Caitlyn,49.0,10185 / 10586
Kai'Sa,48.9,13565 / 14194
Garen,48.9,9617 / 10055
Jinx,48.9,7098 / 7429
Lillia,48.8,7368 / 7740
Rek'Sai,48.8,4009 / 4201
Orianna,48.8,3209 / 3362
Tahm Kench,48.8,3120 / 3279
Twitch,48.7,9495 / 10016
Veigar,48.7,3346 / 3519
Illaoi,48.7,567 / 597
Blitzcrank,48.6,15537 / 16464
Rengar,48.6,5357 / 5658
Kennen,48.6,4778 / 5044
Kayn,48.5,2345 / 2489
Jarvan IV,48.4,12195 / 13016
Karma,48.4,9913 / 10558
Lee Sin,48.4,4812 / 5128
Sion,48.4,3602 / 3835
Rakan,48.3,27760 / 29742
Zoe,48.3,7239 / 7763
Ashe,48.3,6982 / 7470
Diana,48.2,6547 / 7040
Alistar,48.2,5717 / 6132
Singed,48.2,4473 / 4803
Graves,48.2,3058 / 3291
Skarner,48.2,1361 / 1463
Taliyah,48.2,1302 / 1400
Tristana,48.0,3217 / 3487
Dr. Mundo,48.0,3077 / 3335
Gragas,47.9,3038 / 3311
Aatrox,47.8,6880 / 7526
Kalista,47.8,3722 / 4058
Zilean,47.8,3154 / 3448
Nocturne,47.8,1896 / 2072
Darius,47.7,6979 / 7641
Teemo,47.7,2956 / 3243
Urgot,47.7,2884 / 3162
Taric,47.7,1495 / 1637
Yorick,47.7,1101 / 1207
Nasus,47.6,2632 / 2892
Corki,47.4,1588 / 1759
Sylas,47.2,3466 / 3885
Kled,47.2,3172 / 3549
Twisted Fate,47.2,1089 / 1218
Zac,47.1,5922 / 6644
Vladimir,47.1,4805 / 5389
Vel'Koz,47.1,1657 / 1861
Swain,46.8,4022 / 4578
Nidalee,46.8,3361 / 3818
Lux,46.6,1151 / 1318
Morgana,46.4,5098 / 5883
Lulu,46.3,14385 / 16696
Nami,46.0,3749 / 4395
Elise,45.9,2726 / 3209
Zyra,45.7,1265 / 1504
Annie,45.6,1529 / 1824
Malzahar,45.6,954 / 1139
Kayle,45.5,1320 / 1579
Jax,45.4,3094 / 3715
Master Yi,45.3,1588 / 1919
Sona,44.3,2709 / 3412
Kha'Zix,44.3,1992 / 2504
Trundle,44.0,2134 / 2712
Kindred,43.9,893 / 1142
Soraka,43.5,3156 / 4100
Brand,43.1,1159 / 1532
Fiddlesticks,42.6,1908 / 2570
Shyvana,41.9,1725 / 2389
Shaco,41.2,985 / 1403
Olaf,40.7,1541 / 2242
Xin Zhao,37.2,438 / 741
