Champion name,Win rate(%),Wins / losses
Karthus,55.3,34889 / 28247
Pyke,55.1,24692 / 20142
Ahri,53.7,39382 / 34001
Renekton,53.5,29816 / 25935
Nunu,53.5,13637 / 11843
Nautilus,52.6,21655 / 19498
Ekko,52.4,23681 / 21474
Sett,52.1,10689 / 9844
Maokai,51.8,4993 / 4638
Sejuani,51.7,13376 / 12503
Bard,51.6,26106 / 24511
Kassadin,51.6,7903 / 7400
Blitzcrank,51.4,14929 / 14130
Ornn,51.2,6134 / 5855
Fizz,51.2,2299 / 2188
Poppy,51.1,9167 / 8761
Galio,51.1,4782 / 4585
Volibear,50.9,10499 / 10111
Neeko,50.7,16711 / 16265
Udyr,50.7,3141 / 3049
Amumu,50.6,2315 / 2262
Garen,50.5,5241 / 5145
Cho'Gath,50.4,6334 / 6244
Shen,50.1,9485 / 9439
Pantheon,50.1,8335 / 8291
Warwick,49.9,2767 / 2783
Rammus,49.8,2055 / 2072
LeBlanc,49.7,4935 / 4997
Wukong,49.7,3765 / 3803
Vi,49.6,2979 / 3024
Tahm Kench,49.6,1872 / 1899
Zoe,49.5,4580 / 4680
Talon,49.5,2896 / 2953
Jarvan IV,49.5,2633 / 2683
Rek'Sai,49.5,1656 / 1690
Ezreal,49.2,5707 / 5899
Xayah,49.2,4579 / 4727
Syndra,49.2,3262 / 3372
Ivern,49.2,2780 / 2867
Urgot,49.2,1834 / 1894
Zac,49.1,5514 / 5713
Singed,49.1,2803 / 2903
Katarina,49.0,2679 / 2786
Dr. Mundo,48.9,4407 / 4614
Kai'Sa,48.8,8406 / 8817
Alistar,48.8,4018 / 4220
Riven,48.8,3447 / 3612
Hecarim,48.8,1313 / 1378
Quinn,48.7,4151 / 4377
Leona,48.7,3826 / 4023
Evelynn,48.7,2030 / 2138
Sion,48.7,1498 / 1577
Skarner,48.7,1073 / 1132
Malphite,48.6,2779 / 2943
Aurelion Sol,48.5,2027 / 2155
Gragas,48.5,2014 / 2139
Illaoi,48.5,974 / 1035
Master Yi,48.5,924 / 980
Diana,48.4,1918 / 2046
Rakan,48.3,5414 / 5797
Camille,48.3,3820 / 4093
Swain,48.2,4065 / 4369
Mordekaiser,48.2,3700 / 3980
Akali,48.1,6697 / 7240
Zed,48.0,4510 / 4878
Kled,48.0,1387 / 1504
Lissandra,48.0,355 / 385
Sona,47.9,1720 / 1871
Fiora,47.9,1180 / 1285
Vladimir,47.8,3923 / 4292
Nidalee,47.8,2176 / 2376
Veigar,47.8,1441 / 1574
Qiyana,47.7,3845 / 4212
Aphelios,47.3,5238 / 5831
Nasus,47.3,1361 / 1517
Yorick,47.2,616 / 690
Taliyah,47.1,1074 / 1207
Thresh,47.0,3687 / 4160
Karma,47.0,2569 / 2893
Irelia,47.0,1960 / 2209
Elise,46.9,2174 / 2466
Anivia,46.9,696 / 788
Trundle,46.8,1546 / 1759
Kha'Zix,46.8,1206 / 1370
Braum,46.7,2859 / 3257
Annie,46.7,1846 / 2108
Aatrox,46.6,4400 / 5036
Lee Sin,46.6,3229 / 3698
Nocturne,46.6,1280 / 1468
Ashe,46.5,3998 / 4593
Miss Fortune,46.5,3541 / 4074
Gnar,46.5,1085 / 1249
Lillia,46.4,1935 / 2234
Ryze,46.3,1684 / 1951
Teemo,46.3,1243 / 1442
Vayne,46.2,2602 / 3036
Tristana,46.1,2375 / 2777
Zyra,46.1,868 / 1016
Xerath,46.0,1655 / 1939
Jhin,45.9,2520 / 2966
Brand,45.9,818 / 964
Zilean,45.8,2254 / 2663
Varus,45.8,2050 / 2429
Graves,45.6,1951 / 2329
Caitlyn,45.5,3852 / 4617
Darius,45.5,1358 / 1626
Jayce,45.5,1071 / 1283
Twitch,45.4,3472 / 4170
Rengar,45.3,1324 / 1596
Soraka,45.2,983 / 1190
Sivir,45.1,1102 / 1344
Draven,45.0,1866 / 2281
Kalista,44.7,1520 / 1883
Shaco,44.6,608 / 755
Jax,44.4,1494 / 1873
Yasuo,44.3,3119 / 3925
Kog'Maw,44.3,1562 / 1967
Fiddlesticks,44.3,1432 / 1801
Jinx,44.1,1495 / 1894
Sylas,44.0,2032 / 2587
Rumble,44.0,642 / 818
Taric,43.6,1043 / 1351
Shyvana,43.5,685 / 888
Tryndamere,43.3,491 / 643
Viktor,43.0,979 / 1296
Lulu,42.6,1184 / 1595
Yuumi,42.3,1324 / 1805
Olaf,42.1,1095 / 1507
Corki,42.1,769 / 1059
Kindred,42.1,754 / 1035
Orianna,41.8,1129 / 1571
Heimerdinger,41.8,726 / 1011
Lucian,41.7,1403 / 1961
Nami,41.6,996 / 1399
Janna,41.3,1166 / 1660
Cassiopeia,41.1,895 / 1281
Malzahar,41.1,608 / 873
Xin Zhao,40.6,289 / 422
Morgana,40.4,1277 / 1880
Kennen,40.2,645 / 960
Azir,39.7,1012 / 1539
Lux,39.4,426 / 655
Ziggs,39.3,311 / 480
Gangplank,38.6,951 / 1515
Kayle,38.4,385 / 617
Vel'Koz,37.2,574 / 967
Twisted Fate,36.5,366 / 636
Senna,36.4,1040 / 1817
