Champion name,Win rate(%),Wins / losses
Pyke,55.3,37419 / 30248
Karthus,55.2,51027 / 41361
Ahri,53.7,57334 / 49495
Nunu,53.6,20834 / 18029
Renekton,53.4,43844 / 38278
Ekko,52.4,34335 / 31234
Nautilus,52.3,31438 / 28670
Sett,52.0,16274 / 15049
Bard,51.4,37877 / 35754
Kassadin,51.4,11890 / 11246
Ornn,51.3,9583 / 9104
Maokai,51.3,7365 / 6979
Blitzcrank,51.2,21728 / 20704
Sejuani,51.2,19272 / 18338
Poppy,51.1,13205 / 12615
Fizz,51.1,3617 / 3456
Galio,51.0,7501 / 7199
Neeko,50.8,24093 / 23353
Volibear,50.7,16118 / 15665
Wukong,50.7,5656 / 5507
Amumu,50.6,3414 / 3339
Cho'Gath,50.4,9013 / 8875
Garen,50.4,7719 / 7592
Shen,50.2,14088 / 13955
Pantheon,50.2,12062 / 11966
LeBlanc,50.1,7307 / 7285
Udyr,50.0,4633 / 4629
Jarvan IV,49.9,3813 / 3826
Rammus,49.9,3105 / 3119
Xayah,49.7,6919 / 6990
Talon,49.7,4222 / 4270
Rek'Sai,49.7,2468 / 2500
Vi,49.6,4282 / 4357
Tahm Kench,49.6,2889 / 2941
Ivern,49.5,4001 / 4082
Warwick,49.5,4002 / 4076
Alistar,49.3,5866 / 6032
Skarner,49.2,1685 / 1740
Kai'Sa,49.1,12088 / 12543
Ezreal,49.1,8766 / 9104
Zac,49.1,7828 / 8128
Zoe,49.1,6780 / 7015
Urgot,49.1,2772 / 2871
Dr. Mundo,49.0,6485 / 6749
Leona,48.8,5730 / 6021
Malphite,48.8,4063 / 4271
Hecarim,48.8,1902 / 1997
Riven,48.7,5000 / 5259
Singed,48.7,4565 / 4800
Aurelion Sol,48.7,2891 / 3044
Quinn,48.6,6002 / 6336
Evelynn,48.6,2944 / 3108
Rakan,48.5,7902 / 8405
Qiyana,48.5,5775 / 6135
Syndra,48.5,4703 / 4994
Katarina,48.5,3918 / 4162
Gragas,48.5,2949 / 3137
Mordekaiser,48.4,5464 / 5834
Diana,48.4,3084 / 3284
Master Yi,48.3,1422 / 1525
Swain,48.2,5866 / 6309
Illaoi,48.2,1219 / 1310
Akali,48.1,9326 / 10054
Zed,48.1,6379 / 6891
Camille,48.1,5661 / 6104
Vladimir,47.9,5673 / 6169
Nidalee,47.8,3172 / 3462
Sion,47.7,2286 / 2506
Aphelios,47.5,8039 / 8870
Lillia,47.5,2741 / 3028
Veigar,47.5,2198 / 2429
Lissandra,47.5,533 / 589
Braum,47.4,4118 / 4576
Taliyah,47.4,1579 / 1751
Sona,47.3,2604 / 2900
Kled,47.3,1942 / 2164
Fiora,47.3,1784 / 1987
Anivia,47.3,1053 / 1173
Nocturne,47.2,1919 / 2149
Aatrox,47.1,6348 / 7131
Teemo,47.1,1804 / 2026
Lee Sin,47.0,4994 / 5633
Karma,47.0,4072 / 4583
Nasus,47.0,1952 / 2198
Ashe,46.9,5887 / 6672
Miss Fortune,46.9,5183 / 5858
Tristana,46.8,3555 / 4042
Elise,46.8,3249 / 3697
Annie,46.8,2712 / 3086
Thresh,46.7,5456 / 6225
Irelia,46.7,2891 / 3306
Jhin,46.4,3715 / 4291
Kha'Zix,46.4,1850 / 2140
Ryze,46.3,2564 / 2979
Trundle,46.3,2246 / 2600
Rengar,46.3,1960 / 2269
Darius,46.3,1909 / 2214
Varus,46.2,2949 / 3438
Vayne,46.0,3715 / 4358
Yorick,46.0,957 / 1122
Zyra,45.9,1341 / 1580
Caitlyn,45.6,5619 / 6716
Graves,45.5,2858 / 3425
Xerath,45.5,2536 / 3040
Twitch,45.4,5148 / 6179
Gnar,45.3,1501 / 1809
Draven,45.2,2880 / 3492
Rumble,45.2,996 / 1208
Kog'Maw,44.9,2428 / 2975
Jayce,44.9,1563 / 1920
Brand,44.9,1201 / 1472
Zilean,44.8,3246 / 3993
Soraka,44.6,1474 / 1831
Sivir,44.5,1657 / 2070
Shaco,44.5,917 / 1145
Yasuo,44.3,4627 / 5826
Jax,44.3,2154 / 2711
Taric,44.3,1443 / 1817
Fiddlesticks,44.2,2060 / 2597
Malzahar,44.1,993 / 1261
Kalista,44.0,2208 / 2805
Shyvana,44.0,1055 / 1341
Sylas,43.9,2853 / 3653
Jinx,43.9,2271 / 2902
Viktor,43.3,1511 / 1976
Xin Zhao,43.1,455 / 601
Yuumi,42.7,2185 / 2938
Olaf,42.7,1629 / 2190
Nami,42.6,1484 / 2001
Kindred,42.5,1136 / 1540
Tryndamere,42.5,680 / 919
Heimerdinger,42.2,1159 / 1588
Corki,42.2,1127 / 1542
Lucian,42.0,2185 / 3023
Lulu,41.7,1695 / 2367
Orianna,41.7,1647 / 2298
Janna,41.1,1591 / 2282
Cassiopeia,41.1,1351 / 1938
Azir,40.6,1531 / 2241
Kennen,40.1,930 / 1390
Ziggs,40.1,537 / 803
Morgana,39.9,1820 / 2744
Lux,39.4,645 / 991
Gangplank,39.1,1499 / 2338
Twisted Fate,38.7,637 / 1008
Kayle,37.4,577 / 964
Vel'Koz,37.0,908 / 1547
Senna,36.9,1511 / 2584
