Champion name,Win rate(%),Wins / losses
Pyke,55.3,42518 / 34353
Karthus,55.2,57712 / 46831
Ahri,53.6,64444 / 55812
Nunu,53.6,23922 / 20720
Renekton,53.3,49531 / 43374
Ekko,52.4,38862 / 35337
Nautilus,52.3,35437 / 32383
Sett,51.8,18609 / 17319
Bard,51.4,42551 / 40231
Poppy,51.4,14981 / 14189
Maokai,51.4,8489 / 8028
Sejuani,51.3,21637 / 20514
Ornn,51.3,10931 / 10391
Blitzcrank,51.2,24428 / 23318
Kassadin,51.2,13524 / 12894
Galio,51.0,8737 / 8399
Fizz,51.0,4160 / 3999
Neeko,50.8,27161 / 26305
Volibear,50.8,18620 / 18043
Amumu,50.6,3894 / 3797
Cho'Gath,50.4,10095 / 9927
Garen,50.4,8823 / 8683
Wukong,50.4,6385 / 6279
Shen,50.2,15910 / 15752
Pantheon,50.2,13522 / 13395
Udyr,50.2,5165 / 5125
LeBlanc,50.1,8260 / 8240
Rek'Sai,50.1,2871 / 2859
Talon,49.9,4718 / 4739
Xayah,49.8,7878 / 7934
Rammus,49.8,3452 / 3486
Jarvan IV,49.6,4267 / 4329
Warwick,49.5,4471 / 4556
Skarner,49.5,1977 / 2013
Ivern,49.4,4469 / 4583
Hecarim,49.4,2192 / 2248
Zoe,49.3,7695 / 7928
Vi,49.3,4757 / 4883
Tahm Kench,49.3,3298 / 3391
Urgot,49.3,3192 / 3279
Alistar,49.2,6662 / 6875
Dr. Mundo,49.1,7360 / 7624
Kai'Sa,49.0,13454 / 13982
Ezreal,49.0,9898 / 10319
Zac,49.0,8741 / 9110
Riven,48.9,5719 / 5966
Gragas,48.9,3450 / 3599
Singed,48.8,5378 / 5652
Malphite,48.8,4579 / 4801
Rakan,48.7,8875 / 9364
Aurelion Sol,48.6,3228 / 3417
Quinn,48.5,6768 / 7185
Qiyana,48.5,6581 / 6997
Katarina,48.5,4427 / 4694
Diana,48.5,3552 / 3765
Swain,48.4,6554 / 6985
Leona,48.4,6463 / 6882
Evelynn,48.4,3262 / 3478
Illaoi,48.4,1368 / 1457
Zed,48.3,7222 / 7744
Akali,48.2,10355 / 11122
Mordekaiser,48.2,6131 / 6578
Syndra,48.2,5262 / 5658
Braum,48.2,4781 / 5130
Vladimir,48.1,6459 / 6978
Camille,48.0,6509 / 7052
Lissandra,48.0,672 / 729
Aphelios,47.7,9205 / 10104
Veigar,47.7,2520 / 2758
Teemo,47.7,2061 / 2262
Nidalee,47.6,3571 / 3933
Taliyah,47.6,1763 / 1943
Karma,47.5,4816 / 5313
Aatrox,47.4,7167 / 7957
Lillia,47.4,3095 / 3434
Sion,47.4,2692 / 2988
Master Yi,47.4,1614 / 1794
Fiora,47.3,2000 / 2224
Miss Fortune,47.2,5926 / 6627
Anivia,47.2,1226 / 1369
Sona,47.1,3006 / 3375
Kled,47.1,2170 / 2440
Nocturne,47.1,2157 / 2427
Ashe,47.0,6620 / 7461
Lee Sin,47.0,5715 / 6448
Nasus,46.9,2203 / 2492
Thresh,46.7,6236 / 7127
Tristana,46.7,4118 / 4696
Annie,46.7,3079 / 3517
Jhin,46.6,4262 / 4883
Elise,46.6,3703 / 4238
Vayne,46.5,4279 / 4929
Irelia,46.4,3242 / 3751
Kha'Zix,46.4,2073 / 2393
Ryze,46.3,2919 / 3386
Rengar,46.3,2202 / 2550
Yorick,46.3,1129 / 1308
Varus,46.1,3310 / 3871
Zyra,46.1,1542 / 1800
Trundle,45.9,2537 / 2987
Darius,45.9,2090 / 2462
Caitlyn,45.7,6342 / 7538
Xerath,45.6,2901 / 3465
Graves,45.5,3204 / 3836
Rumble,45.5,1144 / 1373
Twitch,45.4,5768 / 6933
Kog'Maw,45.4,2837 / 3413
Gnar,45.4,1712 / 2063
Jayce,45.3,1814 / 2191
Draven,45.2,3271 / 3966
Zilean,45.0,3662 / 4476
Brand,44.9,1369 / 1682
Sivir,44.8,1907 / 2349
Soraka,44.7,1687 / 2091
Yasuo,44.5,5285 / 6591
Fiddlesticks,44.2,2332 / 2946
Taric,44.2,1603 / 2021
Malzahar,44.1,1099 / 1392
Jax,44.0,2392 / 3048
Kalista,43.9,2471 / 3162
Shaco,43.9,1057 / 1353
Sylas,43.7,3197 / 4115
Jinx,43.7,2629 / 3387
Xin Zhao,43.5,528 / 687
Shyvana,43.4,1209 / 1578
Yuumi,43.0,2522 / 3348
Viktor,43.0,1731 / 2293
Olaf,42.9,1859 / 2476
Nami,42.8,1678 / 2243
Corki,42.8,1287 / 1721
Tryndamere,42.8,761 / 1019
Heimerdinger,42.5,1376 / 1859
Kindred,42.2,1256 / 1723
Lulu,42.0,1946 / 2688
Lucian,41.9,2489 / 3455
Orianna,41.8,1855 / 2588
Janna,41.2,1801 / 2575
Cassiopeia,40.7,1529 / 2225
Ziggs,40.7,664 / 967
Azir,40.6,1761 / 2575
Morgana,40.1,2052 / 3062
Kennen,39.9,1047 / 1580
Lux,39.5,740 / 1133
Gangplank,39.2,1775 / 2754
Twisted Fate,38.7,753 / 1192
Vel'Koz,37.4,1123 / 1877
Senna,37.1,1719 / 2915
Kayle,36.7,653 / 1124
