Champion name,Win rate(%),Wins / losses
Karthus,58.9,4696 / 3276
LeBlanc,56.3,111 / 86
Sett,55.1,895 / 728
Talon,54.6,147 / 122
Malzahar,54.5,110 / 92
Nautilus,54.4,3652 / 3059
Malphite,54.0,4173 / 3558
Bard,53.8,489 / 420
Maokai,53.7,704 / 608
Kassadin,53.7,388 / 335
Wukong,53.3,459 / 402
Dr. Mundo,53.2,2207 / 1939
Ekko,53.2,480 / 422
Quinn,53.1,319 / 282
Shen,53.0,2646 / 2343
Alistar,52.8,1448 / 1293
Cho'Gath,52.8,1420 / 1270
Syndra,52.8,313 / 280
Leona,52.8,256 / 229
Katarina,52.8,131 / 117
Sejuani,52.6,704 / 635
Tahm Kench,52.3,45 / 41
Ahri,52.2,1406 / 1290
Renekton,52.1,256 / 235
Fiddlesticks,52.1,73 / 67
Vladimir,52.0,304 / 281
Volibear,51.8,524 / 488
Rakan,51.6,2744 / 2577
Ornn,51.6,911 / 853
Blitzcrank,51.6,526 / 493
Garen,51.5,721 / 678
Camille,51.5,588 / 554
Poppy,51.5,518 / 487
Diana,51.5,123 / 116
Pantheon,51.4,1172 / 1108
Jarvan IV,51.2,606 / 578
Braum,51.1,1034 / 988
Evelynn,51.1,371 / 355
Skarner,50.9,1221 / 1177
Nidalee,50.9,723 / 698
Zac,50.8,2483 / 2402
Riven,50.8,461 / 447
Warwick,50.7,521 / 506
Udyr,50.6,1562 / 1524
Urgot,50.5,2947 / 2888
Singed,50.4,581 / 572
Rammus,50.4,336 / 331
Galio,50.3,2854 / 2821
Ryze,50.2,472 / 469
Tryndamere,50.1,592 / 589
Xayah,50.0,557 / 558
Veigar,50.0,254 / 254
Zed,49.8,409 / 412
Nunu,49.7,440 / 445
Sion,49.6,413 / 419
Ashe,49.5,616 / 629
Karma,49.3,1397 / 1437
Lee Sin,49.2,672 / 694
Nocturne,49.2,250 / 258
Fizz,49.2,192 / 198
Teemo,49.2,32 / 33
Elise,49.0,331 / 345
Zyra,49.0,101 / 105
Aatrox,48.8,185 / 194
Annie,48.8,59 / 62
Brand,48.6,385 / 407
Darius,48.4,589 / 627
Pyke,48.2,1558 / 1676
Zilean,48.0,369 / 399
Mordekaiser,48.0,205 / 222
Illaoi,47.9,888 / 967
Trundle,47.9,386 / 420
Zoe,47.8,548 / 599
Rek'Sai,47.7,238 / 261
Draven,47.7,92 / 101
Swain,47.6,130 / 143
Amumu,47.4,192 / 213
Master Yi,47.2,405 / 453
Caitlyn,47.2,281 / 314
Aurelion Sol,47.2,203 / 227
Aphelios,47.1,1462 / 1642
Ivern,47.1,306 / 343
Lissandra,46.9,82 / 93
Thresh,46.8,572 / 649
Anivia,46.7,276 / 315
Nasus,46.7,175 / 200
Hecarim,46.5,693 / 798
Kha'Zix,46.5,276 / 317
Viktor,46.5,72 / 83
Kog'Maw,46.4,234 / 270
Jhin,46.4,70 / 81
Graves,46.2,675 / 787
Xin Zhao,46.2,66 / 77
Tristana,46.1,94 / 110
Olaf,45.9,215 / 253
Qiyana,45.6,160 / 191
Irelia,45.5,1081 / 1296
Akali,45.3,240 / 290
Twitch,45.2,306 / 371
Shaco,45.0,141 / 172
Kayle,45.0,18 / 22
Kled,44.9,57 / 70
Sona,44.8,443 / 545
Jax,44.8,65 / 80
Taric,44.7,214 / 265
Soraka,44.0,128 / 163
Yuumi,43.9,547 / 698
Yasuo,43.7,538 / 692
Sylas,43.7,244 / 314
Fiora,43.6,326 / 421
Xerath,43.5,957 / 1242
Miss Fortune,43.4,261 / 341
Jinx,43.1,343 / 453
Gnar,43.0,64 / 85
Heimerdinger,43.0,37 / 49
Ezreal,42.7,256 / 344
Janna,42.6,286 / 385
Neeko,42.3,129 / 176
Vi,42.1,16 / 22
Vayne,42.0,201 / 278
Rengar,41.9,49 / 68
Azir,41.8,109 / 152
Corki,41.6,127 / 178
Kai'Sa,41.4,134 / 190
Varus,41.1,265 / 380
Kalista,41.1,123 / 176
Vel'Koz,41.1,58 / 83
Yorick,41.1,23 / 33
Lucian,41.0,48 / 69
Orianna,40.8,305 / 443
Cassiopeia,40.5,177 / 260
Senna,39.9,1121 / 1689
Gragas,39.7,50 / 76
Morgana,39.2,109 / 169
Twisted Fate,37.9,97 / 159
Kennen,37.6,89 / 148
Nami,37.3,109 / 183
Shyvana,36.7,47 / 81
Lux,36.3,62 / 109
Kindred,35.9,42 / 75
Gangplank,32.8,133 / 273
Lulu,31.8,91 / 195
Jayce,31.4,32 / 70
Sivir,31.4,27 / 59
Ziggs,30.2,19 / 44
Taliyah,28.0,23 / 59
Rumble,25.0,5 / 15
