Champion,Top wins,Top losses,Jungle wins,Jungle losses,Mid wins,Mid losses,Bot wins,Bot losses,Support wins,Support losses
Pyke,38,24,4,2,7,9,0,0,2223,1486
Thresh,0,0,0,0,0,0,0,0,186,213
Shen,105,69,41,29,0,0,0,0,24,20
Sett,65,64,49,37,64,50,0,0,9,12
Karthus,4,7,4,5,1027,668,1403,933,0,0
Ahri,0,0,0,0,471,406,349,320,0,0
Syndra,0,0,0,0,25,18,29,29,0,0
Xerath,0,0,0,0,163,143,14,16,3,11
Zed,0,0,0,0,102,99,0,0,0,0
Zilean,2,2,0,0,2,6,0,0,0,1
Renekton,1060,786,1,1,273,225,145,121,7,5
Katarina,94,67,0,0,39,44,0,0,0,0
Yuumi,100,94,0,0,55,63,0,0,0,0
Lucian,107,86,0,0,35,25,0,0,0,0
Irelia,365,299,0,0,17,28,0,0,0,0
Aatrox,10,9,0,0,0,0,0,0,0,0
Urgot,19,22,0,0,47,50,75,55,0,0
Ryze,0,0,0,0,297,259,0,0,0,0
Galio,0,0,0,0,160,114,0,0,0,0
Udyr,0,0,174,131,0,0,0,0,0,0
Rek'Sai,0,0,23,30,0,0,0,0,0,0
Nautilus,0,0,853,680,0,0,0,0,405,388
Poppy,0,0,0,1,0,0,0,0,42,36
Blitzcrank,0,0,0,0,0,0,0,0,49,57
Nunu,0,0,1615,1279,8,15,4,7,134,119
Rakan,0,0,122,118,0,0,1,0,26,43
Braum,0,0,0,0,0,0,11,7,1,5
Cho'Gath,204,162,0,0,332,263,131,148,0,0
Ekko,365,322,13,24,143,155,31,29,0,0
Lillia,11,11,73,60,281,236,0,0,0,0
Mordekaiser,0,0,0,0,12,6,220,203,0,0
Neeko,1,8,0,0,1,5,86,78,0,0
Ivern,0,0,57,58,0,0,0,0,0,0
Kindred,0,0,1,2,0,0,0,0,0,0
Karma,0,0,0,0,21,30,51,70,23,27
Senna,0,0,0,0,2,0,13,17,0,0
Kog'Maw,0,0,0,0,0,0,134,110,0,0
Xayah,0,0,0,0,0,0,1,5,0,0
Zac,28,18,143,112,0,0,0,0,0,0
Sejuani,0,0,505,389,0,0,0,0,151,139
Twitch,13,19,34,47,0,0,0,2,0,0
Vi,0,0,34,35,0,0,0,0,0,0
Nasus,0,0,13,18,0,0,0,0,0,0
Miss Fortune,0,0,0,0,0,0,62,47,0,0
Draven,0,0,0,0,0,0,8,12,0,0
Jinx,0,0,0,0,0,0,11,5,0,0
Aphelios,40,27,0,0,0,0,7,9,0,0
Singed,1,1,0,0,23,21,252,256,0,0
Volibear,1,3,482,358,0,0,0,0,0,0
Leona,0,0,0,1,0,0,0,0,102,129
