Champion name,Win rate(%),Wins / losses
Pyke,54.8,82501 / 68118
Nautilus,53.9,73437 / 62915
Draven,52.7,22239 / 19949
Thresh,52.6,25976 / 23374
Sivir,52.2,8966 / 8203
Maokai,51.8,29832 / 27767
Riven,51.7,14945 / 13971
Janna,51.6,11078 / 10404
Senna,51.4,27403 / 25897
Leona,51.4,11166 / 10552
Amumu,51.4,5783 / 5477
Poppy,51.2,20488 / 19562
Tryndamere,51.2,3110 / 2970
Shen,51.1,21984 / 21044
Ezreal,51.1,19524 / 18690
Quinn,51.1,7019 / 6705
Lissandra,51.1,2215 / 2117
Aurelion Sol,51.0,11246 / 10821
Vi,51.0,4063 / 3899
Sejuani,50.9,32025 / 30885
Udyr,50.9,4346 / 4196
Ryze,50.7,11304 / 11007
Heimerdinger,50.7,6748 / 6552
Ziggs,50.7,3137 / 3052
Warwick,50.6,8080 / 7890
Anivia,50.6,2061 / 2010
Sett,50.5,39576 / 38849
Ivern,50.5,38848 / 38142
Yasuo,50.5,18123 / 17748
Ornn,50.4,20349 / 20018
LeBlanc,50.4,13773 / 13567
Fiora,50.4,6180 / 6082
Ekko,50.3,36001 / 35541
Xayah,50.2,23302 / 23140
Wukong,50.2,8172 / 8095
Irelia,50.2,8038 / 7987
Fizz,50.2,8025 / 7966
Talon,50.2,6362 / 6306
Evelynn,50.2,4809 / 4770
Kog'Maw,50.1,12780 / 12705
Neeko,50.0,29022 / 29040
Qiyana,50.0,14969 / 14952
Cho'Gath,49.9,27524 / 27589
Akali,49.9,14446 / 14485
Galio,49.9,13019 / 13086
Jhin,49.9,7279 / 7318
Viktor,49.9,3506 / 3522
Lucian,49.8,9917 / 9991
Yuumi,49.8,6802 / 6869
Jayce,49.8,4544 / 4578
Ahri,49.7,65902 / 66745
Aphelios,49.7,29076 / 29460
Camille,49.7,15665 / 15851
Azir,49.7,4643 / 4701
Karthus,49.6,32200 / 32750
Pantheon,49.6,13253 / 13471
Yone,49.6,9895 / 10044
Braum,49.6,6534 / 6646
Xerath,49.6,2132 / 2164
Renekton,49.5,44906 / 45834
Miss Fortune,49.5,7049 / 7195
Rumble,49.5,2386 / 2437
Nunu,49.4,20190 / 20668
Vayne,49.4,10506 / 10762
Syndra,49.4,4078 / 4173
Kassadin,49.3,12855 / 13211
Cassiopeia,49.3,6790 / 6977
Varus,49.3,6045 / 6213
Caitlyn,49.2,12170 / 12541
Rammus,49.2,5918 / 6114
Gangplank,49.2,4959 / 5113
Bard,49.1,35195 / 36457
Volibear,49.1,15755 / 16307
Zed,49.1,7237 / 7494
Katarina,49.1,6267 / 6490
Malphite,49.1,5198 / 5387
Mordekaiser,49.1,5079 / 5262
Kai'Sa,48.9,15843 / 16525
Garen,48.9,10970 / 11476
Hecarim,48.9,3062 / 3206
Illaoi,48.9,641 / 671
Jinx,48.8,8665 / 9073
Taric,48.8,1751 / 1834
Twitch,48.7,11114 / 11692
Lillia,48.7,8691 / 9169
Rek'Sai,48.7,4645 / 4898
Graves,48.6,3719 / 3926
Orianna,48.6,3669 / 3878
Gnar,48.6,3249 / 3437
Kennen,48.5,5637 / 5980
Tahm Kench,48.5,3554 / 3771
Lee Sin,48.4,5470 / 5833
Veigar,48.4,3937 / 4198
Rakan,48.3,32182 / 34386
Karma,48.3,11631 / 12441
Zoe,48.3,8284 / 8884
Diana,48.3,7524 / 8062
Singed,48.3,5271 / 5641
Gragas,48.3,3801 / 4068
Blitzcrank,48.2,17591 / 18899
Jarvan IV,48.2,13592 / 14588
Ashe,48.2,8474 / 9092
Rengar,48.2,6612 / 7120
Sion,48.2,4214 / 4523
Alistar,48.1,6619 / 7139
Kayn,48.1,2881 / 3108
Kalista,48.0,4325 / 4689
Tristana,48.0,3721 / 4027
Dr. Mundo,48.0,3527 / 3820
Teemo,48.0,3503 / 3797
Taliyah,48.0,1482 / 1605
Skarner,47.9,1592 / 1732
Yorick,47.8,1295 / 1417
Darius,47.7,8219 / 9026
Aatrox,47.7,7766 / 8505
Sylas,47.6,4135 / 4559
Zilean,47.6,3537 / 3895
Nasus,47.6,3079 / 3389
Nocturne,47.5,2115 / 2338
Corki,47.5,1846 / 2040
Zac,47.3,6972 / 7754
Urgot,47.3,3267 / 3640
Vladimir,47.2,5504 / 6148
Nidalee,47.2,3869 / 4328
Twisted Fate,47.2,1280 / 1431
Kled,47.1,3513 / 3938
Vel'Koz,47.1,1981 / 2227
Swain,46.9,4574 / 5177
Lulu,46.4,16656 / 19261
Morgana,46.4,5961 / 6874
Lux,46.2,1305 / 1520
Zyra,46.1,1528 / 1788
Elise,46.0,3247 / 3809
Nami,45.7,4093 / 4869
Annie,45.7,1795 / 2135
Jax,45.5,3638 / 4356
Master Yi,45.5,1818 / 2180
Kayle,45.5,1625 / 1948
Malzahar,45.3,1077 / 1299
Trundle,44.3,2494 / 3131
Kindred,44.2,1280 / 1619
Sona,43.9,3021 / 3857
Soraka,43.6,3507 / 4529
Kha'Zix,43.3,2502 / 3271
Brand,43.3,1387 / 1815
Fiddlesticks,42.8,2194 / 2934
Shyvana,42.3,2046 / 2787
Olaf,40.7,1788 / 2601
Shaco,40.6,1099 / 1607
Xin Zhao,37.2,519 / 875
