Champion name,Win rate(%),Wins / losses
Pyke,54.8,82290 / 67955
Nautilus,53.9,73256 / 62760
Draven,52.7,22181 / 19906
Thresh,52.6,25881 / 23304
Sivir,52.3,8947 / 8176
Maokai,51.8,29753 / 27701
Riven,51.7,14905 / 13938
Janna,51.6,11049 / 10377
Senna,51.4,27332 / 25822
Leona,51.4,11114 / 10501
Amumu,51.3,5752 / 5450
Lissandra,51.2,2213 / 2111
Shen,51.1,21921 / 20969
Poppy,51.1,20433 / 19515
Ezreal,51.1,19467 / 18647
Quinn,51.1,6996 / 6689
Vi,51.1,4051 / 3882
Tryndamere,51.1,3100 / 2963
Aurelion Sol,51.0,11221 / 10790
Sejuani,50.9,31959 / 30808
Udyr,50.9,4336 / 4184
Heimerdinger,50.7,6733 / 6534
Ziggs,50.7,3129 / 3042
Ryze,50.6,11279 / 10997
Warwick,50.6,8059 / 7869
Anivia,50.6,2059 / 2008
Sett,50.5,39453 / 38737
Ivern,50.5,38754 / 38044
Yasuo,50.5,18083 / 17710
Ornn,50.4,20305 / 19965
LeBlanc,50.4,13726 / 13534
Fiora,50.4,6169 / 6068
Ekko,50.3,35902 / 35454
Wukong,50.3,8151 / 8061
Xayah,50.2,23258 / 23082
Irelia,50.2,8019 / 7968
Fizz,50.2,8005 / 7942
Talon,50.2,6344 / 6295
Evelynn,50.2,4790 / 4749
Kog'Maw,50.1,12745 / 12671
Neeko,50.0,28935 / 28965
Qiyana,50.0,14929 / 14925
Cho'Gath,49.9,27461 / 27520
Akali,49.9,14401 / 14438
Galio,49.9,12976 / 13045
Jhin,49.9,7257 / 7298
Viktor,49.9,3502 / 3515
Lucian,49.8,9875 / 9961
Jayce,49.8,4535 / 4570
Ahri,49.7,65727 / 66569
Aphelios,49.7,29010 / 29380
Camille,49.7,15628 / 15821
Yuumi,49.7,6780 / 6852
Azir,49.7,4636 / 4689
Karthus,49.6,32119 / 32674
Pantheon,49.6,13204 / 13424
Yone,49.6,9870 / 10023
Braum,49.6,6517 / 6628
Xerath,49.6,2126 / 2158
Renekton,49.5,44788 / 45707
Miss Fortune,49.5,7024 / 7163
Nunu,49.4,20137 / 20620
Vayne,49.4,10479 / 10724
Syndra,49.4,4065 / 4160
Rumble,49.4,2377 / 2432
Kassadin,49.3,12833 / 13178
Cassiopeia,49.3,6781 / 6964
Varus,49.3,6025 / 6200
Gangplank,49.3,4955 / 5102
Caitlyn,49.2,12127 / 12498
Zed,49.2,7214 / 7462
Rammus,49.2,5904 / 6103
Bard,49.1,35111 / 36368
Volibear,49.1,15708 / 16273
Katarina,49.1,6251 / 6468
Malphite,49.1,5186 / 5370
Mordekaiser,49.1,5065 / 5252
Kai'Sa,48.9,15803 / 16496
Garen,48.9,10952 / 11459
Hecarim,48.9,3051 / 3191
Illaoi,48.9,640 / 669
Twitch,48.8,11094 / 11662
Jinx,48.8,8639 / 9053
Taric,48.8,1744 / 1833
Lillia,48.7,8672 / 9148
Graves,48.7,3709 / 3913
Kennen,48.6,5627 / 5961
Rek'Sai,48.6,4628 / 4887
Orianna,48.6,3659 / 3868
Gnar,48.6,3241 / 3427
Tahm Kench,48.5,3541 / 3760
Lee Sin,48.4,5460 / 5818
Veigar,48.4,3930 / 4186
Rakan,48.3,32125 / 34324
Karma,48.3,11588 / 12404
Zoe,48.3,8258 / 8845
Diana,48.3,7503 / 8047
Singed,48.3,5255 / 5632
Gragas,48.3,3791 / 4060
Blitzcrank,48.2,17535 / 18843
Jarvan IV,48.2,13567 / 14554
Ashe,48.2,8437 / 9054
Rengar,48.2,6596 / 7102
Sion,48.2,4203 / 4509
Alistar,48.1,6598 / 7122
Kayn,48.1,2874 / 3096
Kalista,48.0,4313 / 4679
Tristana,48.0,3706 / 4015
Dr. Mundo,48.0,3508 / 3797
Teemo,48.0,3495 / 3784
Taliyah,48.0,1478 / 1602
Skarner,47.9,1590 / 1728
Darius,47.7,8208 / 9009
Aatrox,47.7,7746 / 8484
Yorick,47.7,1289 / 1415
Sylas,47.6,4125 / 4546
Zilean,47.6,3531 / 3889
Nasus,47.6,3072 / 3381
Nocturne,47.5,2110 / 2330
Corki,47.5,1839 / 2035
Zac,47.4,6953 / 7727
Vladimir,47.3,5495 / 6133
Urgot,47.3,3256 / 3631
Twisted Fate,47.3,1276 / 1423
Nidalee,47.2,3862 / 4321
Kled,47.1,3507 / 3934
Vel'Koz,47.1,1975 / 2218
Swain,46.9,4561 / 5161
Lulu,46.4,16626 / 19219
Morgana,46.4,5952 / 6862
Lux,46.2,1305 / 1518
Zyra,46.1,1523 / 1782
Elise,46.0,3236 / 3794
Nami,45.7,4087 / 4863
Annie,45.7,1791 / 2127
Jax,45.6,3633 / 4342
Master Yi,45.5,1812 / 2174
Kayle,45.5,1620 / 1940
Malzahar,45.3,1072 / 1294
Trundle,44.3,2488 / 3125
Kindred,44.2,1268 / 1603
Sona,44.0,3017 / 3846
Soraka,43.7,3502 / 4517
Kha'Zix,43.4,2494 / 3256
Brand,43.3,1379 / 1807
Fiddlesticks,42.8,2189 / 2927
Shyvana,42.3,2042 / 2781
Olaf,40.7,1780 / 2595
Shaco,40.6,1097 / 1603
Xin Zhao,37.3,519 / 873
