Champion name,Win rate(%),Wins / losses
Karthus,57.2,9231 / 6909
Sejuani,54.2,1278 / 1078
Nautilus,53.8,6792 / 5839
Dr. Mundo,53.7,4445 / 3828
Diana,53.5,385 / 334
Cho'Gath,53.4,2741 / 2389
Malphite,53.3,7948 / 6965
Katarina,53.3,271 / 237
Alistar,53.2,2692 / 2371
Volibear,53.0,1371 / 1214
Bard,53.0,1243 / 1101
LeBlanc,53.0,256 / 227
Quinn,52.6,1188 / 1072
Leona,52.5,396 / 359
Sett,52.4,1688 / 1531
Kassadin,52.4,1152 / 1047
Tahm Kench,52.3,92 / 84
Shen,52.1,5345 / 4911
Syndra,52.1,655 / 601
Vladimir,52.1,547 / 503
Maokai,51.9,1252 / 1159
Poppy,51.9,981 / 910
Ahri,51.7,2981 / 2790
Ornn,51.5,1700 / 1599
Talon,51.5,704 / 663
Blitzcrank,51.4,951 / 898
Rakan,51.2,5232 / 4979
Zac,51.2,4586 / 4375
Wukong,51.2,959 / 913
Renekton,51.2,540 / 514
Malzahar,51.2,189 / 180
Galio,51.1,5498 / 5261
Braum,51.1,2021 / 1937
Udyr,51.0,3076 / 2957
Garen,51.0,1451 / 1396
Ekko,51.0,1146 / 1099
Nidalee,50.9,1175 / 1134
Riven,50.8,1004 / 974
Warwick,50.7,997 / 968
Skarner,50.6,2591 / 2528
Pantheon,50.5,2080 / 2035
Evelynn,50.5,655 / 641
Jarvan IV,50.2,961 / 954
Rammus,50.2,653 / 648
Urgot,50.0,5248 / 5255
Camille,50.0,1149 / 1147
Tryndamere,50.0,1107 / 1109
Zed,50.0,894 / 895
Vi,50.0,37 / 37
Zyra,49.8,166 / 167
Karma,49.6,2459 / 2497
Elise,49.6,842 / 857
Sion,49.6,842 / 857
Fizz,49.6,282 / 287
Nocturne,49.4,397 / 406
Nunu,49.3,803 / 826
Singed,49.2,957 / 990
Veigar,49.1,460 / 477
Fiddlesticks,49.0,142 / 148
Lee Sin,48.9,1157 / 1208
Xayah,48.8,1098 / 1150
Lissandra,48.7,92 / 97
Pyke,48.6,2968 / 3136
Thresh,48.6,1091 / 1155
Mordekaiser,48.5,347 / 368
Illaoi,48.3,1483 / 1589
Ryze,48.3,809 / 866
Aatrox,48.3,274 / 293
Zoe,48.1,746 / 806
Darius,48.0,987 / 1068
Rek'Sai,48.0,457 / 495
Qiyana,48.0,361 / 391
Hecarim,47.8,1229 / 1340
Caitlyn,47.8,501 / 548
Trundle,47.7,722 / 792
Kog'Maw,47.6,401 / 441
Ashe,47.5,1079 / 1194
Zilean,47.5,627 / 692
Aurelion Sol,47.5,381 / 421
Swain,47.5,218 / 241
Master Yi,47.4,787 / 873
Amumu,47.4,382 / 424
Aphelios,47.2,2638 / 2955
Brand,47.2,782 / 874
Ivern,46.8,573 / 652
Kha'Zix,46.7,500 / 571
Akali,46.7,495 / 566
Draven,46.7,172 / 196
Anivia,46.6,497 / 570
Kled,46.5,146 / 168
Taric,46.4,461 / 532
Nasus,46.4,324 / 374
Teemo,46.3,37 / 43
Tristana,46.2,152 / 177
Sona,46.1,800 / 936
Annie,46.0,126 / 148
Graves,45.9,1232 / 1455
Olaf,45.7,394 / 468
Viktor,45.7,126 / 150
Jhin,45.0,125 / 153
Sylas,44.9,401 / 492
Rengar,44.9,79 / 97
Twitch,44.8,645 / 796
Jax,44.6,125 / 155
Irelia,44.5,1894 / 2360
Yuumi,44.4,887 / 1110
Fiora,44.0,466 / 592
Neeko,44.0,190 / 242
Gragas,43.9,94 / 120
Jinx,43.8,550 / 707
Xin Zhao,43.6,102 / 132
Xerath,43.4,1430 / 1867
Miss Fortune,43.2,357 / 469
Yasuo,42.7,886 / 1190
Shaco,42.7,249 / 334
Vayne,42.3,336 / 459
Kai'Sa,42.3,217 / 296
Varus,42.1,464 / 637
Soraka,41.9,224 / 310
Kalista,41.6,201 / 282
Senna,40.9,1936 / 2801
Azir,40.9,162 / 234
Orianna,40.8,484 / 701
Heimerdinger,40.6,63 / 92
Janna,40.4,425 / 626
Ezreal,40.3,399 / 590
Gnar,40.2,139 / 207
Vel'Koz,39.7,123 / 187
Jayce,39.7,83 / 126
Yorick,39.7,31 / 47
Corki,39.4,163 / 251
Cassiopeia,39.3,264 / 408
Kindred,38.2,68 / 110
Kayle,38.2,26 / 42
Morgana,38.1,166 / 270
Nami,38.1,160 / 260
Lux,38.1,144 / 234
Twisted Fate,37.9,163 / 267
Lucian,37.7,81 / 134
Sivir,36.6,49 / 85
Kennen,36.2,125 / 220
Shyvana,35.3,88 / 161
Gangplank,34.2,216 / 416
Lulu,33.9,146 / 285
Ziggs,33.9,37 / 72
Taliyah,30.5,51 / 116
Rumble,26.3,10 / 28
