Champion name,Win rate(%),Wins / losses
Udyr,58.8,3834 / 2685
Tryndamere,57.6,3131 / 2301
Yasuo,56.4,2553 / 1971
Rakan,56.2,2385 / 1861
Zac,55.6,741 / 592
Tristana,54.9,391 / 321
Irelia,53.4,3251 / 2842
Ashe,53.4,1360 / 1185
Pyke,53.1,3178 / 2811
Senna,52.9,1217 / 1083
Aphelios,52.6,1293 / 1167
Graves,51.6,888 / 834
Nocturne,51.5,456 / 430
Tahm Kench,51.1,169 / 162
Shen,50.9,1369 / 1322
Bard,50.9,814 / 786
Blitzcrank,50.9,476 / 460
Varus,50.8,249 / 241
Draven,50.7,933 / 909
Malzahar,50.7,192 / 187
Kalista,50.7,72 / 70
Xayah,50.5,932 / 912
Hecarim,50.5,207 / 203
Singed,50.4,1630 / 1601
Master Yi,50.4,684 / 672
Galio,50.4,304 / 299
Karthus,50.4,231 / 227
Camille,50.2,1605 / 1595
Lee Sin,49.9,906 / 911
Nautilus,49.9,545 / 547
Volibear,49.9,395 / 396
Ryze,49.7,439 / 445
Zoe,49.7,219 / 222
Warwick,49.7,158 / 160
Skarner,49.6,862 / 877
Jinx,49.4,562 / 575
Zilean,49.4,350 / 359
Karma,49.3,720 / 739
Xin Zhao,49.2,121 / 125
Ziggs,49.2,60 / 62
Malphite,49.1,231 / 239
Qiyana,49.1,132 / 137
Syndra,48.7,344 / 362
Fizz,48.5,217 / 230
Aurelion Sol,48.3,131 / 140
Dr. Mundo,48.1,222 / 240
Ornn,48.0,702 / 760
Gragas,48.0,155 / 168
Sett,47.8,449 / 490
Nasus,47.8,214 / 234
Jayce,47.8,75 / 82
Ezreal,47.7,557 / 610
Poppy,47.7,490 / 538
Sivir,47.7,82 / 90
Fiora,47.6,588 / 647
Kassadin,47.5,276 / 305
Rek'Sai,47.3,371 / 414
Katarina,47.3,140 / 156
Caitlyn,47.2,400 / 447
Sion,47.1,272 / 306
Yuumi,47.0,574 / 648
Ivern,47.0,541 / 611
Mordekaiser,47.0,351 / 396
Morgana,47.0,118 / 133
Corki,46.7,182 / 208
Diana,46.6,103 / 118
Ahri,46.5,337 / 388
Riven,46.4,482 / 556
Urgot,46.4,261 / 301
Sejuani,46.4,254 / 293
Leona,46.3,304 / 352
Kog'Maw,46.2,306 / 357
Fiddlesticks,46.2,102 / 119
Nunu,46.1,521 / 609
Jarvan IV,46.1,309 / 361
Orianna,46.1,181 / 212
Illaoi,46.1,106 / 124
Ekko,46.0,199 / 234
Kennen,45.8,397 / 469
Rammus,45.8,104 / 123
Aatrox,45.6,566 / 674
Talon,45.5,132 / 158
LeBlanc,45.5,85 / 102
Lux,45.5,40 / 48
Akali,45.4,350 / 421
Lucian,45.3,159 / 192
Zed,45.2,282 / 342
Amumu,45.2,85 / 103
Evelynn,45.0,193 / 236
Thresh,44.9,288 / 353
Cassiopeia,44.9,280 / 344
Miss Fortune,44.9,154 / 189
Azir,44.8,250 / 308
Kai'Sa,44.6,267 / 332
Annie,44.6,75 / 93
Vel'Koz,44.6,74 / 92
Shaco,44.4,136 / 170
Braum,44.1,382 / 484
Wukong,44.1,138 / 175
Teemo,44.1,132 / 167
Brand,44.0,70 / 89
Pantheon,43.9,266 / 340
Veigar,43.6,223 / 288
Xerath,43.5,197 / 256
Olaf,43.3,156 / 204
Nami,43.1,221 / 292
Trundle,43.1,135 / 178
Alistar,43.0,277 / 367
Sylas,43.0,217 / 288
Kindred,43.0,196 / 260
Janna,42.9,191 / 254
Vi,42.9,33 / 44
Vayne,42.8,568 / 759
Kled,42.8,143 / 191
Vladimir,42.5,76 / 103
Quinn,42.5,62 / 84
Jax,42.4,59 / 80
Heimerdinger,42.3,74 / 101
Anivia,41.8,140 / 195
Zyra,41.7,96 / 134
Lulu,41.6,253 / 355
Darius,41.6,162 / 227
Twisted Fate,41.6,127 / 178
Sona,41.6,57 / 80
Gnar,41.5,115 / 162
Twitch,41.3,129 / 183
Kayle,41.0,84 / 121
Renekton,41.0,68 / 98
Lissandra,41.0,16 / 23
Taliyah,40.9,36 / 52
Kha'Zix,40.8,130 / 189
Rengar,40.7,70 / 102
Neeko,40.5,92 / 135
Nidalee,40.2,157 / 234
Soraka,40.2,90 / 134
Jhin,39.8,117 / 177
Maokai,39.5,132 / 202
Swain,39.5,77 / 118
Viktor,39.3,59 / 91
Garen,38.6,22 / 35
Cho'Gath,38.0,108 / 176
Gangplank,37.2,96 / 162
Rumble,36.4,48 / 84
Elise,35.5,55 / 100
Shyvana,35.5,27 / 49
Yorick,35.0,92 / 171
Taric,31.3,56 / 123
