Champion name,Win rate(%),Wins / losses
Ivern,56.4,8821 / 6827
Ahri,54.7,19940 / 16495
Rakan,54.4,10003 / 8371
Neeko,54.4,9402 / 7886
Lillia,54.4,1964 / 1644
Lulu,54.2,5488 / 4633
Senna,54.2,3926 / 3311
Sett,54.0,10035 / 8558
Sejuani,53.7,6471 / 5573
Aphelios,53.7,5955 / 5142
Aurelion Sol,53.3,1605 / 1407
Qiyana,53.2,3545 / 3117
Jarvan IV,53.1,3399 / 3004
Ryze,52.7,3209 / 2878
Nautilus,52.6,11118 / 10035
Soraka,52.5,1357 / 1227
Karma,52.4,4054 / 3680
Pantheon,52.4,3805 / 3450
Cassiopeia,52.4,1461 / 1327
Garen,52.3,2964 / 2701
Swain,51.9,2100 / 1943
Xayah,51.7,8233 / 7694
Maokai,51.7,7825 / 7317
Camille,51.7,3452 / 3231
Kog'Maw,51.4,2283 / 2161
Janna,51.3,2031 / 1925
Diana,51.3,1559 / 1479
Galio,51.2,3804 / 3632
Akali,51.2,3394 / 3241
Riven,51.2,2302 / 2197
Fizz,51.1,1638 / 1568
Fiora,51.1,1580 / 1509
Shen,50.9,5111 / 4938
Katarina,50.9,1852 / 1784
Cho'Gath,50.7,3368 / 3269
Tryndamere,50.7,711 / 692
Ornn,50.6,6204 / 6066
Heimerdinger,50.6,734 / 716
Wukong,50.5,2655 / 2604
Nidalee,50.5,1360 / 1331
Urgot,50.5,1052 / 1031
Poppy,50.4,5107 / 5030
Zed,50.4,2188 / 2156
Talon,50.4,1892 / 1863
Miss Fortune,50.3,2511 / 2485
Quinn,50.3,1631 / 1612
Yasuo,50.2,4640 / 4612
Kassadin,50.2,4224 / 4184
Pyke,50.1,13208 / 13151
Blitzcrank,50.1,5856 / 5843
Renekton,50.0,13997 / 13985
Ekko,50.0,10584 / 10605
Irelia,50.0,1732 / 1735
Sona,49.9,1743 / 1747
Bard,49.8,10033 / 10100
Jinx,49.8,2717 / 2743
Zoe,49.8,2353 / 2373
Taric,49.8,531 / 535
Thresh,49.7,2854 / 2892
Nasus,49.7,1092 / 1107
Taliyah,49.5,419 / 428
Kai'Sa,49.4,4260 / 4361
Vi,49.4,1255 / 1287
Draven,49.3,1883 / 1935
Sivir,49.3,1035 / 1065
Lucian,49.2,2016 / 2080
Tahm Kench,49.2,1577 / 1626
Evelynn,49.2,1158 / 1197
Caitlyn,49.1,2756 / 2853
Lee Sin,49.0,2108 / 2192
Twitch,48.9,3567 / 3728
LeBlanc,48.9,3135 / 3272
Amumu,48.9,1761 / 1842
Rammus,48.8,1122 / 1175
Elise,48.8,1055 / 1106
Vayne,48.6,1840 / 1948
Ziggs,48.6,603 / 639
Leona,48.5,2491 / 2641
Aatrox,48.4,2365 / 2525
Anivia,48.4,427 / 456
Ezreal,48.3,3602 / 3862
Darius,48.3,1675 / 1791
Jhin,48.2,1862 / 2005
Gnar,48.2,530 / 570
Hecarim,48.1,865 / 932
Kled,48.1,635 / 684
Dr. Mundo,47.9,1720 / 1868
Morgana,47.8,1830 / 2001
Varus,47.7,1543 / 1693
Gangplank,47.6,1249 / 1374
Jax,47.6,825 / 909
Nunu,47.5,5570 / 6165
Rengar,47.5,867 / 958
Rek'Sai,47.3,1171 / 1303
Orianna,47.3,692 / 771
Yorick,47.3,480 / 535
Zilean,47.2,671 / 751
Nami,47.1,1403 / 1574
Corki,47.0,795 / 896
Shaco,46.9,417 / 473
Volibear,46.8,5158 / 5861
Malphite,46.8,1254 / 1426
Kayn,46.6,1621 / 1861
Yuumi,46.4,1700 / 1964
Mordekaiser,46.4,1542 / 1784
Illaoi,46.4,362 / 418
Kha'Zix,46.3,638 / 741
Zyra,46.2,463 / 539
Sylas,46.1,1221 / 1429
Ashe,46.0,1996 / 2347
Azir,46.0,579 / 681
Gragas,45.9,864 / 1017
Graves,45.6,1175 / 1404
Tristana,45.6,1092 / 1305
Shyvana,45.6,863 / 1029
Rumble,45.6,656 / 784
Kennen,45.6,468 / 559
Vladimir,45.5,1829 / 2188
Kindred,45.3,487 / 588
Skarner,45.2,303 / 368
Jayce,45.1,1139 / 1389
Brand,45.1,647 / 789
Singed,45.0,1458 / 1784
Kalista,45.0,1181 / 1442
Udyr,45.0,1009 / 1234
Sion,45.0,858 / 1050
Nocturne,44.9,716 / 879
Viktor,44.9,615 / 756
Trundle,44.8,883 / 1089
Warwick,44.7,2318 / 2869
Veigar,44.6,1057 / 1312
Braum,44.5,1427 / 1778
Olaf,44.5,742 / 927
Fiddlesticks,44.3,825 / 1039
Alistar,44.2,1606 / 2027
Syndra,44.2,1444 / 1822
Xerath,43.3,397 / 519
Master Yi,43.2,661 / 870
Zac,42.9,1764 / 2350
Vel'Koz,42.8,741 / 991
Teemo,42.7,643 / 862
Malzahar,42.4,333 / 453
Annie,42.1,763 / 1050
Karthus,41.0,11751 / 16897
Kayle,39.8,305 / 461
Xin Zhao,39.7,189 / 287
Lissandra,39.6,195 / 298
Twisted Fate,39.5,443 / 679
Lux,37.0,371 / 631
