Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,Jungle,DanDyx,Challenger - 2832 LP,70.7,982 / 407,Choi
#2,Jungle,Aela ,Challenger - 1556 LP,57.8,1234 / 900,MolscarZX
#3,ADC,Impx,Challenger - 1346 LP,60.0,1574 / 1049,Choi
#4,Top,Heimerdonger,Challenger - 1046 LP,56.2,2058 / 1602,TimoMacDonut
#5,Jungle,tarzaned,Challenger - 987 LP,58.8,537 / 376,Tyler1
#6,Support,HelpingX,Challenger - 917 LP,58.2,1421 / 1022,Felixxx
#7,Mid,Jarl Mid,Challenger - 889 LP,58.7,1425 / 1001,Jarl
#8,Jungle,Prime Bengi,Challenger - 832 LP,60.3,1205 / 792,LDK
#9,Jungle,AttSeeker,Challenger - 772 LP,56.5,1088 / 838,PaxVan
#10,Jungle,sandbox5,Challenger - 737 LP,56.4,1220 / 943,
#11,Mid,Etosh,Challenger - 732 LP,54.3,1752 / 1475,Etosh
#12,Support,unicornpetpetuwu,Challenger - 690 LP,54.1,1766 / 1501,GamerGirls
#13,ADC,Cryhard II,Challenger - 688 LP,53.9,2000 / 1712,roysiggi
#14,Jungle,Wakes,Challenger - 650 LP,57.3,1720 / 1284,alim
#15,Jungle,Stupid Jungler,Challenger - 634 LP,58.5,1338 / 950,PooPooPeePee
#16,Jungle,Nunu V2,Challenger - 617 LP,56.4,1290 / 998,willchung1024
#17,Top,Bijou,Challenger - 597 LP,52.0,2456 / 2269,EMFyels
#18,Jungle,Shitfeather,Challenger - 583 LP,56.5,1427 / 1098,hiroli
#19,Jungle,Umbral,Challenger - 562 LP,54.9,1485 / 1222,Indoraps
#20,Mid,PawNx,Challenger - 559 LP,53.7,1802 / 1552,Choi
#21,Top,Salsa,Challenger - 554 LP,52.0,2612 / 2407,YungYiga
#22,Mid,Choky,Challenger - 553 LP,54.2,1821 / 1541,Key
#23,Jungle,Canyon,Challenger - 551 LP,57.1,1579 / 1186,YamatoCannon
#24,ADC,Puki style23,Challenger - 550 LP,53.4,1748 / 1525,Klorellv4
#25,Mid,Chovy,Challenger - 545 LP,54.7,1594 / 1319,TheStriker9
#26,Mid,Bournoff,Challenger - 536 LP,51.4,1559 / 1472,reaganhau
#27,Support,Princess,Challenger - 534 LP,52.7,2235 / 2003,Princess
#28,Jungle,QQ Nino,Challenger - 531 LP,54.5,1855 / 1551,Futaro
#29,Jungle,Sanga,Challenger - 529 LP,54.5,2658 / 2218,EMFyels
#30,Top,sandbox0,Challenger - 526 LP,54.1,1602 / 1361,
#31,Support,xplayz4dayz,Challenger - 523 LP,56.0,1331 / 1044,froggen
#32,ADC,botkek,Challenger - 511 LP,52.9,2330 / 2074,redeemer
#33,Top,Finch,Challenger - 505 LP,52.7,1455 / 1308,LumiFumi
#34,Top,Diablo,Challenger - 500 LP,53.1,2258 / 1994,Kyzent
#35,Support,Dibbs,Challenger - 497 LP,53.9,1496 / 1281,MaverickG
#36,Support,Aeryn,Challenger - 496 LP,53.7,1670 / 1439,WildChoas
#37,Mid,sandbox10,Challenger - 490 LP,53.8,1511 / 1297,
#38,Mid,Viree,Challenger - 488 LP,52.7,1407 / 1261,viree
#39,Mid,midkek,Challenger - 487 LP,52.2,1889 / 1727,redeemer
#40,Jungle,junglekek,Challenger - 487 LP,54.5,1650 / 1376,redeemer
#41,Support,DieFliegendeKuh,Challenger - 475 LP,53.8,1824 / 1565,doofboy13
#42,ADC,NewMeta,Challenger - 474 LP,52.7,2368 / 2124,moxir
#43,ADC,sandbox15,Challenger - 469 LP,53.3,1807 / 1586,
#44,ADC,Pokimane,Challenger - 460 LP,52.4,1792 / 1625,Simp
#45,Top,Looperx,Challenger - 459 LP,56.0,826 / 650,Choi
#46,Support,Keria,Challenger - 457 LP,52.3,1604 / 1461,TheStriker9
#47,Mid,EMFyels,Challenger - 456 LP,53.4,2396 / 2087,EMFyels
#48,Mid,Rabbit108,Challenger - 456 LP,55.8,1264 / 1001,willchung128
#49,Top,Kingen,Challenger - 445 LP,53.7,1353 / 1167,Maffayoo
#50,Support,Fekker,Challenger - 445 LP,53.3,1792 / 1569,Key
#51,Mid,LeSnek,Grandmaster - 439 LP,52.5,1507 / 1364,LS
#52,Jungle,Prophet,Grandmaster - 438 LP,55.8,1303 / 1032,Four
#53,Jungle,Iris,Grandmaster - 437 LP,54.0,1718 / 1461,WildChoas
#54,Support,stolik,Grandmaster - 436 LP,53.2,1603 / 1410,stolik
#55,Support,ReaganHau,Grandmaster - 435 LP,51.7,1497 / 1399,reaganhau
#56,Mid,Mephisto,Grandmaster - 433 LP,53.2,1708 / 1504,Zettohail
#57,Support,SupBot,Grandmaster - 431 LP,52.8,1679 / 1499,TangilBOT
#58,Mid,Tupac,Grandmaster - 427 LP,53.8,1379 / 1184,Pranceof
