Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,ADC,Rabbit4,Challenger - 288 LP,60.6,439 / 285,willchungtester
#2,Support,unicornpetpetuwu,Challenger - 189 LP,60.5,310 / 202,GamerGirls
#3,Support,Princess,Challenger - 110 LP,62.8,307 / 182,Princess
#4,Jungle,Kaltch,Challenger - 105 LP,61.3,375 / 237,Princess
#5,Jungle,tarzaned,Challenger - 86 LP,59.6,520 / 353,Tyler1
#6,Support,HelpingX,Challenger - 78 LP,60.3,445 / 293,Felixxx
#7,Jungle,Stupid Jungler,Challenger - 63 LP,61.9,495 / 305,PooPooPeePee
#8,Top,SilSol,Challenger - 49 LP,56.3,534 / 415,silsoleuw
#9,Jungle,Aela ,Challenger - 48 LP,58.0,502 / 363,MolscarZX
#10,Mid,Chovy,Challenger - 46 LP,62.3,571 / 345,TheStriker9
#11,Jungle,Canyon,Challenger - 41 LP,58.5,372 / 264,YamatoCannon
#12,Support,Rabbit5,Challenger - 38 LP,54.0,529 / 450,willchungtester
#13,ADC,snky,Challenger - 36 LP,57.4,464 / 345,haxplague1
#14,Top,Alistar top,Challenger - 35 LP,54.5,547 / 457,roysiggi 2 
#15,Jungle,AttSeeker,Challenger - 31 LP,57.8,553 / 404,PaxVan
#16,Support,Healslut,Challenger - 27 LP,55.2,513 / 417,roysiggi
#17,Jungle,Clid 2.0,Challenger - 25 LP,55.1,543 / 442,Coach_Kim
#18,ADC,Teddy,Challenger - 25 LP,58.2,437 / 314,Kim
#19,Mid,QQ Miku,Challenger - 24 LP,49.7,470 / 475,Futaro
#20,ADC,Noob,Challenger - 24 LP,56.2,501 / 391,Baleygr
#21,Jungle,SmelliElli,Challenger - 19 LP,57.6,497 / 366,bigjon
#22,Top,KSet,Challenger - 18 LP,55.2,518 / 421,CJackz
#23,Mid,Etosh,Challenger - 18 LP,57.6,547 / 403,Etosh
#24,Support,Kiyoon,Challenger - 17 LP,55.3,666 / 538,Bitesized
#25,Mid,Rune,Challenger - 16 LP,50.7,633 / 615,GooseHouse
#26,Top,SheIsLegal,Challenger - 14 LP,57.0,554 / 418,PaxVan
#27,Top,cp mccreamy,Challenger - 6 LP,57.1,550 / 413,Meow woeM
#28,Top,Fabrizio Frizzi,Challenger - 6 LP,55.8,566 / 449,CQANQKA
#29,Mid,Prime Faker,Challenger - 2 LP,52.7,524 / 470,LDK
#30,Mid,Neekolul,Challenger - 1 LP,52.6,501 / 451,Simp
#31,Support,Eirika,Diamond I - 98 LP,55.3,530 / 429,Nyubola
#32,Jungle,TheSecretWeapon,Diamond I - 96 LP,55.5,486 / 390,Erknaite
#33,Mid,Engel,Diamond I - 94 LP,57.6,247 / 182,Billy
#34,Top,Lon qu,Diamond I - 92 LP,52.7,543 / 487,Nyubola
#35,Mid,Zezro,Diamond I - 91 LP,54.9,592 / 487,Zezro
#36,Jungle,Nunu V2,Diamond I - 90 LP,58.0,652 / 473,willchung1024
#37,Jungle,110110010011,Diamond I - 90 LP,55.9,600 / 473,110110010011
#38,ADC,Marisa,Diamond I - 89 LP,47.0,427 / 481,Nyubola
#39,Top,Pls dont feed,Diamond I - 87 LP,47.7,451 / 494,roysiggi
#40,Jungle,Bliz,Diamond I - 86 LP,50.8,550 / 532,GooseHouse
#41,ADC,Ree-ason,Diamond I - 82 LP,55.6,464 / 371,hmphree
#42,ADC,Fury,Diamond I - 81 LP,49.4,424 / 435,Zax1x3
#43,Top,DoinB,Diamond I - 80 LP,57.1,389 / 292,LordArtos
#44,ADC,Karma,Diamond I - 79 LP,55.7,422 / 336,Dark Pact
#45,Top,GuppyMilk,Diamond I - 79 LP,57.0,493 / 372,gespenst
#46,Top,sleightlymusical,Diamond I - 79 LP,45.7,441 / 524,Champions
#47,ADC,Green Arrow,Diamond I - 74 LP,52.4,413 / 375,JamesM
#48,Mid,Factor,Diamond I - 73 LP,56.3,545 / 423,thefactor7
#49,Top,Bde,Diamond I - 72 LP,53.0,562 / 498,Deu13
#50,ADC,fnc jjboce adc,Diamond I - 71 LP,51.1,504 / 483,jjboce
#51,Jungle,ggbebe,Diamond I - 70 LP,55.9,720 / 568,garbz
#52,Top,Akari,Diamond I - 69 LP,49.9,625 / 628,GooseHouse
#53,Mid,Kiddlazy,Diamond I - 68 LP,49.4,536 / 550,Gawaine
#54,Mid,T,Diamond I - 67 LP,53.3,550 / 482,Deu13
#55,Support,The-Georg,Diamond I - 67 LP,55.3,493 / 398,Kagecko
#56,Jungle,BlabberFIsh,Diamond I - 67 LP,58.1,525 / 378,Meteo
#57,Support,suppbeast777,Diamond I - 66 LP,52.9,531 / 472,squzzz
#58,Mid,0/10 yasuo,Diamond I - 66 LP,53.0,534 / 473,aquietghost
#59,Top,Brennus,Diamond I - 65 LP,50.9,522 / 503,darkhorse298
#60,Support,xplayz4dayz,Diamond I - 65 LP,57.4,487 / 361,froggen
#61,Jungle,Heroofthevalley,Diamond I - 63 LP,58.6,496 / 351,Tha toad
#62,ADC,Jaka,Diamond I - 59 LP,53.6,389 / 337,Jaka
#63,ADC,EzReallyNotHard,Diamond I - 58 LP,51.5,504 / 474,PooPooPeePee
#64,ADC,Jackinev,Diamond I - 58 LP,51.0,432 / 415,Furfrou
#65,Support,Keyleth,Diamond I - 57 LP,49.2,391 / 403,b1gw00dy613
#66,ADC,Prikki,Diamond I - 57 LP,49.5,409 / 418,Dehkari
#67,Top,Togato,Diamond I - 57 LP,54.5,486 / 405,Megadava
#68,Support,KrispyTapatio,Diamond I - 56 LP,52.5,586 / 531,willchung127
#69,Jungle,Freja,Diamond I - 56 LP,57.9,609 / 442,ornstein123
#70,Jungle,Clive,Diamond I - 55 LP,50.1,468 / 467,Nyubola
#71,ADC,LonelySoyboy,Diamond I - 55 LP,48.3,447 / 478,LS
#72,Support,Nite,Diamond I - 54 LP,51.4,382 / 361,azure43
#73,Support,TheM,Diamond I - 51 LP,54.7,492 / 407,Mclmatt
#74,ADC,PiCake,Diamond I - 51 LP,55.0,444 / 364,Niern
#75,Jungle,BigBillsPlatypus,Diamond I - 49 LP,57.9,540 / 392,Viserra0325
#76,Top,Scarra,Diamond I - 49 LP,63.2,405 / 236,OfflineTV
#77,Mid,DeliciousMilk,Diamond I - 47 LP,53.5,682 / 593,Bitesized
