Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,Mid,Chovy,Challenger - 235 LP,63.5,509 / 293,TheStriker9
#2,ADC,Rabbit4,Challenger - 204 LP,60.0,422 / 281,willchungtester
#3,Top,DoinB,Challenger - 176 LP,58.5,339 / 240,LordArtos
#4,Support,Princess,Challenger - 161 LP,62.4,214 / 129,Princess
#5,Support,unicornpetpetuwu,Challenger - 127 LP,59.8,263 / 177,GamerGirls
#6,Jungle,Stupid Jungler,Challenger - 115 LP,61.2,293 / 186,PooPooPeePee
#7,Support,Rabbit5,Challenger - 84 LP,53.3,447 / 391,willchungtester
#8,Jungle,Kaltch,Challenger - 84 LP,61.4,277 / 174,Princess
#9,Top,SheIsLegal,Challenger - 82 LP,56.6,436 / 334,PaxVan
#10,Support,HelpingX,Challenger - 71 LP,60.4,334 / 219,Felixxx
#11,Top,Kingen,Challenger - 68 LP,59.0,474 / 329,Maffayoo
#12,Mid,LeSnek,Challenger - 65 LP,62.6,316 / 189,LS
#13,ADC,Teddy,Challenger - 64 LP,58.6,354 / 250,Kim
#14,Support,Rookie,Challenger - 60 LP,57.5,293 / 217,LordArtos
#15,Jungle,Aela ,Challenger - 52 LP,57.1,398 / 299,MolscarZX
#16,ADC,Clutch,Challenger - 42 LP,57.6,386 / 284,icookiestalker
#17,Jungle,Canyon,Challenger - 39 LP,58.2,270 / 194,YamatoCannon
#18,Jungle,AttSeeker,Challenger - 32 LP,57.0,410 / 309,PaxVan
#19,Mid,Etosh,Challenger - 26 LP,57.0,402 / 303,Etosh
#20,Jungle,SmelliElli,Challenger - 23 LP,57.6,415 / 306,bigjon
#21,ADC,snky,Challenger - 20 LP,57.1,378 / 284,haxplague1
#22,Top,cp mccreamy,Challenger - 18 LP,57.5,444 / 328,Meow woeM
#23,Top,Scarra,Challenger - 17 LP,64.9,263 / 142,OfflineTV
#24,Mid,Factor,Challenger - 13 LP,56.7,442 / 338,thefactor7
#25,Jungle,Prophet,Challenger - 10 LP,58.1,455 / 328,Four
#26,Jungle,Nunu V2,Challenger - 9 LP,56.5,511 / 394,willchung1024
#27,Jungle,Freja,Challenger - 8 LP,58.5,472 / 335,ornstein123
#28,Mid,Frick Yasuo6969,Challenger - 6 LP,50.4,494 / 487,moonrat
#29,Mid,Zer,Challenger - 3 LP,53.8,509 / 437,cmoney847
#30,Support,Eclipsed,Diamond I - 96 LP,55.3,503 / 407,cmoney847
#31,Top,FarmFarmFarm,Diamond I - 95 LP,54.8,485 / 400,moonrat
#32,Mid,Katerino,Diamond I - 90 LP,48.4,455 / 485,Champions
#33,ADC,Ahiax,Diamond I - 89 LP,56.7,359 / 274,roger
#34,Mid,Everglaid,Diamond I - 88 LP,51.2,452 / 430,yukioken
#35,Jungle,TheSecretWeapon,Diamond I - 86 LP,55.2,391 / 317,Erknaite
#36,Support,Oxman,Diamond I - 79 LP,55.3,353 / 285,LeXas
#37,Support,DedeKong,Diamond I - 79 LP,51.9,414 / 384,PooPooPeePee
#38,Mid,Anežka,Diamond I - 77 LP,51.5,442 / 416,GAMEUJU
#39,ADC,invention,Diamond I - 75 LP,53.8,464 / 398,garbz
#40,Mid,Pegasus,Diamond I - 72 LP,52.0,319 / 295,Spezza
#41,Support,Biofrost,Diamond I - 71 LP,56.2,421 / 328,Danie1
#42,Top,Ayu,Diamond I - 67 LP,54.6,496 / 413,Bitesized
#43,Support,Kiyoon,Diamond I - 66 LP,55.3,521 / 421,Bitesized
#44,Top,Fabrizio Frizzi,Diamond I - 66 LP,55.4,441 / 355,CQANQKA
#45,ADC,PiCake,Diamond I - 64 LP,54.2,343 / 290,Niern
#46,Mid,Hide in poon,Diamond I - 62 LP,54.7,376 / 311,kamiOCE
#47,Support,Ikea Mat,Diamond I - 60 LP,52.4,415 / 377,wertyce
#48,Top,Fantasy,Diamond I - 60 LP,54.7,404 / 334,WildChoas
#49,Jungle,Asphyxia,Diamond I - 60 LP,50.4,412 / 406,Hopestarxo
#50,Mid,Yunbee,Diamond I - 59 LP,52.1,538 / 495,Memersticks
#51,Top,KSet,Diamond I - 57 LP,54.4,404 / 338,CJackz
#52,Mid,POILK,Diamond I - 56 LP,48.6,406 / 429,grifblof
#53,Support,AfroPerkins,Diamond I - 55 LP,52.1,337 / 310,kyleperkins
#54,Support,Eirika,Diamond I - 54 LP,53.9,379 / 324,Nyubola
#55,Jungle,110110010011,Diamond I - 53 LP,54.7,421 / 348,110110010011
#56,Support,fnc jjboce sup,Diamond I - 51 LP,55.5,394 / 316,jjboce
#57,ADC,Noob,Diamond I - 48 LP,55.3,386 / 312,Baleygr
#58,Jungle,Ellim,Diamond I - 45 LP,52.8,423 / 378,Caleum
#59,ADC,Panther,Diamond I - 45 LP,49.6,331 / 336,WildChoas
#60,Jungle,DarkJ,Diamond I - 45 LP,51.8,353 / 328,remixitagain
#61,ADC,Rem-chan,Diamond I - 45 LP,55.1,362 / 295,Kuurys
#62,Mid,KimnTaimin,Diamond I - 43 LP,50.3,388 / 383,RealLeXas
#63,Support,Aeryn,Diamond I - 43 LP,52.1,398 / 366,WildChoas
#64,Jungle,ggbebe,Diamond I - 43 LP,55.4,599 / 482,garbz
#65,Support,Dibbs,Diamond I - 42 LP,52.0,354 / 327,MaverickG
#66,Support,MamaSboy,Diamond I - 41 LP,52.0,344 / 317,phoomza8888
#67,Top,Lon qu,Diamond I - 41 LP,51.3,384 / 365,Nyubola
#68,Top,Anbuuld,Diamond I - 41 LP,50.9,350 / 338,Anbeeld
#69,Jungle,DaddyFrag,Diamond I - 40 LP,49.3,406 / 418,Shagrad
#70,ADC,Teal,Diamond I - 40 LP,51.8,354 / 329,cmoney847
#71,Jungle,Joseph Smith,Diamond I - 39 LP,54.7,232 / 192,meroaga
#72,Top,Togato,Diamond I - 39 LP,54.2,349 / 295,Megadava
#73,Mid,MidBot,Diamond I - 39 LP,52.3,299 / 273,TangilBOT
#74,Top,Heimerdonger,Diamond I - 38 LP,53.1,418 / 369,TimoMacDonut
#75,Top,Toilet Paper,Diamond I - 37 LP,53.5,375 / 326,Phase
#76,ADC,Huangdi,Diamond I - 35 LP,54.1,329 / 279,Anzaielh
#77,ADC,Coldest,Diamond I - 35 LP,49.4,309 / 316,MaverickG
