Rank number,Role,Player name,Rank,Win rate(%),Wins / losses
#1,Top,Raleigh Obelisk,Platinum I - 66 LP,58.9,199 / 139
#2,Top,Top,Platinum I - 5 LP,58.2,156 / 112
#3,Support,FPX Crisp,Platinum II - 93 LP,55.2,170 / 138
#4,Jungle,Wrath,Platinum II - 91 LP,58.1,165 / 119
#5,Jungle,Zevton,Platinum II - 69 LP,52.7,203 / 182
#6,Top,SS Flandre,Platinum II - 59 LP,55.6,212 / 169
#7,Support,RNG Ming,Platinum II - 53 LP,57.4,225 / 167
#8,ADC,PvM,Platinum II - 13 LP,56.7,207 / 158
#9,Mid,Renners,Platinum II - 1 LP,56.5,187 / 144
#10,Top,TurboThrow,Platinum II - 0 LP,57.1,112 / 84
#11,Jungle,EnzoLeCoco,Platinum III - 97 LP,52.9,220 / 196
#12,Support,Xpecial,Platinum III - 96 LP,55.3,210 / 170
#13,Top,xxaznpuppy32xx,Platinum III - 95 LP,58.2,242 / 174
#14,ADC,Kudor88888882141,Platinum III - 91 LP,52.0,209 / 193
#15,Support,225,Platinum III - 89 LP,52.8,200 / 179
#16,Jungle,Superb,Platinum III - 89 LP,61.8,188 / 116
#17,Jungle,420~truaznkity,Platinum III - 86 LP,54.2,225 / 190
#18,Support,d0gg0,Platinum III - 86 LP,53.0,196 / 174
#19,Jungle,Sparrow,Platinum III - 85 LP,58.0,215 / 156
#20,Jungle,time,Platinum III - 84 LP,53.6,177 / 153
#21,Jungle,LIL PUMP ESKETIT,Platinum III - 83 LP,51.5,217 / 204
#22,Jungle,Kai,Platinum III - 79 LP,50.3,187 / 185
#23,Jungle,chef,Platinum III - 78 LP,53.3,208 / 182
#24,ADC,xXxVaYnEmAiNxXx,Platinum III - 77 LP,54.6,195 / 162
#25,Jungle,Bibi,Platinum III - 75 LP,62.5,95 / 57
#26,Support,God damn i doode,Platinum III - 74 LP,53.3,192 / 168
#27,Jungle,EG Voutocu,Platinum III - 71 LP,55.7,209 / 166
#28,Top,MJay,Platinum III - 66 LP,57.0,215 / 162
#29,Jungle,TarzanFaker,Platinum III - 61 LP,53.9,216 / 185
#30,ADC,Pokimane,Platinum III - 59 LP,54.2,213 / 180
#31,Top,give me life,Platinum III - 56 LP,53.4,222 / 194
#32,Jungle,tarzaned,Platinum III - 55 LP,50.5,200 / 196
#33,Top,Broken Blade,Platinum III - 48 LP,55.2,214 / 174
#34,Support,Tratz,Platinum III - 47 LP,50.0,180 / 180
#35,Jungle,ibims1long,Platinum III - 47 LP,56.2,176 / 137
#36,Top,Hex Hex,Platinum III - 47 LP,53.7,87 / 75
#37,Support,Plays Rengar Sup,Platinum III - 46 LP,57.5,207 / 153
#38,Mid,TDA D14BL0,Platinum III - 45 LP,47.4,201 / 223
#39,Top,Rafitxos,Platinum III - 45 LP,50.9,199 / 192
#40,Mid,Seirilyvia,Platinum III - 44 LP,52.8,130 / 116
#41,Mid,Luciana,Platinum III - 43 LP,51.6,198 / 186
#42,Top,MarcHummer,Platinum III - 42 LP,44.4,115 / 144
#43,Top,Always Splits,Platinum III - 42 LP,49.8,123 / 124
#44,Jungle,OTP JGL,Platinum III - 41 LP,45.5,97 / 116
#45,Support,TheRelic4411,Platinum III - 41 LP,53.8,105 / 90
#46,Top,revolutionsaxe,Platinum III - 40 LP,45.3,160 / 193
#47,Support,JANNA PLAYER :3,Platinum III - 40 LP,50.5,185 / 181
#48,Mid,Omni,Platinum III - 39 LP,51.8,127 / 118
#49,Jungle,Nocturnal,Platinum III - 39 LP,48.9,172 / 180
#50,Top,thegamingzebra,Platinum III - 38 LP,58.7,206 / 145
#51,ADC,sola,Platinum III - 38 LP,54.1,197 / 167
#52,Jungle,GG Bekhali,Platinum III - 37 LP,53.7,201 / 173
#53,Support,CoreJJ,Platinum III - 37 LP,56.8,154 / 117
#54,Mid,RunningDown,Platinum III - 37 LP,47.7,178 / 195
#55,Mid,Phantom,Platinum III - 36 LP,56.1,165 / 129
#56,Top,Destiny,Platinum III - 36 LP,50.6,158 / 154
#57,Mid,Choky,Platinum III - 35 LP,50.7,209 / 203
#58,Jungle,Poppey,Platinum III - 33 LP,55.7,186 / 148
#59,Support,IG Southwind,Platinum III - 33 LP,51.2,212 / 202
#60,ADC,Scarry,Platinum III - 32 LP,50.1,176 / 175
#61,ADC,Frosti,Platinum III - 32 LP,50.5,203 / 199
#62,Support,Hisher,Platinum III - 31 LP,57.6,213 / 157
#63,Jungle,Ceasarna,Platinum III - 31 LP,46.9,176 / 199
#64,Support,Kutcher,Platinum III - 26 LP,57.8,212 / 155
#65,Mid,carrot,Platinum III - 25 LP,48.3,174 / 186
