Rank number,Role,Player name,Rank,Win rate(%),Wins / losses
#1,Support,Kapp Wampie,Platinum I - 55 LP,71.6,78 / 31
#2,Support,Aqua,Platinum I - 42 LP,61.8,107 / 66
#3,Jungle,BelleDelphine,Platinum I - 35 LP,61.5,110 / 69
#4,Jungle,Invictis,Platinum I - 9 LP,48.5,96 / 102
#5,Support,Goku Black,Platinum II - 96 LP,61.3,98 / 62
#6,Top,TopBot,Platinum II - 94 LP,63.0,87 / 51
#7,ADC,Ikaros,Platinum II - 93 LP,55.2,85 / 69
#8,Jungle,HLE Viper,Platinum II - 83 LP,65.1,136 / 73
#9,Support,Help,Platinum II - 74 LP,54.8,109 / 90
#10,ADC,lilcutiepaipee,Platinum II - 74 LP,57.9,124 / 90
#11,Top,Raleigh Obelisk,Platinum II - 54 LP,59.8,101 / 68
#12,Jungle,EDG Clearlove7,Platinum II - 51 LP,53.8,113 / 97
#13,Support,KuroKy,Platinum II - 49 LP,51.2,106 / 101
#14,Jungle,Bibi,Platinum II - 47 LP,61.3,103 / 65
#15,Top,Nice Impact,Platinum II - 43 LP,56.6,90 / 69
#16,Jungle,JMENDOZA,Platinum II - 38 LP,54.8,108 / 89
#17,Mid,Matoro,Platinum II - 37 LP,57.9,99 / 72
#18,ADC,Vahvel,Platinum II - 35 LP,58.7,98 / 69
#19,Support,FPX Crisp,Platinum II - 34 LP,57.5,115 / 85
#20,Top,Destructoid,Platinum II - 34 LP,59.9,127 / 85
#21,Support,5,Platinum II - 22 LP,65.2,75 / 40
#22,ADC,Bait,Platinum II - 22 LP,55.3,110 / 89
#23,Top,xxaznpuppy32xx,Platinum II - 20 LP,58.5,124 / 88
#24,Jungle,Jinxnator,Platinum II - 15 LP,60.3,114 / 75
#25,ADC,DoubleDouble,Platinum II - 9 LP,58.9,109 / 76
#26,Jungle,Exfiltrate,Platinum II - 2 LP,58.1,90 / 65
#27,Jungle,Superb,Platinum II - 1 LP,62.2,97 / 59
#28,ADC,Surviv0r,Platinum II - 1 LP,47.9,92 / 100
#29,Mid,Galio,Platinum II - 0 LP,59.2,122 / 84
#30,Top,Amouranth,Platinum II - 0 LP,50.9,111 / 107
#31,Mid,IG Wh1t3zZ,Platinum III - 97 LP,54.0,108 / 92
#32,Support,Tratz,Platinum III - 97 LP,59.3,105 / 72
#33,ADC,RNG Uzi,Platinum III - 89 LP,58.5,120 / 85
#34,Jungle,Exemplar,Platinum III - 87 LP,61.1,96 / 61
#35,Mid,Seirilyvia,Platinum III - 83 LP,49.7,99 / 100
#36,Mid,MidBot,Platinum III - 83 LP,53.9,117 / 100
#37,ADC,B0n Ivern,Platinum III - 82 LP,57.0,94 / 71
#38,Jungle,SirDigby123,Platinum III - 82 LP,53.5,92 / 80
#39,Jungle,Poppey,Platinum III - 82 LP,54.1,132 / 112
#40,Jungle,TarzanFaker,Platinum III - 82 LP,56.2,95 / 74
#41,ADC,Kanashimi Clown,Platinum III - 81 LP,53.8,114 / 98
#42,ADC,Vortex_c4,Platinum III - 79 LP,56.3,107 / 83
#43,Top,Ankush,Platinum III - 79 LP,49.7,89 / 90
#44,Jungle,JglBot,Platinum III - 78 LP,55.4,118 / 95
#45,ADC,Leopan,Platinum III - 78 LP,59.9,112 / 75
#46,Mid,CallMeTeaMan,Platinum III - 77 LP,54.1,99 / 84
#47,Mid,Mantra,Platinum III - 76 LP,51.5,102 / 96
#48,Jungle,Pyosik,Platinum III - 76 LP,63.7,121 / 69
#49,Top,Kaleid,Platinum III - 74 LP,56.8,117 / 89
#50,Jungle,Dopa,Platinum III - 73 LP,57.1,89 / 67
#51,Jungle,Hidden,Platinum III - 72 LP,61.8,102 / 63
#52,Jungle,Matthew,Platinum III - 72 LP,61.2,112 / 71
#53,Support,Deontic,Platinum III - 71 LP,58.3,119 / 85
#54,Top,Aryze,Platinum III - 70 LP,55.9,99 / 78
#55,Top,Landmeeuw,Platinum III - 69 LP,56.9,103 / 78
#56,Top,Agent Boris,Platinum III - 69 LP,55.0,93 / 76
#57,Mid,Mid Lane Bot,Platinum III - 69 LP,61.0,89 / 57
#58,Top,R0ck,Platinum III - 63 LP,57.3,125 / 93
#59,Jungle,Kai,Platinum III - 62 LP,50.6,88 / 86
#60,Top,MrBochka,Platinum III - 61 LP,53.6,113 / 98
#61,ADC,Kadlin,Platinum III - 60 LP,53.0,96 / 85
#62,Support,Nightlight,Platinum III - 58 LP,51.9,108 / 100
#63,Top,C9 Balls,Platinum III - 58 LP,45.1,88 / 107
#64,Top,Ben Dover,Platinum III - 57 LP,54.2,90 / 76
#65,ADC,Perkz,Platinum III - 56 LP,52.3,92 / 84
#66,Support,JhinSuppNoTroll,Platinum III - 55 LP,52.7,118 / 106
#67,Support,Trick789,Platinum III - 53 LP,52.0,90 / 83
#68,Top,xX5W4GM4573RXx,Platinum III - 52 LP,53.0,96 / 85
#69,Mid,Symphony,Platinum III - 51 LP,65.9,85 / 44
#70,Mid,BottleCaps,Platinum III - 50 LP,58.1,100 / 72
#71,Support,Duckling,Platinum III - 47 LP,53.3,90 / 79
#72,Support,Fole,Platinum III - 47 LP,49.5,100 / 102
#73,ADC,sola,Platinum III - 47 LP,43.0,80 / 106
#74,Jungle,Test2,Platinum III - 46 LP,59.7,89 / 60
#75,Top,Sioux,Platinum III - 45 LP,55.4,87 / 70
#76,Support,Biofrost,Platinum III - 44 LP,51.8,102 / 95
