Rank number,Role,Player name,Rank,Win rate(%),Wins / losses
#1,Jungle,Jinxnator,Platinum I - 51 LP,61.9,140 / 86
#2,Top,Raleigh Obelisk,Platinum I - 31 LP,61.4,116 / 73
#3,Support,PepeLove,Platinum I - 29 LP,55.3,156 / 126
#4,Support,Kapp Wampie,Platinum I - 28 LP,65.6,105 / 55
#5,ADC,lilcutiepaipee,Platinum I - 15 LP,58.4,143 / 102
#6,Top,NoImpact,Platinum I - 4 LP,56.3,130 / 101
#7,Support,Aqua,Platinum I - 1 LP,60.9,131 / 84
#8,Jungle,BelleDelphine,Platinum II - 95 LP,59.8,128 / 86
#9,ADC,DoubleDouble,Platinum II - 94 LP,59.3,134 / 92
#10,Jungle,SirDigby123,Platinum II - 90 LP,56.7,131 / 100
#11,ADC,Vahvel,Platinum II - 88 LP,59.4,129 / 88
#12,Mid,Matoro,Platinum II - 80 LP,58.9,119 / 83
#13,Top,R0ck,Platinum II - 76 LP,58.8,154 / 108
#14,Support,FPX Crisp,Platinum II - 73 LP,58.3,144 / 103
#15,Mid,Frethborn,Platinum II - 69 LP,56.1,128 / 100
#16,Jungle,Bibi,Platinum II - 68 LP,61.1,127 / 81
#17,Top,Destructoid,Platinum II - 59 LP,60.1,149 / 99
#18,Jungle,Pyosik,Platinum II - 59 LP,63.5,165 / 95
#19,Jungle,EDG Clearlove7,Platinum II - 57 LP,54.2,129 / 109
#20,Support,Tratz,Platinum II - 56 LP,60.3,135 / 89
#21,Jungle,JglBot,Platinum II - 55 LP,56.7,149 / 114
#22,Jungle,Superb,Platinum II - 54 LP,62.5,125 / 75
#23,Jungle,HLE Viper,Platinum II - 53 LP,63.7,149 / 85
#24,Mid,BottleCaps,Platinum II - 46 LP,60.0,132 / 88
#25,Jungle,funnel is dead,Platinum II - 45 LP,57.8,148 / 108
#26,Top,Titan,Platinum II - 44 LP,57.6,110 / 81
#27,Mid,TDA D14BL0,Platinum II - 40 LP,51.9,120 / 111
#28,Support,SuppBot,Platinum II - 33 LP,56.9,141 / 107
#29,Support,Goku Black,Platinum II - 32 LP,59.1,110 / 76
#30,ADC,Rikish,Platinum II - 28 LP,53.0,122 / 108
#31,Top,Always Splits,Platinum II - 25 LP,54.6,137 / 114
#32,Jungle,Better blame me,Platinum II - 23 LP,52.0,119 / 110
#33,Top,Funn1k,Platinum II - 22 LP,51.1,142 / 136
#34,Mid,Frimmy23,Platinum II - 20 LP,51.0,123 / 118
#35,Top,allee,Platinum II - 15 LP,57.4,132 / 98
#36,Top,RNG Letme,Platinum II - 15 LP,52.3,138 / 126
#37,Jungle,tarzaned,Platinum II - 13 LP,56.9,170 / 129
#38,Top, IG TheShy,Platinum II - 13 LP,53.5,146 / 127
#39,Jungle,Poppey,Platinum II - 11 LP,54.6,160 / 133
#40,Top,MrBochka,Platinum II - 9 LP,55.0,154 / 126
#41,Top,Fran5,Platinum II - 7 LP,54.8,120 / 99
