Rank number,Role,Player name,Rank,Win rate(%),Wins / losses
#1,Support,Kapp Wampie,Platinum II - 57 LP,75.4,43 / 14
#2,Mid,Phantom,Platinum II - 47 LP,63.4,59 / 34
#3,Top,TopBot,Platinum II - 39 LP,66.2,47 / 24
#4,Jungle,Zevton,Platinum II - 6 LP,67.3,37 / 18
#5,ADC,DoubleDouble,Platinum II - 0 LP,59.7,46 / 31
#6,Support,225,Platinum III - 99 LP,67.7,44 / 21
#7,Mid,Rexxar,Platinum III - 84 LP,67.5,54 / 26
#8,Jungle,Superb,Platinum III - 64 LP,66.1,41 / 21
#9,Jungle,Matthew,Platinum III - 57 LP,66.7,48 / 24
#10,Jungle,tarzaned,Platinum III - 51 LP,55.4,51 / 41
#11,Jungle,Wrath,Platinum III - 49 LP,60.4,58 / 38
#12,Jungle,Pyosik,Platinum III - 46 LP,67.0,59 / 29
#13,Top,Raleigh Obelisk,Platinum III - 39 LP,58.7,44 / 31
#14,Jungle,RNG mlxg,Platinum III - 36 LP,49.4,41 / 42
#15,Support,Redman,Platinum III - 35 LP,60.5,49 / 32
#16,Top,Psykos,Platinum III - 33 LP,50.5,46 / 45
#17,ADC,Frosti,Platinum III - 29 LP,62.5,40 / 24
#18,Jungle,funnel is dead,Platinum III - 29 LP,69.1,47 / 21
#19,Jungle,BelleDelphine,Platinum III - 23 LP,60.4,55 / 36
#20,Support,Hisher,Platinum III - 23 LP,58.7,37 / 26
#21,Jungle,Hidden,Platinum III - 21 LP,66.7,44 / 22
#22,Jungle,ivy,Platinum III - 20 LP,60.5,49 / 32
#23,Mid,Galio,Platinum III - 20 LP,59.0,49 / 34
#24,Top,thegamingzebra,Platinum III - 19 LP,65.0,39 / 21
#25,Top,Snowguy,Platinum III - 19 LP,49.5,47 / 48
#26,Jungle,Never Ganks,Platinum III - 19 LP,59.2,42 / 29
#27,ADC,lilcutiepaipee,Platinum III - 18 LP,56.0,51 / 40
#28,Jungle,Jinxnator,Platinum III - 15 LP,60.6,43 / 28
#29,Jungle,L.Arm of Cauw,Platinum III - 14 LP,58.8,40 / 28
#30,Top,Destructoid,Platinum III - 13 LP,63.9,53 / 30
#31,Jungle,pete_boyo,Platinum III - 12 LP,57.5,50 / 37
#32,Jungle,Test2,Platinum III - 11 LP,60.0,36 / 24
#33,ADC,T1 T1,Platinum III - 11 LP,54.5,60 / 50
#34,Jungle,Winston,Platinum III - 11 LP,57.3,47 / 35
#35,Mid,Ghacobe,Platinum III - 10 LP,56.0,51 / 40
#36,Support,PepeLove,Platinum III - 9 LP,50.6,45 / 44
#37,ADC,PvM,Platinum III - 9 LP,56.2,41 / 32
#38,ADC,Goblin,Platinum III - 8 LP,52.1,38 / 35
#39,Top,xxaznpuppy32xx,Platinum III - 7 LP,59.2,61 / 42
#40,ADC,Sinon,Platinum III - 7 LP,61.0,50 / 32
#41,Mid,Mid,Platinum III - 5 LP,54.3,38 / 32
#42,Mid,Slimsnoker,Platinum III - 4 LP,59.5,44 / 30
#43,Jungle,C9 Meteos,Platinum III - 3 LP,59.7,37 / 25
#44,ADC,BotBot,Platinum III - 3 LP,55.6,40 / 32
#45,Top,SmackyB,Platinum III - 3 LP,54.3,57 / 48
#46,Top,Broken Blade,Platinum III - 1 LP,46.8,37 / 42
#47,Support,JANNA PLAYER :3,Platinum III - 1 LP,54.3,44 / 37
#48,Jungle,Luv Email,Platinum III - 1 LP,57.3,51 / 38
#49,Support,Monkey Mokney,Platinum III - 0 LP,61.5,56 / 35
