Rank number,Role,Player name,Rank,Win rate(%),Wins / losses
#1,Top,Raleigh Obelisk,Platinum I - 49 LP,58.7,196 / 138
#2,Jungle,Wrath,Platinum II - 88 LP,57.8,155 / 113
#3,Jungle,Poppey,Platinum II - 52 LP,57.2,163 / 122
#4,Jungle,Zevton,Platinum II - 43 LP,51.9,187 / 173
#5,Support,d0gg0,Platinum II - 36 LP,53.3,179 / 157
#6,Top,Top,Platinum II - 28 LP,56.8,142 / 108
#7,Top,TurboThrow,Platinum II - 9 LP,57.1,92 / 69
#8,Top,Randomsmeker1234,Platinum II - 8 LP,57.0,199 / 150
#9,Jungle,110110010011,Platinum II - 0 LP,56.1,162 / 127
#10,Jungle,TarzanFaker,Platinum III - 92 LP,54.1,190 / 161
#11,ADC,sola,Platinum III - 86 LP,54.3,175 / 147
#12,ADC,PvM,Platinum III - 81 LP,56.2,185 / 144
#13,ADC,TES Jackeylove,Platinum III - 75 LP,58.7,166 / 117
#14,ADC,cryhard,Platinum III - 73 LP,51.0,176 / 169
#15,Support,Plays Rengar Sup,Platinum III - 71 LP,57.5,187 / 138
#16,Support,Aqua,Platinum III - 66 LP,55.8,192 / 152
#17,Support,Tiriana,Platinum III - 65 LP,54.8,103 / 85
#18,Top,MJay,Platinum III - 65 LP,57.1,198 / 149
#19,ADC,T1 T1,Platinum III - 64 LP,55.6,198 / 158
#20,Jungle,Exfiltrate,Platinum III - 62 LP,50.4,179 / 176
#21,Jungle,Jinxnator,Platinum III - 59 LP,62.9,144 / 85
#22,Jungle,Never Ganks,Platinum III - 58 LP,58.1,190 / 137
#23,Mid,Simonze,Platinum III - 53 LP,49.9,176 / 177
#24,Support,Josuke Higashika,Platinum III - 47 LP,52.3,125 / 114
#25,Top,Smug Egirl Owo,Platinum III - 37 LP,55.7,195 / 155
#26,Mid,Seirilyvia,Platinum III - 37 LP,51.7,104 / 97
#27,Mid,[REDACTED],Platinum III - 36 LP,56.7,80 / 61
#28,Jungle,Superb,Platinum III - 36 LP,61.7,158 / 98
#29,Support,God damn i doode,Platinum III - 35 LP,52.1,165 / 152
#30,Support,Tratz,Platinum III - 32 LP,49.1,161 / 167
#31,Top,Punchaubuns,Platinum III - 31 LP,59.5,66 / 45
#32,Support,225,Platinum III - 30 LP,52.5,181 / 164
#33,Jungle,Sparrow,Platinum III - 27 LP,57.3,199 / 148
#34,Support,Straitéis,Platinum III - 27 LP,61.0,169 / 108
#35,ADC,Perkz,Platinum III - 26 LP,53.0,197 / 175
#36,Top,Malakkar,Platinum III - 26 LP,55.6,160 / 128
#37,Support,Xpecial,Platinum III - 25 LP,54.1,183 / 155
#38,Top,Kapp MenInBlack,Platinum III - 25 LP,49.2,118 / 122
#39,Support,Senzawa,Platinum III - 23 LP,49.1,169 / 175
#40,Top,xxaznpuppy32xx,Platinum III - 22 LP,57.8,212 / 155
#41,ADC,Uma Jan monkaS,Platinum III - 19 LP,51.8,172 / 160
#42,Support,Kapp Wampie,Platinum III - 16 LP,58.2,138 / 99
#43,Jungle,time,Platinum III - 15 LP,52.0,154 / 142
#44,Support,worsesupp,Platinum III - 14 LP,63.9,117 / 66
#45,ADC,Bacon,Platinum III - 12 LP,53.1,112 / 99
#46,Jungle,chef,Platinum III - 10 LP,52.1,186 / 171
#47,Mid,Torch,Platinum III - 9 LP,46.4,124 / 143
#48,Mid,IG Wh1t3zZ,Platinum III - 9 LP,50.4,204 / 201
#49,Top,Moleman,Platinum III - 8 LP,60.4,163 / 107
#50,Mid,BottleCaps,Platinum III - 7 LP,62.2,217 / 132
#51,Jungle,EG Voutocu,Platinum III - 7 LP,54.7,188 / 156
#52,ADC,Rio Sonogami,Platinum III - 5 LP,61.7,108 / 67
#53,ADC,TPOPIS,Platinum III - 4 LP,49.7,176 / 178
#54,Mid,Neekolul,Platinum III - 3 LP,49.4,168 / 172
#55,Top,RNG Letme,Platinum III - 3 LP,55.0,172 / 141
#56,Support,Kutcher,Platinum III - 2 LP,57.9,187 / 136
#57,Support,Anbeeld,Platinum III - 2 LP,45.7,154 / 183
#58,Jungle,worsejg,Platinum III - 1 LP,54.2,103 / 87
#59,Top,Discord bot,Platinum III - 0 LP,48.3,154 / 165
#60,Top,Ezio,Platinum IV - 99 LP,45.8,99 / 117
#61,Mid,Renners,Platinum IV - 99 LP,54.7,163 / 135
#62,ADC,Surviv0r,Platinum IV - 99 LP,46.8,123 / 140
#63,Top,thegamingzebra,Platinum IV - 99 LP,58.2,181 / 130
#64,Support,healslut,Platinum IV - 98 LP,52.4,185 / 168
#65,Support,iEnygma,Platinum IV - 97 LP,52.1,184 / 169
#66,ADC,Adc,Platinum IV - 97 LP,51.6,115 / 108
#67,Top,SS Flandre,Platinum IV - 97 LP,53.9,186 / 159
#68,ADC,B0n Ivern,Platinum IV - 96 LP,52.7,164 / 147
#69,Top,Salsa,Platinum IV - 96 LP,56.2,132 / 103
#70,Support,SuppBot,Platinum IV - 96 LP,50.6,123 / 120
#71,Jungle,GG Bekhali,Platinum IV - 96 LP,53.4,174 / 152
#72,Jungle,420,Platinum IV - 95 LP,50.0,155 / 155
#73,Top,give me life,Platinum IV - 95 LP,52.2,191 / 175
#74,Support,beaituul,Platinum IV - 93 LP,45.6,151 / 180
#75,Jungle,JUGKlNG,Platinum IV - 92 LP,51.4,150 / 142
#76,Jungle,Luv Email,Platinum IV - 92 LP,52.3,159 / 145
#77,Top,Leonidas,Platinum IV - 92 LP,49.3,167 / 172
#78,Support,Alder88,Platinum IV - 92 LP,56.2,68 / 53
#79,Mid,loselane_wingame,Platinum IV - 92 LP,56.3,108 / 84
#80,Mid,Arteros,Platinum IV - 92 LP,53.4,180 / 157
#81,Jungle,BelleDelphine,Platinum IV - 92 LP,47.6,166 / 183
#82,Support,Help,Platinum IV - 91 LP,48.3,182 / 195
#83,Support,Suppy,Platinum IV - 91 LP,48.1,155 / 167
#84,Support,Right leg,Platinum IV - 90 LP,48.7,129 / 136
#85,Support,JANNA PLAYER :3,Platinum IV - 90 LP,49.8,159 / 160
#86,Top,shuiwen,Platinum IV - 90 LP,48.3,145 / 155
#87,ADC,Pokimane,Platinum IV - 89 LP,53.3,185 / 162
#88,Support,FPX Crisp,Platinum IV - 89 LP,52.5,138 / 125
#89,Mid,NULL,Platinum IV - 88 LP,53.8,193 / 166
#90,Mid,Megumin,Platinum IV - 88 LP,49.6,170 / 173
#91,Jungle,token,Platinum IV - 86 LP,49.6,126 / 128
#92,ADC,PepeLaugh,Platinum IV - 85 LP,44.6,141 / 175
#93,ADC,Prodigy,Platinum IV - 85 LP,52.7,97 / 87
#94,Mid,Kapp Light,Platinum IV - 84 LP,43.6,102 / 132
#95,Mid,Ann Takamaki,Platinum IV - 84 LP,50.0,97 / 97
#96,Mid,Mid Lane Bot,Platinum IV - 84 LP,61.9,125 / 77
#97,Mid,mid gap,Platinum IV - 84 LP,50.5,159 / 156
#98,Support,Deontic,Platinum IV - 83 LP,48.6,170 / 180
#99,Support,Support and AFk,Platinum IV - 83 LP,50.9,117 / 113
#100,Mid,Jomeil,Platinum IV - 83 LP,52.6,183 / 165
