Rank number,Role,Player name,Rank,Win rate(%),Wins / losses
#1,ADC,lilcutiepaipee,Platinum I - 35 LP,58.7,135 / 95
#2,Jungle,Jinxnator,Platinum I - 21 LP,61.5,131 / 82
#3,Jungle,HLE Viper,Platinum I - 11 LP,65.3,143 / 76
#4,Top,Raleigh Obelisk,Platinum I - 0 LP,60.8,110 / 71
#5,Jungle,BelleDelphine,Platinum II - 84 LP,60.4,116 / 76
#6,Support,Aqua,Platinum II - 83 LP,60.7,119 / 77
#7,Top,Destructoid,Platinum II - 83 LP,60.8,141 / 91
#8,Mid,Frethborn,Platinum II - 71 LP,55.9,113 / 89
#9,Support,Kapp Wampie,Platinum II - 62 LP,67.5,85 / 41
#10,Top,TopBot,Platinum II - 59 LP,61.5,96 / 60
#11,Top,NoImpact,Platinum II - 58 LP,55.1,118 / 96
#12,Jungle,Poppey,Platinum II - 58 LP,55.2,149 / 121
#13,Support,Goku Black,Platinum II - 54 LP,59.9,100 / 67
#14,Jungle,EDG Clearlove7,Platinum II - 46 LP,53.9,123 / 105
#15,Top,R0ck,Platinum II - 43 LP,58.2,142 / 102
#16,Jungle,2,Platinum II - 39 LP,62.6,82 / 49
#17,Mid,Galio,Platinum II - 37 LP,59.9,133 / 89
#18,Mid,BottleCaps,Platinum II - 32 LP,59.8,116 / 78
#19,Mid,Matoro,Platinum II - 30 LP,57.7,112 / 82
#20,ADC,DoubleDouble,Platinum II - 30 LP,58.9,123 / 86
#21,Support,Tratz,Platinum II - 29 LP,60.1,116 / 77
#22,Jungle,Pyosik,Platinum II - 27 LP,63.8,146 / 83
#23,ADC,Ikaros,Platinum II - 26 LP,53.5,92 / 80
#24,Jungle,Superb,Platinum II - 25 LP,62.6,109 / 65
#25,Jungle,Bibi,Platinum II - 25 LP,60.5,115 / 75
#26,Top,DRX Deft,Platinum II - 24 LP,56.4,146 / 113
#27,Jungle,Better blame me,Platinum II - 23 LP,51.7,104 / 97
#28,Top,Always Splits,Platinum II - 22 LP,54.1,120 / 102
#29,Jungle,SirDigby123,Platinum II - 21 LP,55.0,111 / 91
#30,ADC,Kanashimi Clown,Platinum II - 17 LP,55.0,137 / 112
#31,Support,PepeLove,Platinum II - 14 LP,52.9,129 / 115
#32,Jungle,PepeHands,Platinum II - 11 LP,49.4,123 / 126
#33,Support,FPX Crisp,Platinum II - 11 LP,57.2,127 / 95
#34,Jungle,JglBot,Platinum II - 10 LP,56.2,132 / 103
#35,ADC,LastBreath,Platinum II - 10 LP,56.7,106 / 81
#36,Top,Darkness,Platinum II - 9 LP,50.9,138 / 133
#37,Support,IG Southwind,Platinum II - 6 LP,53.2,126 / 111
#38,Top,Agent Boris,Platinum II - 5 LP,55.8,106 / 84
#39,Jungle,TarzanFaker,Platinum II - 4 LP,56.5,108 / 83
#40,Support,Not Assigned,Platinum II - 2 LP,53.7,88 / 76
#41,ADC,CoolBroDenis,Platinum II - 1 LP,52.4,118 / 107
#42,Jungle,Kazuma,Platinum III - 98 LP,54.4,137 / 115
#43,Jungle,Blaze,Platinum III - 96 LP,50.5,99 / 97
#44,Support,Biofrost,Platinum III - 93 LP,53.3,121 / 106
#45,Top,Amouranth,Platinum III - 89 LP,51.2,131 / 125
#46,Jungle,Invictis,Platinum III - 89 LP,47.2,103 / 115
#47,Top,Titan,Platinum III - 85 LP,56.2,91 / 71
#48,Jungle,Exemplar,Platinum III - 80 LP,60.3,105 / 69
#49,Jungle,Exfiltrate,Platinum III - 80 LP,57.4,97 / 72
#50,ADC,SOFTyINT,Platinum III - 80 LP,57.8,111 / 81
#51,Mid,Mantra,Platinum III - 79 LP,52.2,117 / 107
#52,Support,Import Slot 1,Platinum III - 79 LP,52.3,101 / 92
#53,ADC,B0n Ivern,Platinum III - 77 LP,56.7,110 / 84
#54,ADC,Bait,Platinum III - 76 LP,54.7,128 / 106
#55,Mid,Flame,Platinum III - 75 LP,56.6,128 / 98
#56,ADC,Sylmarae,Platinum III - 72 LP,50.2,101 / 100
#57,Mid,Lucius ,Platinum III - 70 LP,56.1,110 / 86
#58,Support,Trick789,Platinum III - 68 LP,52.6,101 / 91
#59,Mid,IG Wh1t3zZ,Platinum III - 67 LP,53.7,123 / 106
#60,Support,Pawko ,Platinum III - 67 LP,55.9,104 / 82
#61,Support,Keria,Platinum III - 66 LP,56.3,143 / 111
#62,ADC,Left leg,Platinum III - 64 LP,53.7,102 / 88
#63,Support,SKT Teddy,Platinum III - 64 LP,56.1,133 / 104
#64,Support,johnnyboy445,Platinum III - 63 LP,54.0,94 / 80
#65,Jungle,Hidden,Platinum III - 63 LP,60.9,117 / 75
#66,Mid,Mid,Platinum III - 63 LP,56.6,107 / 82
#67,ADC,Riverr,Platinum III - 63 LP,56.6,146 / 112
#68,Mid,Ne0,Platinum III - 61 LP,52.7,117 / 105
#69,Mid,A scary person,Platinum III - 61 LP,57.9,117 / 85
#70,ADC,Vahvel,Platinum III - 60 LP,57.5,111 / 82
#71,Mid,Naruto,Platinum III - 59 LP,57.5,111 / 82
#72,Jungle,Dontgank,Platinum III - 59 LP,47.4,110 / 122
#73,ADC,A bootiful perso,Platinum III - 57 LP,49.5,100 / 102
#74,Support,TheRelic4411,Platinum III - 57 LP,56.0,112 / 88
#75,Top,xX5W4GM4573RXx,Platinum III - 57 LP,53.4,110 / 96
#76,ADC,fulltag,Platinum III - 56 LP,53.3,90 / 79
#77,Mid,RunningDown,Platinum III - 56 LP,49.6,117 / 119
#78,Mid,ShowStopper,Platinum III - 56 LP,51.1,115 / 110
#79,Jungle,Cault,Platinum III - 56 LP,62.4,68 / 41
#80,Support,KuroKy,Platinum III - 54 LP,50.2,119 / 118
#81,Top,xxaznpuppy32xx,Platinum III - 54 LP,58.0,148 / 107
#82,Top,circles,Platinum III - 53 LP,53.4,95 / 83
#83,Mid,WoO0oW,Platinum III - 52 LP,57.5,104 / 77
#84,Mid,kittyperry,Platinum III - 51 LP,49.6,130 / 132
#85,ADC,Perkz,Platinum III - 51 LP,52.7,109 / 98
#86,ADC,Vortex_c4,Platinum III - 50 LP,55.6,120 / 96
#87,Support,Mastermind,Platinum III - 49 LP,51.7,135 / 126
#88,ADC,cryhard,Platinum III - 48 LP,56.0,94 / 74
#89,Support,Soundboard,Platinum III - 48 LP,51.3,102 / 97
#90,Support,E-girl,Platinum III - 48 LP,48.0,120 / 130
#91,Support,Support and AFk,Platinum III - 47 LP,52.7,108 / 97
#92,Jungle,Kong,Platinum III - 47 LP,54.6,100 / 83
#93,Top,Copyright,Platinum III - 44 LP,51.8,113 / 105
#94,Mid,whygar player,Platinum III - 43 LP,52.4,88 / 80
#95,Mid,18,Platinum III - 41 LP,51.6,94 / 88
#96,Support,insanity,Platinum III - 41 LP,50.2,101 / 100
#97,Top,Jabron,Platinum III - 41 LP,56.7,123 / 94
#98,Top,Ben Dover,Platinum III - 40 LP,54.7,110 / 91
#99,Jungle,tarzaned,Platinum III - 40 LP,55.6,150 / 120
#100,ADC,Doublelift,Platinum III - 39 LP,49.8,120 / 121
