Rank number,Role,Player name,Rank,Win rate(%),Wins / losses
#1,Jungle,Test2,Diamond II - 10 LP,70.5,31 / 13
#2,ADC,T1 T1,Diamond III - 0 LP,59.7,40 / 27
#3,Top,Raleigh Obelisk,Diamond IV - 87 LP,66.7,38 / 19
#4,Mid,RunningDown,Diamond IV - 51 LP,60.4,32 / 21
#5,Support,Kapp Wampie,Diamond IV - 49 LP,57.1,32 / 24
#6,Jungle,Zevton,Diamond IV - 38 LP,70.7,29 / 12
#7,Top,Top,Diamond IV - 29 LP,65.6,42 / 22
#8,Top,Pepega,Diamond IV - 21 LP,67.4,29 / 14
#9,Support,Soundboard,Diamond IV - 9 LP,58.5,48 / 34
#10,Jungle,Superb,Diamond IV - 4 LP,72.7,32 / 12
#11,Mid,Men in I3lack,Diamond IV - 0 LP,66.7,42 / 21
#12,Support,Aqua,Platinum I - 98 LP,53.3,24 / 21
#13,Jungle,Bibi,Platinum I - 96 LP,61.4,27 / 17
#14,Support,SuppBot,Platinum I - 95 LP,68.0,34 / 16
#15,Jungle,HLE Viper,Platinum I - 93 LP,64.7,22 / 12
#16,Support,Tiriana,Platinum I - 82 LP,56.7,38 / 29
#17,Support,Senzawa,Platinum I - 81 LP,59.1,26 / 18
#18,Support,Hisher,Platinum I - 78 LP,57.4,31 / 23
#19,Top,xxaznpuppy32xx,Platinum I - 77 LP,60.3,41 / 27
#20,ADC,4,Platinum I - 76 LP,58.1,36 / 26
#21,Mid,Choky,Platinum I - 74 LP,60.0,36 / 24
#22,Mid,Jensen,Platinum I - 74 LP,58.2,32 / 23
#23,Mid,Phantom,Platinum I - 72 LP,67.1,47 / 23
#24,Top,DoinB,Platinum I - 70 LP,63.1,41 / 24
#25,ADC,Thongchai,Platinum I - 65 LP,60.5,52 / 34
#26,Jungle,Jinxnator,Platinum I - 60 LP,57.1,28 / 21
#27,Top,NoImpact,Platinum I - 54 LP,48.9,22 / 23
#28,Mid,Galio,Platinum I - 50 LP,60.0,36 / 24
#29,Support,Mastermind,Platinum I - 46 LP,59.7,46 / 31
#30,Top,thegamingzebra,Platinum I - 45 LP,61.4,35 / 22
#31,Top,Amouranth,Platinum I - 39 LP,61.3,38 / 24
#32,Jungle,Pyosik,Platinum I - 38 LP,61.2,30 / 19
#33,Mid,PepeCool,Platinum I - 36 LP,56.5,35 / 27
#34,Jungle,FilthyBrandMain,Platinum I - 31 LP,63.2,48 / 28
#35,Jungle,YokoOno,Platinum I - 30 LP,60.6,40 / 26
#36,Jungle,funnel is dead,Platinum I - 30 LP,52.7,39 / 35
#37,Jungle,Better blame me,Platinum I - 29 LP,47.6,20 / 22
#38,Mid,WoO0oW,Platinum I - 27 LP,66.2,51 / 26
#39,Top,Funn1k,Platinum I - 26 LP,54.8,40 / 33
#40,Top,Kritz,Platinum I - 20 LP,56.5,39 / 30
#41,Jungle,JglBot,Platinum I - 18 LP,59.7,40 / 27
#42,Jungle,MexicanPidgeon,Platinum I - 16 LP,63.3,31 / 18
#43,Mid,Qiyanized 2tp,Platinum I - 11 LP,59.7,37 / 25
#44,Jungle,woope,Platinum I - 10 LP,56.3,36 / 28
#45,Mid,Frethborn,Platinum I - 6 LP,58.0,51 / 37
#46,Top,Randomsmeker1234,Platinum I - 6 LP,64.8,46 / 25
#47,ADC,Rio Sonogami,Platinum I - 2 LP,67.9,38 / 18
#48,ADC,Alec,Platinum I - 0 LP,57.4,39 / 29
#49,Support,KuroKy,Platinum I - 0 LP,62.8,49 / 29
#50,ADC,Ikaros,Platinum II - 99 LP,61.1,44 / 28
#51,ADC,Sylmarae,Platinum II - 97 LP,57.7,45 / 33
#52,Jungle,Exfiltrate,Platinum II - 92 LP,56.7,34 / 26
#53,Top,Test1,Platinum II - 92 LP,60.5,46 / 30
#54,Support,Jodini the GREAT,Platinum II - 91 LP,58.5,38 / 27
#55,Top,RNG Letme,Platinum II - 90 LP,56.7,34 / 26
#56,Top,xX5W4GM4573RXx,Platinum II - 89 LP,62.7,32 / 19
#57,Support,flaree,Platinum II - 87 LP,57.7,41 / 30
#58,ADC,XBOCT,Platinum II - 86 LP,55.1,43 / 35
#59,Jungle,Poppey,Platinum II - 82 LP,65.2,45 / 24
#60,Top,Red,Platinum II - 81 LP,59.4,41 / 28
#61,Top,Destructoid,Platinum II - 80 LP,53.7,22 / 19
#62,Support,Straitéis,Platinum II - 78 LP,61.7,37 / 23
#63,Support,LuluOTP,Platinum II - 77 LP,59.6,31 / 21
#64,Support,Deontic,Platinum II - 76 LP,58.4,45 / 32
#65,Support,Kutcher,Platinum II - 74 LP,60.0,30 / 20
#66,ADC,Krono,Platinum II - 73 LP,58.3,35 / 25
#67,Support,Cntrl,Platinum II - 71 LP,58.8,30 / 21
#68,Top,d4mocl3s,Platinum II - 70 LP,67.2,39 / 19
#69,Mid,Salt,Platinum II - 69 LP,59.2,42 / 29
#70,Support,FPX Crisp,Platinum II - 69 LP,54.1,33 / 28
#71,Jungle,EG Voutocu,Platinum II - 68 LP,50.0,27 / 27
#72,Top,Washed up pro,Platinum II - 68 LP,56.5,35 / 27
#73,ADC,RNG Uzi,Platinum II - 67 LP,68.1,32 / 15
#74,ADC,DoubleDouble,Platinum II - 67 LP,50.0,27 / 27
#75,Top,R0ck,Platinum II - 66 LP,61.0,36 / 23
#76,ADC,Test4,Platinum II - 66 LP,59.8,52 / 35
#77,Support,worsesupp,Platinum II - 64 LP,60.0,39 / 26
#78,ADC,Pokimane,Platinum II - 64 LP,56.6,47 / 36
#79,ADC,Kali,Platinum II - 62 LP,66.1,37 / 19
#80,Mid,MidBot,Platinum II - 62 LP,60.3,35 / 23
#81,Mid,violator,Platinum II - 62 LP,49.3,36 / 37
#82,Mid,Midlaner,Platinum II - 62 LP,68.9,31 / 14
#83,ADC,CoolBroDenis,Platinum II - 61 LP,61.3,46 / 29
#84,Jungle,Hidden,Platinum II - 58 LP,53.0,35 / 31
#85,Jungle,JMENDOZA,Platinum II - 58 LP,60.0,33 / 22
#86,ADC,PvM,Platinum II - 58 LP,54.4,31 / 26
#87,Mid,Mid Lane Bot,Platinum II - 58 LP,52.3,34 / 31
#88,Mid,BottleCaps,Platinum II - 58 LP,50.0,32 / 32
#89,Top,Ben Dover,Platinum II - 58 LP,60.0,36 / 24
#90,Top,Aryze,Platinum II - 56 LP,58.3,42 / 30
#91,Mid,midster,Platinum II - 52 LP,63.2,36 / 21
#92,Mid,Neekolul,Platinum II - 51 LP,61.5,40 / 25
#93,Top,1adrianaries1,Platinum II - 50 LP,62.1,41 / 25
#94,Jungle,Kazuma,Platinum II - 49 LP,52.8,38 / 34
#95,Top,MJay,Platinum II - 47 LP,66.0,33 / 17
#96,Mid,100 Soligo,Platinum II - 47 LP,50.8,31 / 30
#97,ADC,JlNX,Platinum II - 45 LP,58.2,39 / 28
#98,Jungle,TDA Plankuaa,Platinum II - 45 LP,60.9,39 / 25
#99,Jungle,Sumire Yoshizawa,Platinum II - 45 LP,65.1,28 / 15
#100,Top,Always Splits,Platinum II - 45 LP,58.6,34 / 24
