Rank number,Role,Player name,Rank,Win rate(%),Wins / losses
#1,Top,Raleigh Obelisk,Platinum I - 49 LP,58.7,196 / 138
#2,Jungle,Wrath,Platinum II - 88 LP,57.8,155 / 113
#3,Top,Top,Platinum II - 76 LP,57.6,147 / 108
#4,Jungle,TarzanFaker,Platinum II - 74 LP,54.9,200 / 164
#5,Jungle,Zevton,Platinum II - 48 LP,52.1,189 / 174
#6,Support,d0gg0,Platinum II - 28 LP,53.2,181 / 159
#7,Top,TurboThrow,Platinum II - 17 LP,57.5,96 / 71
#8,ADC,sola,Platinum II - 3 LP,54.6,177 / 147
#9,Jungle,Poppey,Platinum III - 91 LP,56.2,163 / 127
#10,Support,Xpecial,Platinum III - 87 LP,55.0,191 / 156
#11,Top,Randomsmeker1234,Platinum III - 78 LP,56.6,201 / 154
#12,Jungle,Jinxnator,Platinum III - 77 LP,63.2,146 / 85
#13,ADC,PvM,Platinum III - 76 LP,56.2,186 / 145
#14,Support,Aqua,Platinum III - 75 LP,56.0,197 / 155
#15,Jungle,Never Ganks,Platinum III - 74 LP,58.3,193 / 138
#16,Top,SS Flandre,Platinum III - 73 LP,54.7,193 / 160
#17,ADC,cryhard,Platinum III - 69 LP,51.0,177 / 170
#18,Top,Smug Egirl Owo,Platinum III - 66 LP,56.1,198 / 155
#19,Support,God damn i doode,Platinum III - 66 LP,52.6,170 / 153
#20,ADC,TES Jackeylove,Platinum III - 63 LP,58.6,171 / 121
#21,ADC,T1 T1,Platinum III - 61 LP,55.6,199 / 159
#22,Top,xxaznpuppy32xx,Platinum III - 57 LP,58.1,219 / 158
#23,Jungle,110110010011,Platinum III - 52 LP,55.7,165 / 131
#24,Support,Tiriana,Platinum III - 50 LP,54.5,104 / 87
#25,Support,225,Platinum III - 49 LP,52.7,183 / 164
#26,Mid,Neekolul,Platinum III - 47 LP,50.3,175 / 173
#27,Jungle,ibims1long,Platinum III - 47 LP,56.1,152 / 119
#28,Jungle,Exfiltrate,Platinum III - 43 LP,50.3,181 / 179
#29,Jungle,time,Platinum III - 42 LP,52.5,157 / 142
#30,Support,Plays Rengar Sup,Platinum III - 39 LP,57.4,190 / 141
#31,Jungle,Sparrow,Platinum III - 36 LP,57.5,200 / 148
#32,Top,Broken Blade,Platinum III - 35 LP,54.2,181 / 153
#33,Support,Tratz,Platinum III - 34 LP,49.2,164 / 169
#34,Support,Straitéis,Platinum III - 30 LP,60.9,173 / 111
#35,Support,Deontic,Platinum III - 29 LP,49.3,175 / 180
#36,Top,MJay,Platinum III - 26 LP,56.5,199 / 153
#37,Top,thegamingzebra,Platinum III - 26 LP,58.6,184 / 130
#38,Mid,Mid Lane Bot,Platinum III - 23 LP,62.7,131 / 78
#39,Top,Malakkar,Platinum III - 23 LP,55.5,161 / 129
#40,Top,Ezio,Platinum III - 23 LP,46.4,104 / 120
#41,Jungle,Luv Email,Platinum III - 22 LP,52.9,164 / 146
#42,ADC,PepeLaugh,Platinum III - 21 LP,45.3,145 / 175
#43,Support,Senzawa,Platinum III - 20 LP,49.1,171 / 177
#44,Top,Copyright,Platinum III - 19 LP,57.3,201 / 150
#45,Jungle,EnzoLeCoco,Platinum III - 18 LP,51.6,195 / 183
#46,Support,Josuke Higashika,Platinum III - 17 LP,51.9,126 / 117
#47,Jungle,EG Voutocu,Platinum III - 16 LP,54.8,189 / 156
#48,Mid,Renners,Platinum III - 16 LP,55.0,165 / 135
#49,Mid,Seirilyvia,Platinum III - 15 LP,51.5,106 / 100
#50,ADC,Rio Sonogami,Platinum III - 12 LP,61.8,110 / 68
#51,Jungle,Superb,Platinum III - 11 LP,61.2,161 / 102
#52,Support,beaituul,Platinum III - 11 LP,45.9,153 / 180
#53,Jungle,420,Platinum III - 10 LP,50.3,158 / 156
#54,Top,Kapp MenInBlack,Platinum III - 10 LP,49.0,119 / 124
#55,Mid,loselane_wingame,Platinum III - 10 LP,56.8,113 / 86
#56,Jungle,worsejg,Platinum III - 9 LP,54.4,105 / 88
#57,Top,MrBochka,Platinum III - 9 LP,56.7,198 / 151
#58,Mid,Byumbert,Platinum III - 9 LP,48.6,193 / 204
#59,Support,Kutcher,Platinum III - 6 LP,58.0,189 / 137
#60,Top,Leonidas,Platinum III - 6 LP,49.6,170 / 173
#61,Jungle,Discombobulation,Platinum III - 5 LP,48.7,170 / 179
#62,Top,shuiwen,Platinum III - 4 LP,48.7,149 / 157
#63,Jungle,chef,Platinum III - 4 LP,52.1,188 / 173
#64,Support,Help,Platinum III - 4 LP,48.6,187 / 198
#65,Support,Hisher,Platinum III - 3 LP,57.2,195 / 146
#66,ADC,Klojjr,Platinum III - 3 LP,52.0,157 / 145
#67,Mid,Slimsnoker,Platinum III - 2 LP,48.6,134 / 142
#68,Mid,[REDACTED],Platinum III - 1 LP,56.2,82 / 64
#69,Mid,Torch,Platinum III - 0 LP,46.5,126 / 145
#70,ADC,B0n Ivern,Platinum IV - 99 LP,52.9,166 / 148
#71,Jungle,tarzaned,Platinum IV - 99 LP,49.6,179 / 182
#72,Mid,IG Wh1t3zZ,Platinum IV - 98 LP,50.4,207 / 204
#73,Mid,Megumin,Platinum IV - 95 LP,49.7,172 / 174
#74,Mid,Ann Takamaki,Platinum IV - 95 LP,50.5,103 / 101
#75,Mid,Phantom,Platinum IV - 95 LP,55.5,147 / 118
#76,Jungle,GG Bekhali,Platinum IV - 95 LP,53.3,177 / 155
#77,Support,healslut,Platinum IV - 93 LP,52.4,187 / 170
#78,Support,Kapp Wampie,Platinum IV - 93 LP,57.9,140 / 102
#79,ADC,Uma Jan monkaS,Platinum IV - 93 LP,51.6,178 / 167
#80,ADC,RNG Uzi,Platinum IV - 92 LP,51.8,171 / 159
#81,Top,Titan,Platinum IV - 92 LP,52.9,147 / 131
#82,ADC,Surviv0r,Platinum IV - 92 LP,46.8,125 / 142
#83,Top,Punchaubuns,Platinum IV - 91 LP,57.8,67 / 49
#84,Support,worsesupp,Platinum IV - 90 LP,63.2,120 / 70
#85,Support,Alder88,Platinum IV - 90 LP,56.2,73 / 57
#86,Mid,Kapp Light,Platinum IV - 90 LP,43.9,105 / 134
#87,ADC,TPOPIS,Platinum IV - 90 LP,49.6,177 / 180
#88,Top,Moleman,Platinum IV - 90 LP,60.0,165 / 110
#89,Mid,Men in I3lack,Platinum IV - 89 LP,58.7,135 / 95
#90,Jungle,Jeroen,Platinum IV - 88 LP,51.9,120 / 111
#91,Top,NoImpact,Platinum IV - 88 LP,46.2,134 / 156
#92,Mid,Arteros,Platinum IV - 88 LP,53.4,182 / 159
#93,Support,Anbeeld,Platinum IV - 87 LP,45.6,155 / 185
#94,ADC,Kudor88888882141,Platinum IV - 86 LP,50.7,189 / 184
#95,Top,SUPER TOP,Platinum IV - 86 LP,54.0,217 / 185
#96,Mid,Anomaly ,Platinum IV - 85 LP,54.5,200 / 167
#97,ADC,Kogglemoggle,Platinum IV - 84 LP,54.0,198 / 169
#98,Mid,PepeCool,Platinum IV - 82 LP,46.6,153 / 175
#99,ADC,Japan,Platinum IV - 82 LP,52.2,168 / 154
#100,Mid,Luciana,Platinum IV - 82 LP,50.3,172 / 170
