Rank number,Role,Player name,Rank,Win rate(%),Wins / losses
#1,Support,Aqua,Platinum I - 73 LP,62.1,146 / 89
#2,Jungle,Test2,Platinum I - 62 LP,61.2,156 / 99
#3,Jungle,Better blame me,Platinum I - 47 LP,53.9,139 / 119
#4,Top,NoImpact,Platinum I - 40 LP,56.5,144 / 111
#5,Jungle,Jinxnator,Platinum I - 35 LP,61.8,149 / 92
#6,Top,Pepega,Platinum I - 29 LP,53.1,178 / 157
#7,Jungle,BelleDelphine,Platinum I - 19 LP,60.3,144 / 95
#8,ADC,TPOPIS,Platinum I - 17 LP,58.6,174 / 123
#9,ADC,Rikish,Platinum I - 15 LP,54.3,145 / 122
#10,ADC,Vahvel,Platinum I - 13 LP,59.9,151 / 101
#11,Support,Senzawa,Platinum I - 10 LP,51.1,165 / 158
#12,Jungle,HLE Viper,Platinum I - 9 LP,64.0,167 / 94
#13,Mid,BottleCaps,Platinum I - 8 LP,60.6,151 / 98
#14,Jungle,Pyosik,Platinum I - 6 LP,63.9,179 / 101
#15,Jungle,Zevton,Platinum I - 5 LP,60.7,164 / 106
#16,Jungle,SirDigby123,Platinum II - 90 LP,56.8,142 / 108
#17,Jungle,EG Voutocu,Platinum II - 89 LP,58.0,148 / 107
#18,Mid,Frimmy23,Platinum II - 86 LP,52.6,143 / 129
#19,ADC,DoubleDouble,Platinum II - 85 LP,59.0,147 / 102
#20,Support,Kapp Wampie,Platinum II - 83 LP,63.4,118 / 68
#21,Support,FPX Crisp,Platinum II - 71 LP,58.0,159 / 115
#22,Support,SuppBot,Platinum II - 68 LP,57.4,156 / 116
#23,ADC,Pokimane,Platinum II - 67 LP,58.4,170 / 121
#24,Top,Raleigh Obelisk,Platinum II - 62 LP,59.4,130 / 89
#25,Mid,Choky,Platinum II - 59 LP,53.1,163 / 144
#26,Jungle,woope,Platinum II - 57 LP,51.0,151 / 145
#27,Top,Funn1k,Platinum II - 57 LP,51.7,164 / 153
#28,ADC,4,Platinum II - 56 LP,61.3,133 / 84
#29,Mid,A scary person,Platinum II - 56 LP,58.9,155 / 108
#30,Jungle,Bibi,Platinum II - 56 LP,60.3,140 / 92
#31,ADC,T1 T1,Platinum II - 54 LP,54.3,190 / 160
#32,ADC,Wormy,Platinum II - 53 LP,53.5,159 / 138
#33,Support,Keria,Platinum II - 49 LP,57.8,181 / 132
#34,Support,TheRelic4411,Platinum II - 48 LP,57.9,143 / 104
#35,Jungle,Superb,Platinum II - 42 LP,61.6,141 / 88
#36,Mid,Galio,Platinum II - 42 LP,59.2,171 / 118
#37,Top,thegamingzebra,Platinum II - 42 LP,60.1,146 / 97
#38,Top,Destructoid,Platinum II - 40 LP,59.3,166 / 114
#39,Top,DRX Deft,Platinum II - 39 LP,57.0,180 / 136
#40,Mid,violator,Platinum II - 38 LP,55.7,161 / 128
#41,Mid,Matoro,Platinum II - 37 LP,57.7,131 / 96
#42,Top,RNG Letme,Platinum II - 35 LP,53.3,163 / 143
#43,Mid,whygar player,Platinum II - 31 LP,55.9,138 / 109
#44,Jungle,funnel is dead,Platinum II - 31 LP,57.6,171 / 126
#45,ADC,PvM,Platinum II - 29 LP,54.6,147 / 122
#46,Support,Kutcher,Platinum II - 29 LP,55.5,152 / 122
#47,Support,Hisher,Platinum II - 28 LP,57.5,150 / 111
#48,Top,SmackyB,Platinum II - 26 LP,51.9,163 / 151
#49,Top,xxaznpuppy32xx,Platinum II - 25 LP,58.3,201 / 144
#50,Top,Memeguel,Platinum II - 24 LP,54.9,162 / 133
#51,Jungle,Abe Kloak,Platinum II - 24 LP,51.2,131 / 125
#52,Jungle,420~truaznkity,Platinum II - 24 LP,50.3,178 / 176
#53,Jungle,Hidden,Platinum II - 20 LP,60.4,160 / 105
#54,ADC,fulltag,Platinum II - 16 LP,54.4,142 / 119
#55,Jungle,Matthew,Platinum II - 16 LP,60.2,157 / 104
#56,Support,Deontic,Platinum II - 16 LP,57.9,168 / 122
#57,Mid,Mid Lane Bot,Platinum II - 15 LP,59.6,140 / 95
#58,ADC,lilcutiepaipee,Platinum II - 13 LP,57.5,158 / 117
#59,Mid,Frethborn,Platinum II - 11 LP,55.4,150 / 121
#60,ADC,Rio Sonogami,Platinum II - 9 LP,57.0,151 / 114
#61,ADC,XBOCT,Platinum II - 6 LP,52.5,187 / 169
#62,Jungle,JglBot,Platinum II - 5 LP,56.0,167 / 131
#63,Support,Josuke Higashika,Platinum III - 99 LP,51.8,142 / 132
#64,Support,Test5,Platinum III - 99 LP,53.4,134 / 117
#65,Mid,RunningDown,Platinum III - 99 LP,52.0,157 / 145
#66,Support,Fuglen,Platinum III - 99 LP,55.6,145 / 116
#67,Support,Goku Black,Platinum III - 98 LP,58.2,128 / 92
#68,Jungle,chef,Platinum III - 98 LP,57.1,165 / 124
#69,Mid,Qiyanized 2tp,Platinum III - 96 LP,47.6,127 / 140
#70,Support,Supporter,Platinum III - 93 LP,53.8,129 / 111
#71,Mid,TES knight9,Platinum III - 93 LP,54.1,157 / 133
#72,Jungle,Sparrow,Platinum III - 93 LP,54.4,174 / 146
#73,Mid,Hjornet 7,Platinum III - 91 LP,55.0,142 / 116
#74,Top,xX5W4GM4573RXx,Platinum III - 90 LP,54.9,147 / 121
#75,Support,PepeLove,Platinum III - 89 LP,53.4,163 / 142
#76,Mid,PepeCool,Platinum III - 88 LP,51.6,163 / 153
#77,Top,Top,Platinum III - 88 LP,56.3,144 / 112
#78,Mid,NULL,Platinum III - 87 LP,55.0,138 / 113
#79,Jungle,Exfiltrate,Platinum III - 87 LP,57.5,154 / 114
#80,Top,Red,Platinum III - 86 LP,49.0,119 / 124
#81,Jungle,2,Platinum III - 85 LP,59.8,128 / 86
#82,Top, IG TheShy,Platinum III - 85 LP,53.9,167 / 143
#83,Top,Copyright,Platinum III - 83 LP,53.4,155 / 135
#84,Mid,100 Soligo,Platinum III - 83 LP,51.2,168 / 160
#85,Top,Aryze,Platinum III - 83 LP,55.5,156 / 125
#86,Top,Ben Dover,Platinum III - 81 LP,55.0,153 / 125
#87,Mid,MidBot,Platinum III - 81 LP,54.4,184 / 154
#88,ADC,RNG Uzi,Platinum III - 80 LP,57.6,167 / 123
#89,Support,Tiriana,Platinum III - 80 LP,51.5,155 / 146
#90,Support,God damn i doode,Platinum III - 79 LP,56.1,147 / 115
#91,Support,ye,Platinum III - 78 LP,51.9,151 / 140
#92,Top,allee,Platinum III - 77 LP,56.3,144 / 112
#93,Support,Soundboard,Platinum III - 76 LP,52.8,140 / 125
#94,Jungle,tarzaned,Platinum III - 75 LP,56.6,188 / 144
#95,ADC,Ling,Platinum III - 74 LP,49.3,113 / 116
#96,ADC,Prodigy,Platinum III - 73 LP,54.1,139 / 118
#97,Support,Alder88,Platinum III - 73 LP,51.0,131 / 126
#98,ADC,Kongen,Platinum III - 72 LP,49.2,125 / 129
#99,Mid,TDA D14BL0,Platinum III - 71 LP,50.9,139 / 134
#100,Top,Always Splits,Platinum III - 69 LP,54.0,154 / 131
