Rank number,Role,Player name,Rank,Win rate(%),Wins / losses
#1,Jungle,Test2,Diamond II - 77 LP,66.2,47 / 24
#2,Support,Kapp Wampie,Diamond II - 40 LP,63.8,67 / 38
#3,Top,Raleigh Obelisk,Diamond II - 2 LP,63.6,68 / 39
#4,Jungle,HLE Viper,Diamond III - 98 LP,70.0,56 / 24
#5,Top,xxaznpuppy32xx,Diamond III - 89 LP,63.6,77 / 44
#6,Support,Aqua,Diamond III - 86 LP,59.6,62 / 42
#7,Jungle,Zevton,Diamond III - 68 LP,65.2,58 / 31
#8,Mid,WoO0oW,Diamond III - 67 LP,65.4,100 / 53
#9,ADC,T1 T1,Diamond III - 59 LP,56.9,70 / 53
#10,Top,Top,Diamond III - 46 LP,63.9,76 / 43
#11,Support,Soundboard,Diamond III - 41 LP,58.5,83 / 59
#12,Top,NoImpact,Diamond III - 41 LP,58.9,53 / 37
#13,Jungle,Jinxnator,Diamond III - 39 LP,60.4,64 / 42
#14,Mid,PepeCool,Diamond III - 29 LP,57.2,91 / 68
#15,Jungle,Pyosik,Diamond III - 25 LP,66.0,64 / 33
#16,Jungle,Bibi,Diamond III - 15 LP,63.3,57 / 33
#17,Top,Washed up pro,Diamond III - 12 LP,64.0,71 / 40
#18,Jungle,Poppey,Diamond III - 5 LP,65.2,90 / 48
#19,ADC,DoubleDouble,Diamond III - 2 LP,58.6,75 / 53
#20,ADC,CoolBroDenis,Diamond IV - 82 LP,62.7,89 / 53
#21,ADC,Thongchai,Diamond IV - 78 LP,58.2,99 / 71
#22,ADC,4,Diamond IV - 75 LP,57.2,87 / 65
#23,Top,Ben Dover,Diamond IV - 74 LP,62.0,85 / 52
#24,Support,Hisher,Diamond IV - 71 LP,55.8,72 / 57
#25,Jungle,Superb,Diamond IV - 71 LP,67.1,57 / 28
#26,Mid,Hjornet 7,Diamond IV - 61 LP,60.4,93 / 61
#27,Support,Duckling,Diamond IV - 60 LP,62.9,90 / 53
#28,Top,Test1,Diamond IV - 51 LP,58.6,85 / 60
#29,ADC,ADCarry,Diamond IV - 47 LP,61.9,73 / 45
#30,Support,Deontic,Diamond IV - 41 LP,59.0,92 / 64
#31,Top,Funn1k,Diamond IV - 40 LP,55.5,81 / 65
