Rank number,Role,Player name,Rank,Win rate(%),Wins / losses
#1,Top,Raleigh Obelisk,Platinum I - 74 LP,59.0,200 / 139
#2,Support,FPX Crisp,Platinum I - 5 LP,55.5,176 / 141
#3,Top,Top,Platinum II - 98 LP,58.0,159 / 115
#4,Top,SS Flandre,Platinum II - 88 LP,56.0,225 / 177
#5,Support,RNG Ming,Platinum II - 70 LP,57.5,233 / 172
#6,ADC,Pokimane,Platinum II - 65 LP,55.6,234 / 187
#7,Jungle,Wrath,Platinum II - 59 LP,58.0,177 / 128
#8,Mid,Renners,Platinum II - 50 LP,57.2,202 / 151
#9,Mid,RunningDown,Platinum II - 50 LP,49.6,196 / 199
#10,Jungle,Zevton,Platinum II - 48 LP,52.6,212 / 191
#11,Top,xxaznpuppy32xx,Platinum II - 34 LP,58.5,257 / 182
#12,Support,Hisher,Platinum II - 28 LP,58.6,228 / 161
#13,Jungle,Bibi,Platinum II - 22 LP,62.2,112 / 68
#14,Support,Xpecial,Platinum II - 19 LP,55.6,223 / 178
#15,Jungle,chef,Platinum II - 7 LP,53.9,222 / 190
#16,Support,Help,Platinum II - 5 LP,50.4,231 / 227
#17,Mid,Slimsnoker,Platinum II - 3 LP,51.0,177 / 170
#18,Jungle,420~truaznkity,Platinum III - 99 LP,54.5,240 / 200
#19,Jungle,tarzaned,Platinum III - 96 LP,51.4,218 / 206
#20,ADC,xXxVaYnEmAiNxXx,Platinum III - 94 LP,54.7,210 / 174
#21,Jungle,token,Platinum III - 94 LP,52.6,164 / 148
#22,Top,Broken Blade,Platinum III - 92 LP,55.7,225 / 179
#23,Jungle,Superb,Platinum III - 91 LP,61.6,196 / 122
#24,Jungle,Poppey,Platinum III - 89 LP,56.5,201 / 155
#25,Jungle,Kai,Platinum III - 88 LP,50.6,198 / 193
#26,ADC,RightLick2Win,Platinum III - 87 LP,50.6,199 / 194
#27,Jungle,Sparrow,Platinum III - 86 LP,57.9,223 / 162
