Rank number,Role,Player name,Rank,Win rate(%),Wins / losses
#1,Jungle,BelleDelphine,Platinum I - 60 LP,62.2,107 / 65
#2,Support,Kapp Wampie,Platinum I - 54 LP,72.9,70 / 26
#3,Support,Aqua,Platinum I - 21 LP,61.7,100 / 62
#4,Top,TopBot,Platinum II - 98 LP,63.6,82 / 47
#5,Jungle,JMENDOZA,Platinum II - 81 LP,55.6,99 / 79
#6,ADC,DoubleDouble,Platinum II - 70 LP,60.2,97 / 64
#7,Top,xxaznpuppy32xx,Platinum II - 61 LP,59.4,117 / 80
#8,Jungle,Bibi,Platinum II - 48 LP,61.8,97 / 60
#9,Jungle,Pyosik,Platinum II - 45 LP,65.4,104 / 55
#10,Mid,Galio,Platinum II - 34 LP,60.5,104 / 68
#11,Jungle,HLE Viper,Platinum II - 34 LP,64.8,125 / 68
#12,ADC,ύψιλον,Platinum II - 31 LP,58.1,79 / 57
#13,Mid,BottleCaps,Platinum II - 30 LP,60.8,93 / 60
#14,ADC,Bait,Platinum II - 25 LP,55.1,97 / 79
#15,Support,Help,Platinum II - 20 LP,53.3,98 / 86
#16,Jungle,Matthew,Platinum II - 18 LP,62.9,107 / 63
#17,Top,thegamingzebra,Platinum II - 16 LP,63.9,85 / 48
#18,Mid,MidBot,Platinum II - 13 LP,54.3,101 / 85
#19,Mid,IG Wh1t3zZ,Platinum II - 12 LP,54.0,95 / 81
#20,Support,FPX Crisp,Platinum II - 7 LP,56.9,103 / 78
#21,Jungle,TarzanFaker,Platinum II - 6 LP,56.8,84 / 64
#22,Jungle,Invictis,Platinum II - 2 LP,45.4,83 / 100
#23,Support,KuroKy,Platinum II - 1 LP,48.6,85 / 90
#24,Jungle,Test2,Platinum III - 99 LP,61.8,81 / 50
#25,ADC,Left leg,Platinum III - 98 LP,53.5,77 / 67
#26,Jungle,EDG Clearlove7,Platinum III - 98 LP,52.3,101 / 92
#27,Jungle,Superb,Platinum III - 92 LP,62.5,85 / 51
#28,Jungle,Hidden,Platinum III - 89 LP,62.9,90 / 53
#29,Jungle,Jinxnator,Platinum III - 87 LP,60.1,101 / 67
#30,Jungle,SirDigby123,Platinum III - 84 LP,53.4,79 / 69
#31,ADC,Vortex_c4,Platinum III - 83 LP,56.5,96 / 74
#32,Support,Tratz,Platinum III - 81 LP,59.2,93 / 64
#33,Jungle,Kazuma,Platinum III - 81 LP,53.5,108 / 94
#34,Support,mars best bard,Platinum III - 81 LP,59.0,118 / 82
#35,Jungle,DrSovsemandpasta,Platinum III - 76 LP,56.1,78 / 61
#36,Mid,Lucius ,Platinum III - 75 LP,58.5,86 / 61
#37,Mid,Mantra,Platinum III - 73 LP,50.3,85 / 84
#38,Jungle,Luv Email,Platinum III - 72 LP,57.6,106 / 78
#39,Mid,100 Soligo,Platinum III - 71 LP,52.0,102 / 94
#40,ADC,Vahvel,Platinum III - 70 LP,57.0,85 / 64
#41,Support,225,Platinum III - 69 LP,61.5,80 / 50
#42,Top,DRX Deft,Platinum III - 69 LP,55.1,114 / 93
#43,Jungle,woope,Platinum III - 68 LP,46.6,83 / 95
#44,Top,Test1,Platinum III - 67 LP,56.8,83 / 63
#45,Top,MJay,Platinum III - 67 LP,61.8,84 / 52
#46,Mid,Flame,Platinum III - 66 LP,57.3,98 / 73
#47,Support,Xpecial,Platinum III - 64 LP,46.9,99 / 112
#48,Top,Aryze,Platinum III - 63 LP,55.8,82 / 65
#49,Support,Deontic,Platinum III - 62 LP,58.8,104 / 73
#50,Support,Goku Black,Platinum III - 62 LP,57.3,82 / 61
#51,Jungle,Zevton,Platinum III - 60 LP,59.2,84 / 58
#52,Top,Plankuaa,Platinum III - 57 LP,51.9,80 / 74
#53,Mid,A scary person,Platinum III - 54 LP,59.1,94 / 65
#54,ADC,B0n Ivern,Platinum III - 53 LP,56.2,82 / 64
#55,Top,Raleigh Obelisk,Platinum III - 53 LP,57.3,86 / 64
#56,Top,MrBochka,Platinum III - 52 LP,53.2,101 / 89
#57,ADC,Jake,Platinum III - 51 LP,57.1,80 / 60
#58,Top,Washed up pro,Platinum III - 51 LP,58.6,95 / 67
#59,Top,xX5W4GM4573RXx,Platinum III - 50 LP,52.5,84 / 76
#60,Top,Ankush,Platinum III - 49 LP,47.6,70 / 77
#61,Support,R.Leg of Cauw,Platinum III - 48 LP,51.1,70 / 67
#62,Top, IG TheShy,Platinum III - 47 LP,51.4,95 / 90
#63,Top,Landmeeuw,Platinum III - 45 LP,56.8,88 / 67
#64,ADC,Thongchai,Platinum III - 45 LP,52.2,96 / 88
#65,Top,HAHAHAHAHAHAXD,Platinum III - 44 LP,58.0,98 / 71
#66,Support,Rashid,Platinum III - 43 LP,54.5,91 / 76
#67,Jungle,Better blame me,Platinum III - 41 LP,49.0,71 / 74
#68,Support,Trick789,Platinum III - 40 LP,51.0,77 / 74
#69,Mid,loselane_wingame,Platinum III - 39 LP,57.3,67 / 50
#70,Support,Support and AFk,Platinum III - 39 LP,51.0,76 / 73
#71,ADC,C9 Sneaky,Platinum III - 39 LP,51.6,83 / 78
#72,Mid,master73,Platinum III - 38 LP,45.8,70 / 83
#73,ADC,Riverr,Platinum III - 38 LP,56.2,109 / 85
#74,Support,JhinSuppNoTroll,Platinum III - 37 LP,51.8,102 / 95
#75,Top,Destructoid,Platinum III - 36 LP,57.8,107 / 78
#76,Top,Agent Boris,Platinum III - 34 LP,53.7,79 / 68
#77,Support,Test5,Platinum III - 33 LP,55.0,77 / 63
#78,Jungle,EG Voutocu,Platinum III - 33 LP,53.8,78 / 67
#79,Mid,Naruto,Platinum III - 33 LP,57.8,85 / 62
#80,Jungle,TDA Exiled Light,Platinum III - 33 LP,49.7,73 / 74
#81,ADC,lilcutiepaipee,Platinum III - 32 LP,55.6,105 / 84
#82,Mid,WoO0oW,Platinum III - 32 LP,57.1,80 / 60
#83,Mid,mogubaby,Platinum III - 32 LP,53.2,74 / 65
#84,Top,Ben Dover,Platinum III - 31 LP,52.9,72 / 64
#85,Jungle,Exemplar,Platinum III - 31 LP,60.3,79 / 52
#86,Top,Snowguy,Platinum III - 31 LP,52.1,85 / 78
#87,Jungle,NerfJarvan,Platinum III - 30 LP,52.1,74 / 68
#88,Top,Sioux,Platinum III - 30 LP,54.7,75 / 62
#89,Support,Kutchcrafter,Platinum III - 29 LP,56.0,98 / 77
#90,Top,Top,Platinum III - 29 LP,56.2,82 / 64
#91,Mid,Phantom,Platinum III - 27 LP,57.0,110 / 83
#92,Support,JhinToWin,Platinum III - 26 LP,50.4,68 / 67
#93,ADC,TES Jackeylove,Platinum III - 26 LP,50.0,80 / 80
#94,ADC,T1 T1,Platinum III - 25 LP,51.8,113 / 105
#95,Mid,TDA Men in BLack,Platinum III - 25 LP,54.6,83 / 69
#96,Jungle,jekedeke,Platinum III - 25 LP,53.6,82 / 71
#97,ADC,Moltair 2,Platinum III - 24 LP,55.3,84 / 68
#98,Jungle,Winston,Platinum III - 23 LP,56.3,89 / 69
#99,Mid,Jensen,Platinum III - 23 LP,55.6,79 / 63
#100,Top,Nice Impact,Platinum III - 23 LP,53.2,74 / 65
