Rank number,Role,Player name,Rank,Win rate(%),Wins / losses
#1,Top,Raleigh Obelisk,Platinum I - 74 LP,59.0,200 / 139
#2,Top,Top,Platinum II - 81 LP,57.7,161 / 118
#3,Support,FPX Crisp,Platinum II - 79 LP,55.1,177 / 144
#4,Jungle,Zevton,Platinum II - 75 LP,53.0,215 / 191
#5,Top,TopBot,Platinum II - 61 LP,51.8,186 / 173
#6,ADC,xXxVaYnEmAiNxXx,Platinum II - 59 LP,55.1,215 / 175
#7,Support,Hisher,Platinum II - 57 LP,58.9,234 / 163
#8,ADC,Pokimane,Platinum II - 43 LP,55.4,237 / 191
#9,Mid,Renners,Platinum II - 42 LP,57.1,205 / 154
#10,Support,RNG Ming,Platinum II - 42 LP,57.5,237 / 175
#11,ADC,Kapp Wasfürsaft,Platinum II - 36 LP,54.9,175 / 144
#12,Jungle,Superb,Platinum II - 35 LP,62.2,202 / 123
#13,Mid,RunningDown,Platinum II - 33 LP,49.5,198 / 202
#14,Top,Destiny,Platinum II - 27 LP,52.5,180 / 163
#15,Jungle,chef,Platinum II - 20 LP,54.1,230 / 195
#16,Jungle,Wrath,Platinum II - 14 LP,57.5,184 / 136
#17,Mid,Slimsnoker,Platinum II - 14 LP,51.5,185 / 174
#18,Top,Randomsmeker1234,Platinum II - 10 LP,56.6,245 / 188
#19,Jungle,Poppey,Platinum II - 7 LP,56.7,206 / 157
#20,Jungle,Sparrow,Platinum II - 5 LP,58.1,230 / 166
#21,Jungle,Bibi,Platinum II - 4 LP,61.7,116 / 72
#22,Jungle,tarzaned,Platinum II - 1 LP,51.6,224 / 210
#23,Support,Xpecial,Platinum II - 0 LP,55.5,231 / 185
#24,Top,Broken Blade,Platinum III - 99 LP,55.8,231 / 183
#25,ADC,Kongen,Platinum III - 98 LP,61.4,81 / 51
#26,Top,xxaznpuppy32xx,Platinum III - 96 LP,58.1,261 / 188
#27,Support,God damn i doode,Platinum III - 92 LP,53.8,206 / 177
#28,Support,Tratz,Platinum III - 85 LP,50.8,195 / 189
#29,Top,TurboThrow,Platinum III - 84 LP,56.8,121 / 92
#30,Support,Rookie,Platinum III - 76 LP,55.3,235 / 190
#31,Jungle,420~truaznkity,Platinum III - 76 LP,54.4,243 / 204
#32,Support,E-girl,Platinum III - 74 LP,55.2,153 / 124
#33,Support,Help,Platinum III - 74 LP,50.3,235 / 232
#34,Top,Metallkopf,Platinum III - 72 LP,56.0,205 / 161
#35,Support,Duckling,Platinum III - 71 LP,50.0,197 / 197
#36,Jungle,GG Bekhali,Platinum III - 71 LP,54.1,222 / 188
#37,Jungle,Kai,Platinum III - 67 LP,50.5,202 / 198
#38,Top,Rio,Platinum III - 65 LP,42.7,163 / 219
#39,ADC,Boop,Platinum III - 65 LP,54.9,224 / 184
#40,ADC,Kudor88888882141,Platinum III - 65 LP,51.9,228 / 211
#41,Mid,Caps,Platinum III - 60 LP,57.1,257 / 193
#42,Jungle,Better blame me,Platinum III - 58 LP,51.8,155 / 144
#43,Top,δέλτα,Platinum III - 57 LP,48.4,163 / 174
#44,Support,d0gg0,Platinum III - 55 LP,53.1,214 / 189
#45,Jungle,Never Ganks,Platinum III - 55 LP,57.6,228 / 168
#46,Jungle,worsejg,Platinum III - 52 LP,55.8,150 / 119
#47,Support,Plays Rengar Sup,Platinum III - 50 LP,57.0,227 / 171
#48,Top,CNanami,Platinum III - 49 LP,52.5,107 / 97
#49,Mid,master73,Platinum III - 48 LP,49.3,212 / 218
#50,Jungle,EnzoLeCoco,Platinum III - 48 LP,52.7,240 / 215
