Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,ADC,Pokimane,Challenger - 1605 LP,74.8,360 / 121,Simp
#2,Jungle,Prime Bengi,Challenger - 1296 LP,84.5,487 / 89,LDK
#3,Top,Attila,Challenger - 1027 LP,65.2,909 / 486,huffey
#4,Mid,Etosh,Challenger - 1017 LP,58.8,783 / 549,Etosh
#5,ADC,QQ Itsuki,Challenger - 775 LP,58.4,827 / 589,Futaro
#6,Mid,Ciri,Challenger - 765 LP,64.3,633 / 351,warmi024
#7,Support,unicornpetpetuwu,Challenger - 554 LP,55.4,789 / 634,GamerGirls
#8,Support,subby,Challenger - 539 LP,60.0,748 / 499,Cuz
#9,Jungle,Chiquinho,Challenger - 534 LP,54.4,803 / 672,Sb1
#10,Mid,Zer0,Challenger - 510 LP,55.5,689 / 553,Trindor
#11,Jungle,Stupid Jungler,Challenger - 503 LP,58.0,582 / 422,PooPooPeePee
#12,Jungle,Bliz,Challenger - 486 LP,56.5,877 / 674,GooseHouse
#13,ADC,Rabbit4,Challenger - 482 LP,57.0,865 / 653,willchungtester
#14,Support,HelpingX,Challenger - 480 LP,56.5,592 / 455,Felixxx
#15,ADC,adcdiff,Challenger - 444 LP,55.7,667 / 530,difference
#16,Mid,Xingjie,Challenger - 429 LP,53.7,719 / 621,clharris123
#17,Top,Kingen,Challenger - 423 LP,53.5,830 / 720,Maffayoo
#18,Mid,Piols,Challenger - 409 LP,56.1,683 / 535,Piols
#19,Top,Jodko,Challenger - 372 LP,56.0,729 / 573,Jinxnator
#20,Support,Supkekw,Challenger - 357 LP,52.5,672 / 607,shaqui
#21,Support,Jellybeans,Challenger - 352 LP,58.8,597 / 418,Shagrad
#22,Mid,Lama glama,Challenger - 344 LP,61.5,574 / 359,Laminatory
#23,Top,Akari,Challenger - 328 LP,48.3,755 / 807,GooseHouse
#24,Mid,Ciaran,Challenger - 291 LP,54.1,732 / 620,ebaines
#25,Jungle,Orichalcos,Challenger - 282 LP,60.7,311 / 201,yugi
#26,Support,Emwues24,Challenger - 279 LP,52.2,728 / 666,Jinxnator
#27,ADC,Percy,Challenger - 273 LP,55.6,695 / 554,b1gw00dy613
#28,Mid,Chovy,Challenger - 259 LP,52.8,640 / 572,TheStriker9
#29,Mid,Exodia,Challenger - 251 LP,53.8,798 / 686,yugi
#30,Jungle,a tsm reject,Challenger - 247 LP,49.2,755 / 781,aquietghost
#31,Top,Heimerdonger,Challenger - 243 LP,53.9,769 / 659,TimoMacDonut
#32,Support,Chrome,Challenger - 234 LP,50.4,705 / 694,Memersticks
#33,ADC,Cryhard II,Challenger - 234 LP,54.5,563 / 470,roysiggi
#34,Mid,Jarl Mid,Challenger - 232 LP,53.2,679 / 597,Jarl
#35,Support,Backpack,Challenger - 232 LP,52.9,713 / 636,Zettohail
#36,Jungle,Jglkekw,Challenger - 231 LP,52.0,793 / 733,shaqui
#37,Top,Kholek,Challenger - 226 LP,56.1,423 / 331,Chaos2
#38,Top,Toplaner23,Challenger - 225 LP,51.9,846 / 783,js2614
#39,Support,Support23,Challenger - 221 LP,52.6,727 / 655,js2614
#40,Top,Scarra,Challenger - 218 LP,53.5,703 / 610,OfflineTV
#41,Jungle,4fun jungle,Challenger - 215 LP,58.5,534 / 379,Mullster
#42,Support,White Dragon,Challenger - 212 LP,55.0,293 / 240,yugi
#43,Mid,Maverick,Challenger - 211 LP,53.7,714 / 616,MaverickG
#44,Jungle,Skogs Johnny,Challenger - 208 LP,60.1,500 / 332,Barebackassassin
#45,Mid,LAYER,Challenger - 208 LP,53.9,752 / 643,Mevious
#46,ADC,rBn-,Challenger - 208 LP,51.3,898 / 852,Sb1
#47,Top,Salsa,Challenger - 207 LP,54.3,690 / 580,YungYiga
#48,ADC,Dicliffier,Challenger - 204 LP,49.9,657 / 659,Dicliffier
#49,Mid,Kiddlazy,Challenger - 202 LP,53.9,981 / 840,Gawaine
#50,Jungle,Aela ,Challenger - 201 LP,53.3,785 / 689,MolscarZX
#51,Top,Sirio,Grandmaster - 199 LP,54.6,712 / 593,Spezza
#52,ADC,cumshot,Grandmaster - 197 LP,54.1,641 / 544,crownshot
#53,ADC,BotBot,Grandmaster - 196 LP,52.7,649 / 583,TangilBOT
#54,Jungle,Papafrita,Grandmaster - 195 LP,54.3,819 / 688,NismanSlayer
#55,Jungle,Souless,Grandmaster - 193 LP,50.7,1007 / 980,Bitesized
#56,Mid,The_Ghost16,Grandmaster - 190 LP,52.3,892 / 812,Sb1
#57,Jungle,Jungler23,Grandmaster - 184 LP,52.2,903 / 826,js2614
#58,Support,zazee,Grandmaster - 183 LP,50.6,639 / 623,crownshot
#59,ADC,Wide Hardoo,Grandmaster - 182 LP,52.4,734 / 667,Vuz
#60,ADC,invention,Grandmaster - 182 LP,53.2,836 / 735,garbz
#61,Mid,xPeke xaxaxa,Grandmaster - 180 LP,50.9,783 / 756,Pussy Destoyer
#62,Top,topkek,Grandmaster - 180 LP,52.2,519 / 475,redeemer
#63,Jungle,Kaltch,Grandmaster - 180 LP,51.6,736 / 690,Princess
#64,ADC,UziisBack,Grandmaster - 178 LP,52.9,771 / 686,Zettohail
#65,Jungle,Methodz,Grandmaster - 178 LP,52.4,813 / 740,Trindor
#66,Jungle,Terrified,Grandmaster - 174 LP,49.1,619 / 641,MaverickG
