Champion name,Win rate(%),Wins / losses
Pyke,54.8,78050 / 64367
Nautilus,53.8,69271 / 59399
Thresh,52.6,24371 / 21966
Draven,52.6,20749 / 18706
Sivir,52.3,8471 / 7723
Maokai,51.8,28189 / 26204
Riven,51.7,14147 / 13198
Janna,51.6,10459 / 9813
Leona,51.5,10498 / 9903
Quinn,51.3,6685 / 6352
Senna,51.2,25543 / 24312
Amumu,51.2,5408 / 5162
Vi,51.2,3831 / 3658
Shen,51.1,20957 / 20056
Poppy,51.1,19535 / 18657
Ezreal,51.1,18545 / 17734
Sejuani,51.0,30309 / 29128
Tryndamere,51.0,2876 / 2763
Lissandra,51.0,2095 / 2009
Aurelion Sol,50.9,10775 / 10384
Udyr,50.9,4160 / 4019
Ryze,50.7,10788 / 10503
Heimerdinger,50.7,6367 / 6185
Ziggs,50.7,2950 / 2865
Warwick,50.6,7726 / 7552
Fiora,50.6,5904 / 5766
Anivia,50.6,1941 / 1893
Ivern,50.5,37129 / 36361
Yasuo,50.5,17128 / 16801
Sett,50.4,37425 / 36793
Ornn,50.4,19409 / 19089
Ekko,50.3,34268 / 33831
LeBlanc,50.3,13081 / 12931
Wukong,50.3,7795 / 7704
Xayah,50.2,22283 / 22090
Evelynn,50.2,4556 / 4522
Qiyana,50.1,14294 / 14230
Kog'Maw,50.1,12036 / 11984
Fizz,50.1,7591 / 7565
Irelia,50.1,7565 / 7524
Talon,50.1,6070 / 6045
Viktor,50.1,3251 / 3237
Neeko,50.0,27616 / 27619
Cho'Gath,50.0,26332 / 26322
Akali,50.0,13660 / 13647
Jhin,50.0,6903 / 6908
Galio,49.8,12322 / 12433
Lucian,49.8,9375 / 9442
Yuumi,49.8,6451 / 6507
Jayce,49.8,4259 / 4292
Ahri,49.7,62862 / 63588
Aphelios,49.7,27928 / 28277
Camille,49.7,14875 / 15058
Xerath,49.7,1961 / 1986
Karthus,49.6,30558 / 31098
Vayne,49.6,9911 / 10074
Azir,49.6,4412 / 4476
Renekton,49.5,42855 / 43708
Nunu,49.5,19209 / 19608
Pantheon,49.5,12576 / 12836
Yone,49.5,9404 / 9584
Braum,49.5,6260 / 6392
Rumble,49.5,2260 / 2306
Miss Fortune,49.4,6641 / 6800
Syndra,49.4,3854 / 3940
Varus,49.3,5736 / 5896
Gangplank,49.3,4671 / 4808
Volibear,49.2,15074 / 15577
Kassadin,49.2,12263 / 12646
Caitlyn,49.2,11470 / 11855
Katarina,49.2,5945 / 6133
Bard,49.1,33530 / 34725
Zed,49.1,6895 / 7141
Cassiopeia,49.1,6478 / 6703
Rammus,49.1,5610 / 5814
Mordekaiser,49.1,4797 / 4972
Malphite,49.0,4860 / 5061
Illaoi,49.0,620 / 646
Kai'Sa,48.9,15094 / 15771
Garen,48.9,10554 / 11014
Jinx,48.9,8118 / 8492
Hecarim,48.9,2902 / 3038
Twitch,48.8,10594 / 11108
Orianna,48.8,3464 / 3636
Tahm Kench,48.8,3381 / 3543
Gnar,48.8,3121 / 3273
Veigar,48.7,3751 / 3959
Lillia,48.6,8226 / 8707
Kennen,48.6,5386 / 5692
Rek'Sai,48.6,4414 / 4666
Kayn,48.6,2716 / 2872
Graves,48.5,3416 / 3632
Taric,48.5,1643 / 1748
Rakan,48.3,30781 / 32954
Blitzcrank,48.3,16845 / 18064
Jarvan IV,48.3,13156 / 14085
Ashe,48.3,7947 / 8497
Zoe,48.3,7882 / 8448
Diana,48.3,7192 / 7712
Alistar,48.3,6318 / 6769
Lee Sin,48.3,5214 / 5585
Singed,48.3,4993 / 5354
Karma,48.2,10988 / 11792
Rengar,48.2,6241 / 6698
Sion,48.2,3970 / 4274
Dr. Mundo,48.2,3374 / 3628
Gragas,48.0,3523 / 3813
Tristana,48.0,3514 / 3814
Skarner,48.0,1530 / 1655
Kalista,47.9,4077 / 4442
Darius,47.8,7833 / 8570
Aatrox,47.8,7441 / 8110
Teemo,47.7,3295 / 3610
Nasus,47.7,2936 / 3214
Taliyah,47.7,1396 / 1531
Yorick,47.7,1199 / 1315
Zilean,47.6,3381 / 3726
Nocturne,47.6,2014 / 2216
Sylas,47.4,3839 / 4256
Vladimir,47.3,5251 / 5854
Vel'Koz,47.3,1847 / 2058
Twisted Fate,47.3,1188 / 1326
Zac,47.2,6595 / 7377
Urgot,47.2,3108 / 3472
Corki,47.2,1730 / 1936
Kled,47.1,3372 / 3787
Nidalee,47.0,3683 / 4145
Swain,46.8,4325 / 4921
Lux,46.5,1237 / 1424
Lulu,46.4,15967 / 18468
Morgana,46.4,5686 / 6559
Zyra,46.0,1414 / 1663
Nami,45.9,3971 / 4677
Elise,45.9,2994 / 3534
Annie,45.9,1673 / 1972
Jax,45.5,3397 / 4067
Master Yi,45.4,1699 / 2040
Kayle,45.4,1493 / 1793
Malzahar,45.2,1007 / 1219
Kindred,44.2,1144 / 1444
Trundle,44.1,2325 / 2953
Sona,44.0,2884 / 3665
Soraka,43.6,3375 / 4362
Kha'Zix,43.5,2320 / 3014
Brand,43.3,1304 / 1705
Fiddlesticks,42.5,2036 / 2753
Shyvana,42.3,1911 / 2607
Shaco,41.2,1062 / 1517
Olaf,40.5,1656 / 2433
Xin Zhao,36.7,469 / 810
