Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,Support,Aqua,Challenger - 152 LP,57.1,40 / 30,Trindor
#2,Jungle,Pyosik,Challenger - 114 LP,69.6,39 / 17,TheStriker9
#3,Top,Salsa,Challenger - 59 LP,64.8,94 / 51,YungYiga
#4,ADC,Deft,Challenger - 10 LP,63.2,48 / 28,TheStriker9
#5,ADC,BöllerBusch,Diamond I - 78 LP,57.5,65 / 48,Jungler1337
#6,ADC,Sylmarae,Diamond I - 72 LP,58.3,77 / 55,Kythaela
#7,Mid,BOOCAUWMOO,Diamond I - 70 LP,60.4,64 / 42,BooCauwMoo
#8,ADC,cryhard,Diamond I - 54 LP,55.5,96 / 77,roysiggi
#9,Top,TheHentaiKing,Diamond I - 54 LP,53.9,83 / 71,DitIsDonny
#10,Support,Emwues24,Diamond I - 48 LP,60.0,78 / 52,Jinxnator
#11,Jungle,Ceasarna,Diamond I - 45 LP,60.2,74 / 49,iampvm
#12,ADC,T1 T1,Diamond I - 41 LP,57.8,89 / 65,Soraka
#13,Mid,BottleCaps,Diamond I - 36 LP,59.2,61 / 42,Phost
#14,Jungle,Poppey,Diamond I - 31 LP,56.5,96 / 74,NAVI
#15,Top,Jodko,Diamond I - 31 LP,55.7,68 / 54,Jinxnator
#16,Mid,Byumbert,Diamond I - 30 LP,59.2,84 / 58,Byumbi
#17,Support,FPX Crisp,Diamond I - 30 LP,58.3,60 / 43,LPLAhri
#18,Jungle,GG Bekhali,Diamond I - 30 LP,58.0,69 / 50,Mac
#19,Support,Hisher,Diamond I - 29 LP,57.5,61 / 45,polop900
#20,Support,春夜蓝,Diamond I - 29 LP,55.9,85 / 67,sayluca
#21,Top,迈特晒,Diamond I - 29 LP,54.5,79 / 66,sayluca
#22,Top,RNG Letme,Diamond I - 26 LP,56.1,92 / 72,LPLAhri
#23,Jungle,Pheoldre,Diamond I - 23 LP,60.0,63 / 42,Kythaela
#24,Top,SmackyB,Diamond I - 23 LP,55.2,80 / 65,Byumbi
#25,Mid,Arteros,Diamond I - 23 LP,58.7,64 / 45,Anbeeld
#26,Jungle,Kong,Diamond I - 22 LP,51.4,71 / 67,YungYiga
#27,Support,Deontic,Diamond I - 22 LP,57.9,66 / 48,TheRelic4411
#28,Jungle,Jinxnator,Diamond I - 17 LP,55.4,56 / 45,Jinxnator
#29,Support,Egirl champs onl,Diamond I - 13 LP,50.7,68 / 66,Spooky
#30,Mid,Star Player,Diamond I - 7 LP,58.3,67 / 48,CoachYouGen
#31,Mid,Giorno Giovanna,Diamond I - 1 LP,52.5,74 / 67,Ithirul
#32,Jungle,Gnima,Diamond I - 0 LP,54.8,57 / 47,YoloMedic
#33,Support,Tiriana,Diamond I - 0 LP,57.3,75 / 56,Kythaela
#34,Top,Zuko,Diamond II - 96 LP,50.4,70 / 69,Lior
#35,Top,xxaznpuppy32xx,Diamond II - 94 LP,52.6,111 / 100,GamerGirls
#36,ADC,Jotaro Kujo,Diamond II - 93 LP,54.9,62 / 51,Ithirul
#37,Jungle,110110010011,Diamond II - 92 LP,50.4,68 / 67,110110010011
#38,Support,Anbeeld,Diamond II - 92 LP,57.4,62 / 46,Anbeeld
#39,ADC,cblol00004,Diamond II - 92 LP,54.2,64 / 54,cblol
#40,Support,MUD Ogre,Diamond II - 91 LP,58.1,68 / 49,Randomness12
#41,Jungle,David Chen,Diamond II - 90 LP,50.3,84 / 83,DitIsDonny
