Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,Support,Rookie,Challenger - 277 LP,59.7,250 / 169,LordArtos
#2,Top,DoinB,Challenger - 257 LP,59.1,315 / 218,LordArtos
#3,Top,Scarra,Challenger - 239 LP,69.8,169 / 73,OfflineTV
#4,Jungle,Kaltch,Challenger - 215 LP,63.8,238 / 135,Princess
#5,Mid,Etosh,Challenger - 208 LP,57.3,301 / 224,Etosh
#6,Support,Princess,Challenger - 181 LP,63.0,177 / 104,Princess
#7,Mid,LeSnek,Challenger - 165 LP,63.6,224 / 128,LS
#8,Jungle,Stupid Jungler,Challenger - 161 LP,60.9,159 / 102,PooPooPeePee
#9,Mid,Chovy,Challenger - 125 LP,62.9,430 / 254,TheStriker9
#10,Jungle,Canyon,Challenger - 91 LP,58.8,151 / 106,YamatoCannon
#11,ADC,Pokimane,Challenger - 89 LP,60.2,253 / 167,Simp
#12,Top,Kingen,Challenger - 71 LP,57.5,359 / 265,Maffayoo
#13,Support,HelpingX,Challenger - 52 LP,60.2,245 / 162,Felixxx
#14,Jungle,AttSeeker,Challenger - 42 LP,57.5,276 / 204,PaxVan
#15,ADC,Teddy,Challenger - 42 LP,58.1,269 / 194,Kim
#16,Support,unicornpetpetuwu,Challenger - 37 LP,57.9,147 / 107,GamerGirls
#17,Top,Fantasy,Challenger - 31 LP,58.2,163 / 117,WildChoas
#18,Top,SheIsLegal,Challenger - 28 LP,55.9,312 / 246,PaxVan
#19,ADC,Cr1x,Challenger - 24 LP,55.5,251 / 201,crixaliz
#20,Jungle,110110010011,Challenger - 17 LP,54.8,285 / 235,110110010011
#21,Support,xplayz4dayz,Challenger - 14 LP,58.1,241 / 174,froggen
#22,Support,DedeKong,Challenger - 12 LP,50.5,249 / 244,PooPooPeePee
#23,ADC,Soju,Challenger - 10 LP,55.8,356 / 282,Bitesized
#24,Jungle,tarzaned,Challenger - 3 LP,60.4,227 / 149,Tyler1
#25,Jungle,Methodz,Diamond I - 98 LP,54.4,287 / 241,Trindor
#26,Jungle,Papafrita,Diamond I - 94 LP,60.7,185 / 120,NismanSlayer
#27,Mid,Choky,Diamond I - 93 LP,55.4,294 / 237,Key
#28,Jungle,Equilibrium,Diamond I - 91 LP,53.9,275 / 235,wertyce
#29,ADC,PiCake,Diamond I - 91 LP,53.4,221 / 193,Niern
#30,Mid,Hide in poon,Diamond I - 85 LP,54.5,241 / 201,kamiOCE
#31,Jungle,TheSecretWeapon,Diamond I - 76 LP,53.7,263 / 227,Erknaite
#32,Jungle,SmelliElli,Diamond I - 73 LP,58.1,284 / 205,bigjon
#33,Jungle,DoperThanDopa,Diamond I - 70 LP,52.8,242 / 216,yukioken
#34,Support,pneu,Diamond I - 69 LP,53.1,287 / 253,garbz
#35,Jungle,BlabberFIsh,Diamond I - 68 LP,57.9,281 / 204,Meteo
#36,Mid,Ciaran,Diamond I - 68 LP,50.9,313 / 302,ebaines
#37,ADC,Maffa,Diamond I - 66 LP,54.1,253 / 215,Tetraa
#38,Top,pulsion,Diamond I - 64 LP,57.0,313 / 236,garbz
#39,Mid,Ghost In Machine,Diamond I - 59 LP,54.7,261 / 216,Tribl00d
#40,Mid,Heleneski,Diamond I - 56 LP,51.4,289 / 273,PooPooPeePee
#41,Top,The Shy 2.0,Diamond I - 55 LP,54.2,281 / 237,Coach_Kim
#42,ADC,Blink Sooyaaa,Diamond I - 55 LP,52.9,225 / 200,willchung127
#43,Support,AfroPerkins,Diamond I - 53 LP,56.4,217 / 168,kyleperkins
#44,Mid,Zer,Diamond I - 52 LP,52.2,303 / 277,cmoney847
#45,Mid,Midlaner23,Diamond I - 50 LP,54.7,287 / 238,js2614
#46,ADC,Ornstein,Diamond I - 50 LP,56.2,291 / 227,ebaines
#47,ADC,Cdew,Diamond I - 48 LP,56.6,245 / 188,Shagrad
#48,Mid,EEM,Diamond I - 45 LP,48.8,275 / 288,eternityends
#49,Jungle,Souless,Diamond I - 44 LP,56.0,387 / 304,Bitesized
#50,ADC,Karma,Diamond I - 43 LP,57.0,213 / 161,Dark Pact
#51,Top,Ayu,Diamond I - 43 LP,53.9,330 / 282,Bitesized
#52,Jungle,Jglkekw,Diamond I - 41 LP,51.2,264 / 252,shaqui
#53,Jungle,BigBillsPlatypus,Diamond I - 40 LP,56.9,277 / 210,Viserra0325
#54,Jungle,ggbebe,Diamond I - 40 LP,55.9,319 / 252,garbz
