Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,ADC,T1 T1,Challenger - 593 LP,64.9,74 / 40,Soraka
#2,Top,Salsa,Challenger - 241 LP,69.0,147 / 66,YungYiga
#3,Jungle,Gnima,Challenger - 150 LP,57.2,179 / 134,YoloMedic
#4,Mid,Arteros,Challenger - 144 LP,64.0,153 / 86,Anbeeld
#5,ADC,BöllerBusch,Challenger - 121 LP,71.0,88 / 36,Jungler1337
#6,Top,RNG Letme,Challenger - 120 LP,59.3,188 / 129,LPLAhri
#7,Mid,Frimmy23,Challenger - 97 LP,60.9,209 / 134,YoloMedic
#8,ADC,AJDG Angel,Challenger - 88 LP,61.7,140 / 87,Lightandhope
#9,Support,Aqua,Challenger - 29 LP,58.2,249 / 179,Trindor
#10,ADC,Kadlin,Challenger - 19 LP,58.3,257 / 184,Jinxnator
#11,Mid,Totoro the duck,Challenger - 8 LP,57.2,135 / 101,Kuury
#12,ADC,cryhard,Challenger - 2 LP,63.3,155 / 90,roysiggi
#13,Jungle,Poppey,Diamond I - 94 LP,58.0,184 / 133,NAVI
#14,Jungle,Blaze,Diamond I - 88 LP,59.8,146 / 98,Hit_Critical
#15,Support,Kutcher,Diamond I - 85 LP,56.8,163 / 124,Terra
#16,Top,Zuko,Diamond I - 75 LP,59.0,160 / 111,Lior
#17,Support,Tiriana,Diamond I - 75 LP,55.9,199 / 157,Kythaela
#18,Support,Katara,Diamond I - 74 LP,54.7,158 / 131,Lior
#19,Jungle,Jinxnator,Diamond I - 55 LP,58.5,275 / 195,Jinxnator
#20,Support,strawberry cow,Diamond I - 52 LP,55.5,146 / 117,annauwumarie
#21,Top,Kritz,Diamond I - 50 LP,59.2,170 / 117,polop900
#22,Support,Truth,Diamond I - 48 LP,53.1,162 / 143,Player2225
#23,Mid,Phantom,Diamond I - 48 LP,55.8,206 / 163,Kyzent
#24,ADC,Jotaro Kujo,Diamond I - 46 LP,57.6,167 / 123,Ithirul
#25,ADC,Geekymanxnlx,Diamond I - 45 LP,59.3,217 / 149,DitIsDonny
#26,Top,Jodko,Diamond I - 43 LP,52.1,164 / 151,Jinxnator
#27,Mid,BOOCAUWMOO,Diamond I - 34 LP,55.3,167 / 135,BooCauwMoo
#28,Top,Ezio,Diamond I - 32 LP,54.5,156 / 130,TexeQ
#29,Mid,I like trains,Diamond I - 31 LP,52.9,108 / 96,Foxxo
#30,Top,Destructoid,Diamond I - 30 LP,54.8,154 / 127,YoloMedic
#31,ADC,Test4,Diamond I - 29 LP,53.0,131 / 116,test
#32,Support,OTP SUP,Diamond I - 28 LP,56.7,127 / 97,hey1
#33,ADC,Perkz,Diamond I - 28 LP,53.2,168 / 148,LordArtos
#34,Top,DoinB,Diamond I - 26 LP,55.9,208 / 164,LordArtos
#35,Jungle,EG Voutocu,Diamond I - 26 LP,54.5,150 / 125,EG Voutocu
#36,Jungle,woope,Diamond I - 23 LP,52.0,131 / 121,sanchesmemo
#37,Mid,PepeCool,Diamond I - 22 LP,52.2,179 / 164,LS
#38,Mid,Flame,Diamond I - 20 LP,53.7,116 / 100,Hit_Critical
#39,Top,SmackyB,Diamond I - 20 LP,56.3,148 / 115,Byumbi
#40,Jungle,EDG Clearlove7,Diamond I - 20 LP,57.5,145 / 107,RNGFirefox
#41,Support,Tratz,Diamond I - 20 LP,56.1,161 / 126,Tangil
#42,Mid,BottleCaps,Diamond I - 17 LP,51.2,128 / 122,Phost
#43,Top,Dumbass,Diamond I - 17 LP,53.9,195 / 167,Key
#44,Support,Test5,Diamond I - 16 LP,54.0,150 / 128,test
#45,Top,TopBot,Diamond I - 16 LP,52.1,113 / 104,TangilBOT
#46,Jungle,time,Diamond I - 15 LP,53.3,131 / 115,schlafen
#47,Jungle,Kong,Diamond I - 11 LP,52.1,139 / 128,YungYiga
#48,Jungle,Pyosik,Diamond I - 10 LP,57.6,193 / 142,TheStriker9
#49,Jungle,Ceasarna,Diamond I - 9 LP,55.3,125 / 101,iampvm
#50,Top,Raleigh Obelisk,Diamond I - 9 LP,49.8,105 / 106,Sinker
#51,Mid,do you have dad,Diamond I - 9 LP,53.2,123 / 108,schlafen2
#52,Jungle,Hidden,Diamond I - 8 LP,52.4,110 / 100,SinderFox
