Champion,Top wins,Top losses,Jungle wins,Jungle losses,Mid wins,Mid losses,Bot wins,Bot losses,Support wins,Support losses
Dr. Mundo,16,21,0,0,0,0,2031,1719,0,0
Cho'Gath,421,358,0,0,17,32,467,417,0,0
Yasuo,9,9,0,0,2,4,42,89,0,0
Kai'Sa,0,0,0,0,0,0,39,37,0,0
Nautilus,2,2,4649,3594,0,0,0,0,670,622
Skarner,0,0,1142,985,0,0,0,0,0,0
Jarvan IV,0,0,0,1,89,88,0,0,0,0
Sejuani,0,0,654,649,0,0,0,0,1287,965
Blitzcrank,0,0,0,0,0,0,0,0,164,154
Rakan,0,0,0,0,0,0,0,0,1012,924
Bard,0,0,0,0,0,0,0,0,14,14
Thresh,0,0,0,0,0,0,0,0,544,554
Lulu,0,0,0,0,0,0,0,0,18,46
Shen,2,2,870,720,0,0,0,0,712,695
Neeko,0,0,0,1,0,0,0,0,2,3
Malphite,268,224,0,0,1381,1087,443,400,428,389
Karthus,382,292,157,152,1617,1199,3062,2173,0,0
Kassadin,215,177,0,0,1170,1215,0,0,0,0
Ekko,39,52,1,1,738,601,0,0,0,0
Ahri,121,114,0,0,925,756,145,168,0,0
Ryze,10,11,0,0,0,1,0,0,0,0
Karma,0,0,0,0,81,90,59,69,1,1
Galio,1260,1226,0,0,122,107,0,0,0,3
Urgot,448,411,0,0,25,19,718,646,0,0
Mordekaiser,0,0,0,0,1,2,0,0,0,0
Pyke,200,117,0,0,3,3,0,0,780,593
Draven,3,2,0,0,0,0,40,43,0,0
Zac,60,61,756,696,0,0,0,0,0,0
Nocturne,0,0,0,1,0,0,0,0,0,0
Leona,0,1,0,0,0,0,0,0,13,10
Poppy,575,529,0,0,0,0,0,0,369,336
Rammus,472,422,0,0,0,0,0,0,41,56
Maokai,210,228,51,47,0,0,0,0,5,6
Braum,0,0,0,0,0,0,0,0,474,439
Sona,0,0,0,0,3,3,114,159,17,21
Vel'Koz,0,0,0,0,16,18,0,0,0,1
Zilean,3,3,0,0,1,7,0,0,0,1
Volibear,1,3,303,251,0,0,0,0,0,0
Elise,0,0,57,54,0,0,0,0,0,0
Camille,1529,1138,0,0,0,0,0,0,0,0
Riven,16,12,0,0,0,0,0,0,0,0
Tryndamere,142,132,0,0,0,0,0,0,0,0
Master Yi,506,418,92,113,0,0,0,0,0,0
Kayle,3,3,0,0,0,0,0,0,0,0
Varus,1,1,0,0,0,0,52,65,0,0
Renekton,229,232,0,0,0,0,4,8,0,0
Olaf,1,3,0,0,0,0,5,2,0,0
Nasus,3,2,0,0,0,0,0,0,0,0
Darius,77,87,0,0,0,0,0,0,0,0
Irelia,1,3,0,0,144,174,0,0,0,0
Xerath,0,0,0,0,239,284,0,0,0,0
Aurelion Sol,0,0,0,0,2,4,0,0,0,0
Lux,0,0,0,0,1,2,0,0,0,0
Quinn,677,612,0,0,0,0,0,0,0,0
Swain,22,26,0,0,3,2,0,0,0,0
LeBlanc,2,7,0,0,2,4,0,0,0,0
Qiyana,0,4,0,0,103,95,0,0,0,0
Nunu,0,0,83,76,6,8,0,0,0,0
Diana,0,0,0,0,1,8,0,0,0,0
Senna,0,0,0,0,14,17,85,126,1,1
Kled,25,32,0,0,0,0,0,0,0,0
Illaoi,25,34,0,0,0,0,0,0,0,0
Singed,16,36,0,0,0,0,0,0,0,0
Lee Sin,0,0,78,64,0,0,0,0,0,0
Nidalee,0,0,288,294,0,0,121,107,0,0
Aphelios,0,0,0,0,0,0,274,318,0,0
Zoe,0,0,0,0,55,52,0,0,0,0
Kha'Zix,0,0,1,4,3,5,0,0,0,0
Fiora,10,20,0,0,0,0,0,0,0,0
Alistar,0,0,0,0,0,0,0,0,1606,1422
Nami,0,0,0,0,0,0,0,0,1,0
Soraka,0,0,5,17,0,0,0,0,124,140
Sett,412,367,0,0,209,168,0,0,1,0
Caitlyn,0,0,0,0,0,0,13,11,0,0
Xayah,0,0,0,0,0,0,33,46,0,0
