Champion name,Win rate(%),Wins / losses
Pyke,55.5,29771 / 23844
Nautilus,54.5,26815 / 22344
Thresh,53.2,8618 / 7583
Draven,52.9,7815 / 6972
Heimerdinger,52.6,2228 / 2004
Sivir,52.4,3026 / 2749
Riven,52.3,5285 / 4817
Maokai,52.2,11413 / 10467
Janna,52.2,4154 / 3801
Poppy,52.1,8738 / 8022
Shen,51.8,9712 / 9037
Leona,51.6,4482 / 4200
Xerath,51.6,699 / 655
Sejuani,51.5,12486 / 11742
Amumu,51.5,2510 / 2363
Lissandra,51.4,703 / 666
Ezreal,51.3,7910 / 7511
Udyr,51.3,2126 / 2018
Ziggs,51.2,1201 / 1144
Fiora,51.1,2889 / 2770
Senna,51.0,10225 / 9822
Aurelion Sol,51.0,4751 / 4573
Quinn,51.0,2969 / 2857
Ryze,50.9,4721 / 4552
Ekko,50.8,16064 / 15535
Jayce,50.7,2072 / 2017
Vi,50.7,1829 / 1779
Sett,50.6,17805 / 17404
Qiyana,50.6,6815 / 6657
Jhin,50.6,3395 / 3320
Ivern,50.5,17076 / 16727
Yasuo,50.5,7442 / 7288
LeBlanc,50.5,5722 / 5603
Rammus,50.5,2746 / 2694
Evelynn,50.5,1940 / 1905
Tryndamere,50.5,890 / 872
Ornn,50.4,8511 / 8392
Warwick,50.4,3430 / 3371
Wukong,50.3,3805 / 3755
Xayah,50.2,10475 / 10384
Irelia,50.2,3913 / 3885
Cho'Gath,50.1,12319 / 12252
Azir,50.1,2173 / 2168
Veigar,50.1,1714 / 1708
Nunu,50.0,8183 / 8197
Fizz,50.0,3660 / 3658
Cassiopeia,50.0,3013 / 3019
Varus,50.0,2853 / 2853
Akali,49.9,6390 / 6418
Hecarim,49.9,1227 / 1233
Renekton,49.8,20042 / 20170
Galio,49.8,5068 / 5118
Braum,49.8,3342 / 3363
Rumble,49.8,982 / 990
Camille,49.7,6706 / 6799
Lucian,49.7,4200 / 4248
Tahm Kench,49.7,1789 / 1809
Gnar,49.7,1248 / 1263
Ahri,49.6,29756 / 30251
Bard,49.6,15393 / 15658
Neeko,49.6,13975 / 14195
Karthus,49.6,13284 / 13515
Vayne,49.6,3475 / 3534
Talon,49.6,2719 / 2768
Pantheon,49.5,6521 / 6646
Kog'Maw,49.5,4748 / 4845
Syndra,49.5,1869 / 1903
Anivia,49.5,878 / 894
Volibear,49.4,7293 / 7483
Kai'Sa,49.4,6813 / 6978
Aphelios,49.2,13557 / 13996
Blitzcrank,49.2,8132 / 8391
Caitlyn,49.2,5392 / 5571
Miss Fortune,49.2,3291 / 3400
Mordekaiser,49.2,2145 / 2211
Gangplank,49.1,1992 / 2068
Zed,49.0,3258 / 3393
Katarina,49.0,2669 / 2777
Malphite,49.0,2352 / 2445
Rek'Sai,49.0,1949 / 2031
Lillia,48.9,4082 / 4274
Yone,48.9,3756 / 3918
Kennen,48.9,2296 / 2402
Viktor,48.9,1156 / 1209
Kassadin,48.8,5757 / 6038
Garen,48.8,5187 / 5437
Sion,48.8,1971 / 2070
Skarner,48.8,691 / 726
Twitch,48.7,5009 / 5283
Jinx,48.7,3276 / 3447
Orianna,48.7,1632 / 1719
Rengar,48.6,2330 / 2464
Zoe,48.5,4028 / 4285
Diana,48.5,3244 / 3450
Lee Sin,48.5,2656 / 2824
Rakan,48.4,14809 / 15786
Ashe,48.4,3291 / 3504
Kayn,48.4,1257 / 1342
Urgot,48.2,1757 / 1892
Alistar,48.1,2713 / 2926
Gragas,48.1,1714 / 1849
Yorick,48.1,597 / 645
Singed,48.0,2112 / 2292
Jarvan IV,47.9,6947 / 7551
Zac,47.9,2852 / 3104
Graves,47.9,1738 / 1887
Karma,47.8,5082 / 5558
Kalista,47.8,2114 / 2310
Nasus,47.8,1287 / 1405
Nocturne,47.8,1083 / 1183
Teemo,47.7,1425 / 1560
Kled,47.6,1741 / 1916
Zilean,47.6,1733 / 1908
Tristana,47.6,1612 / 1776
Aatrox,47.5,3823 / 4218
Yuumi,47.5,2302 / 2542
Taric,47.5,848 / 938
Taliyah,47.5,797 / 881
Twisted Fate,47.5,588 / 650
Corki,47.4,882 / 977
Darius,47.3,3562 / 3965
Nidalee,47.3,1737 / 1935
Vladimir,47.1,2656 / 2979
Illaoi,47.0,345 / 389
Morgana,46.9,2869 / 3246
Sylas,46.7,1786 / 2040
Dr. Mundo,46.7,1618 / 1844
Elise,46.5,1519 / 1751
Swain,46.4,2305 / 2662
Lux,46.1,639 / 748
Vel'Koz,46.0,866 / 1017
Nami,45.8,2355 / 2789
Lulu,45.7,7850 / 9340
Master Yi,45.5,896 / 1074
Kha'Zix,45.1,952 / 1158
Zyra,44.9,627 / 768
Annie,44.8,825 / 1016
Jax,44.6,1436 / 1782
Trundle,44.4,1261 / 1581
Malzahar,44.0,508 / 647
Sona,43.8,1554 / 1997
Kayle,43.8,604 / 774
Soraka,43.6,2014 / 2604
Brand,42.3,598 / 817
Fiddlesticks,41.9,1078 / 1493
Shyvana,41.9,844 / 1170
Kindred,41.4,426 / 604
Olaf,41.2,915 / 1306
Shaco,40.9,526 / 759
Xin Zhao,36.9,242 / 414
