Champion name,Win rate(%),Wins / losses
Pyke,55.5,32282 / 25885
Nautilus,54.4,28821 / 24113
Thresh,53.1,9335 / 8232
Draven,52.6,8447 / 7609
Heimerdinger,52.6,2413 / 2171
Sivir,52.5,3252 / 2937
Riven,52.4,5705 / 5191
Maokai,52.2,12247 / 11220
Janna,52.2,4570 / 4190
Poppy,52.0,9267 / 8559
Lissandra,51.7,792 / 741
Shen,51.6,10326 / 9674
Sejuani,51.5,13472 / 12667
Leona,51.5,4723 / 4452
Xerath,51.5,725 / 684
Ezreal,51.4,8418 / 7962
Amumu,51.3,2629 / 2492
Udyr,51.3,2271 / 2152
Ryze,51.1,5198 / 4978
Ziggs,51.1,1250 / 1196
Senna,51.0,10997 / 10569
Aurelion Sol,51.0,5074 / 4869
Fiora,51.0,3068 / 2942
Quinn,50.9,3138 / 3021
Ekko,50.7,17089 / 16587
Qiyana,50.6,7231 / 7065
Warwick,50.6,3656 / 3570
Evelynn,50.6,2053 / 2005
Sett,50.5,18855 / 18464
Ivern,50.5,18212 / 17856
Ornn,50.5,9084 / 8920
Yasuo,50.5,7902 / 7747
Wukong,50.5,4041 / 3968
LeBlanc,50.4,6141 / 6049
Jayce,50.4,2173 / 2141
Vi,50.4,1933 / 1901
Xayah,50.3,11049 / 10925
Rammus,50.3,2908 / 2873
Fizz,50.2,3925 / 3891
Jhin,50.2,3566 / 3538
Varus,50.2,3073 / 3044
Azir,50.2,2331 / 2310
Hecarim,50.2,1305 / 1297
Tryndamere,50.2,932 / 924
Cho'Gath,50.1,13157 / 13096
Irelia,50.0,4140 / 4133
Cassiopeia,50.0,3207 / 3207
Braum,49.9,3537 / 3550
Veigar,49.9,1807 / 1815
Rumble,49.9,1038 / 1041
Nunu,49.8,8712 / 8767
Gnar,49.8,1339 / 1349
Renekton,49.7,21344 / 21566
Neeko,49.7,14765 / 14944
Galio,49.7,5380 / 5453
Lucian,49.7,4423 / 4482
Karthus,49.6,14206 / 14456
Camille,49.6,7065 / 7193
Pantheon,49.6,6875 / 6981
Akali,49.6,6686 / 6781
Kog'Maw,49.6,5094 / 5183
Vayne,49.6,3747 / 3814
Tahm Kench,49.6,1849 / 1882
Viktor,49.6,1304 / 1323
Ahri,49.5,31566 / 32205
Volibear,49.5,7793 / 7950
Kai'Sa,49.5,7247 / 7391
Bard,49.4,16296 / 16666
Talon,49.4,2903 / 2971
Mordekaiser,49.4,2307 / 2359
Zed,49.3,3459 / 3557
Malphite,49.3,2518 / 2585
Syndra,49.3,1962 / 2014
Anivia,49.3,915 / 940
Aphelios,49.2,14421 / 14878
Blitzcrank,49.2,8650 / 8936
Katarina,49.2,2857 / 2953
Caitlyn,49.1,5693 / 5908
Lillia,49.0,4300 / 4482
Miss Fortune,49.0,3424 / 3564
Gangplank,49.0,2086 / 2174
Rek'Sai,49.0,2061 / 2147
Kassadin,48.9,6094 / 6378
Yone,48.9,4008 / 4192
Kennen,48.9,2526 / 2635
Orianna,48.9,1742 / 1819
Garen,48.8,5503 / 5783
Jinx,48.8,3514 / 3680
Twitch,48.7,5278 / 5565
Sion,48.6,2098 / 2220
Diana,48.5,3455 / 3676
Lee Sin,48.5,2799 / 2969
Kayn,48.5,1313 / 1396
Rakan,48.4,15824 / 16888
Ashe,48.4,3474 / 3702
Skarner,48.4,738 / 788
Zoe,48.3,4236 / 4532
Rengar,48.3,2465 / 2639
Gragas,48.3,1809 / 1939
Yorick,48.3,638 / 682
Nocturne,48.1,1132 / 1223
Jarvan IV,48.0,7323 / 7927
Alistar,48.0,2830 / 3064
Kalista,48.0,2206 / 2390
Urgot,48.0,1820 / 1974
Graves,47.9,1835 / 1993
Karma,47.8,5368 / 5868
Singed,47.8,2214 / 2413
Tristana,47.8,1690 / 1844
Teemo,47.8,1521 / 1661
Zilean,47.7,1834 / 2008
Kled,47.7,1831 / 2011
Zac,47.6,2998 / 3301
Yuumi,47.6,2428 / 2676
Darius,47.5,3792 / 4186
Illaoi,47.5,368 / 406
Aatrox,47.4,3958 / 4390
Nasus,47.4,1335 / 1483
Taliyah,47.4,818 / 909
Twisted Fate,47.3,607 / 676
Corki,47.2,901 / 1007
Taric,47.1,880 / 989
Morgana,47.0,3005 / 3385
Nidalee,47.0,1818 / 2050
Vladimir,46.9,2768 / 3130
Sylas,46.7,1869 / 2129
Dr. Mundo,46.7,1717 / 1956
Vel'Koz,46.5,919 / 1057
Swain,46.4,2413 / 2785
Elise,46.4,1595 / 1839
Lux,46.1,667 / 780
Nami,45.9,2450 / 2891
Lulu,45.8,8333 / 9864
Master Yi,45.8,941 / 1112
Kha'Zix,45.0,1002 / 1224
Zyra,45.0,650 / 795
Annie,44.8,847 / 1045
Jax,44.7,1512 / 1872
Trundle,44.5,1296 / 1614
Kayle,44.3,638 / 803
Malzahar,44.2,524 / 661
Sona,44.0,1629 / 2070
Soraka,43.7,2119 / 2727
Brand,42.6,623 / 839
Fiddlesticks,42.1,1112 / 1531
Shyvana,41.9,886 / 1229
Kindred,41.5,442 / 623
Olaf,41.1,938 / 1345
Shaco,41.1,551 / 790
Xin Zhao,36.9,246 / 420
