Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,Support,Aqua,Challenger - 250 LP,62.2,503 / 306,Trindor
#2,ADC,Deft,Challenger - 246 LP,65.3,320 / 170,TheStriker9
#3,Jungle,Pyosik,Challenger - 230 LP,68.2,406 / 189,TheStriker9
#4,Support,Kutcher,Challenger - 93 LP,57.2,408 / 305,Terra
#5,ADC,T1 T1,Challenger - 76 LP,62.8,548 / 325,Soraka
#6,Top,Amouranth,Challenger - 44 LP,54.9,703 / 578,Simp
#7,Mid,Byumbert,Challenger - 44 LP,57.7,541 / 397,Byumbi
#8,Support,Maïwenn,Challenger - 42 LP,52.4,528 / 480,DitIsDonny
#9,Mid,I like trains,Challenger - 41 LP,54.4,448 / 376,Foxxo
#10,Mid,Gezar,Challenger - 41 LP,56.2,489 / 381,Kai
#11,Support,Anbeeld,Challenger - 35 LP,58.2,445 / 320,Anbeeld
#12,Jungle,woope,Challenger - 34 LP,51.4,451 / 427,sanchesmemo
#13,ADC,cryhard,Challenger - 29 LP,55.7,578 / 460,roysiggi
#14,Support,Jao,Challenger - 29 LP,51.5,427 / 402,YoloMedic
#15,ADC,Geekymanxnlx,Challenger - 28 LP,51.5,600 / 564,DitIsDonny
#16,Jungle,Poppey,Challenger - 28 LP,57.4,773 / 573,NAVI
#17,Top,xxaznpuppy32xx,Challenger - 21 LP,57.8,721 / 527,GamerGirls
#18,Jungle,Bibi,Challenger - 20 LP,56.2,523 / 407,Troeton
#19,Top,RNG Letme,Challenger - 15 LP,56.9,529 / 400,LPLAhri
#20,Top,Salsa,Challenger - 15 LP,58.7,490 / 345,YungYiga
#21,Jungle,JglBot,Challenger - 13 LP,55.1,727 / 592,TangilBOT
#22,Jungle,Ceasarna,Challenger - 10 LP,57.0,547 / 413,iampvm
#23,Mid,GNR.XIAOHU,Challenger - 4 LP,56.2,227 / 177,theshy
#24,Top,SS Flandre,Challenger - 1 LP,53.1,452 / 399,RNGFirefox
#25,Top,Zuko,Diamond I - 97 LP,54.8,569 / 470,Lior
#26,Mid,Ree tart,Diamond I - 95 LP,49.8,521 / 525,DitIsDonny
#27,ADC,BöllerBusch,Diamond I - 92 LP,54.8,456 / 376,Jungler1337
#28,Jungle,Gnima,Diamond I - 90 LP,54.8,515 / 424,YoloMedic
#29,Support,Bilbo Raggins,Diamond I - 82 LP,49.5,413 / 422,ImagineBaggins
#30,Top,Funn1k,Diamond I - 76 LP,49.2,607 / 627,NAVI
#31,Top,DoinB,Diamond I - 76 LP,53.4,602 / 525,LordArtos
#32,ADC,Kadlin,Diamond I - 75 LP,54.5,487 / 406,Jinxnator
#33,Mid,TES Jackeylove,Diamond I - 73 LP,50.5,380 / 373,Tokyo Smurfer
#34,Top,Tierney,Diamond I - 71 LP,50.0,500 / 501,110110010011
#35,Mid,Totoro the duck,Diamond I - 70 LP,51.4,388 / 367,Kuury
#36,ADC,Sylmarae,Diamond I - 67 LP,54.7,572 / 473,Kythaela
#37,Support,SEXY TAHM,Diamond I - 65 LP,53.4,394 / 344,HailOfBladesTahm
#38,Support,Fells,Diamond I - 65 LP,51.3,433 / 411,Fells
#39,Support,Tratz,Diamond I - 63 LP,56.1,427 / 334,Tangil
#40,ADC,Vixcini,Diamond I - 63 LP,50.7,316 / 307,Blade1284
#41,Support,CoreJJ,Diamond I - 62 LP,51.9,488 / 452,Opticreed
#42,Mid,DOINB RYZE HACK,Diamond I - 61 LP,49.0,271 / 282,wiksonix
