Champion name,Win rate(%),Wins / losses
Pyke,54.8,73320 / 60391
Nautilus,53.9,65145 / 55740
Thresh,52.6,22684 / 20478
Draven,52.6,19288 / 17391
Sivir,52.3,7965 / 7256
Maokai,51.8,26487 / 24612
Riven,51.8,13289 / 12343
Janna,51.7,9836 / 9201
Quinn,51.4,6370 / 6021
Amumu,51.4,5160 / 4884
Leona,51.3,9890 / 9378
Senna,51.2,23757 / 22667
Poppy,51.2,18569 / 17725
Sejuani,51.1,28558 / 27371
Shen,51.1,20112 / 19239
Ezreal,51.1,17527 / 16754
Tryndamere,51.0,2663 / 2554
Lissandra,51.0,1935 / 1862
Aurelion Sol,50.9,10279 / 9908
Udyr,50.9,4011 / 3876
Fiora,50.8,5635 / 5464
Vi,50.8,3565 / 3453
Ryze,50.7,10225 / 9928
Warwick,50.7,7456 / 7260
Heimerdinger,50.7,6099 / 5922
Ziggs,50.6,2782 / 2711
Ivern,50.5,35282 / 34565
Yasuo,50.5,16205 / 15905
Sett,50.4,35709 / 35175
Ekko,50.4,32735 / 32271
Ornn,50.4,18506 / 18224
Viktor,50.4,3065 / 3021
LeBlanc,50.3,12380 / 12236
Anivia,50.3,1848 / 1827
Xayah,50.2,21295 / 21093
Kog'Maw,50.2,11363 / 11265
Wukong,50.2,7497 / 7436
Fizz,50.2,7286 / 7233
Cho'Gath,50.1,24993 / 24942
Qiyana,50.1,13678 / 13621
Evelynn,50.1,4350 / 4337
Irelia,50.0,7225 / 7216
Talon,50.0,5820 / 5831
Neeko,49.9,26436 / 26509
Akali,49.9,12915 / 12988
Lucian,49.9,9017 / 9064
Galio,49.8,11785 / 11882
Jhin,49.8,6513 / 6563
Azir,49.8,4257 / 4290
Jayce,49.8,4051 / 4078
Ahri,49.7,60027 / 60680
Nunu,49.7,18231 / 18483
Renekton,49.6,40865 / 41551
Aphelios,49.6,26720 / 27113
Camille,49.6,14043 / 14290
Yone,49.6,8951 / 9098
Braum,49.6,6061 / 6156
Yuumi,49.6,6028 / 6128
Rumble,49.6,2130 / 2164
Karthus,49.5,29016 / 29549
Pantheon,49.5,12088 / 12318
Vayne,49.5,9303 / 9475
Gangplank,49.5,4425 / 4523
Xerath,49.5,1822 / 1857
Miss Fortune,49.4,6302 / 6464
Zed,49.3,6618 / 6815
Varus,49.3,5535 / 5688
Rammus,49.3,5362 / 5524
Syndra,49.3,3682 / 3783
Bard,49.2,32034 / 33122
Volibear,49.2,14387 / 14850
Katarina,49.2,5660 / 5833
Kassadin,49.1,11656 / 12066
Caitlyn,49.1,10909 / 11300
Malphite,49.1,4653 / 4832
Mordekaiser,49.1,4557 / 4732
Jinx,49.0,7624 / 7938
Cassiopeia,49.0,6189 / 6435
Gnar,49.0,3010 / 3130
Hecarim,49.0,2795 / 2914
Illaoi,49.0,591 / 616
Kai'Sa,48.9,14406 / 15032
Garen,48.9,10125 / 10584
Twitch,48.8,10056 / 10571
Rek'Sai,48.8,4242 / 4445
Orianna,48.8,3337 / 3496
Tahm Kench,48.8,3264 / 3420
Lillia,48.7,7812 / 8234
Veigar,48.7,3571 / 3756
Kayn,48.7,2565 / 2707
Kennen,48.6,5072 / 5369
Blitzcrank,48.4,16227 / 17305
Ashe,48.4,7476 / 7985
Rengar,48.4,5810 / 6182
Lee Sin,48.4,5023 / 5360
Rakan,48.3,29363 / 31449
Jarvan IV,48.3,12716 / 13598
Zoe,48.3,7584 / 8106
Alistar,48.3,6052 / 6476
Karma,48.2,10444 / 11220
Diana,48.2,6895 / 7418
Singed,48.2,4771 / 5127
Sion,48.2,3796 / 4084
Dr. Mundo,48.2,3245 / 3489
Skarner,48.2,1459 / 1568
Tristana,48.1,3388 / 3657
Gragas,48.1,3279 / 3542
Graves,48.1,3226 / 3474
Taliyah,48.1,1353 / 1457
Taric,48.0,1569 / 1700
Kalista,47.9,3924 / 4269
Darius,47.8,7461 / 8150
Aatrox,47.8,7194 / 7850
Teemo,47.8,3159 / 3445
Nocturne,47.7,1960 / 2148
Zilean,47.6,3266 / 3598
Yorick,47.6,1141 / 1257
Nasus,47.5,2789 / 3080
Vel'Koz,47.5,1770 / 1960
Urgot,47.4,3006 / 3333
Corki,47.4,1666 / 1851
Sylas,47.3,3673 / 4085
Vladimir,47.2,5047 / 5646
Kled,47.2,3267 / 3651
Twisted Fate,47.1,1135 / 1273
Zac,47.0,6240 / 7027
Nidalee,47.0,3525 / 3978
Swain,46.7,4167 / 4753
Lux,46.6,1197 / 1371
Lulu,46.4,15236 / 17612
Morgana,46.4,5411 / 6253
Elise,46.2,2883 / 3362
Nami,46.0,3878 / 4553
Zyra,45.9,1348 / 1592
Annie,45.8,1599 / 1896
Jax,45.4,3267 / 3925
Master Yi,45.4,1649 / 1986
Kayle,45.4,1385 / 1666
Malzahar,45.4,978 / 1178
Sona,44.3,2813 / 3538
Trundle,44.1,2232 / 2834
Kindred,43.9,1031 / 1318
Kha'Zix,43.8,2200 / 2818
Soraka,43.5,3257 / 4231
Brand,43.2,1228 / 1615
Fiddlesticks,42.4,1964 / 2669
Shyvana,42.0,1814 / 2506
Shaco,41.1,1024 / 1467
Olaf,40.7,1618 / 2362
Xin Zhao,37.0,455 / 775
