Champion name,Win rate(%),Wins / losses
Tryndamere,59.7,524 / 354
Udyr,58.9,926 / 645
Irelia,58.5,1442 / 1021
Riven,57.0,172 / 130
Skarner,56.5,531 / 409
Warwick,56.3,67 / 52
Pyke,55.9,1541 / 1216
Singed,55.6,1068 / 854
Shen,55.6,548 / 438
Varus,55.6,164 / 131
Volibear,55.5,166 / 133
Ashe,54.9,303 / 249
Jinx,54.7,485 / 401
Camille,54.5,729 / 608
Ryze,54.3,227 / 191
Corki,53.8,70 / 60
Lee Sin,53.5,278 / 242
Yasuo,53.2,356 / 313
Viktor,53.1,93 / 82
Rakan,53.0,418 / 370
Draven,53.0,237 / 210
Nocturne,53.0,184 / 163
Senna,52.7,521 / 467
Kled,52.6,153 / 138
Talon,52.6,92 / 83
Zilean,52.3,145 / 132
Zac,52.0,259 / 239
Nasus,52.0,207 / 191
Graves,51.7,228 / 213
Nautilus,51.5,292 / 275
Master Yi,51.3,337 / 320
Qiyana,51.3,234 / 222
Nunu,51.1,384 / 368
Urgot,51.1,46 / 44
Nidalee,51.0,80 / 77
Aphelios,50.9,731 / 706
Sejuani,50.8,268 / 260
Akali,50.8,261 / 253
Hecarim,50.6,164 / 160
Caitlyn,50.5,238 / 233
Ezreal,50.2,576 / 571
Cassiopeia,50.1,202 / 201
Orianna,50.1,191 / 190
Galio,50.0,158 / 158
Fiora,49.9,525 / 527
Alistar,49.8,238 / 240
Leona,49.8,118 / 119
Kennen,49.6,344 / 350
Karma,49.6,190 / 193
Fizz,49.3,67 / 69
Aurelion Sol,49.2,59 / 61
Neeko,49.0,146 / 152
Bard,48.9,293 / 306
Kai'Sa,48.9,252 / 263
Kog'Maw,48.9,251 / 262
Thresh,48.8,284 / 298
Rek'Sai,48.8,168 / 176
Tristana,48.8,83 / 87
Syndra,48.7,269 / 283
Nami,48.6,54 / 57
Sion,48.5,211 / 224
Jax,48.5,97 / 103
LeBlanc,48.4,106 / 113
Vayne,48.3,384 / 411
Ornn,48.3,312 / 334
Amumu,48.3,128 / 137
Blitzcrank,48.3,127 / 136
Jarvan IV,48.1,152 / 164
Lux,48.1,37 / 40
Garen,47.9,45 / 49
Poppy,47.8,138 / 151
Illaoi,47.8,55 / 60
Ivern,47.6,340 / 375
Veigar,47.6,238 / 262
Braum,47.4,308 / 342
Rammus,47.2,17 / 19
Zoe,47.1,130 / 146
Morgana,47.0,87 / 98
Xin Zhao,46.9,69 / 78
Vi,46.9,45 / 51
Mordekaiser,46.8,252 / 286
Taliyah,46.8,72 / 82
Yuumi,46.7,315 / 360
Janna,46.5,93 / 107
Gangplank,46.5,72 / 83
Aatrox,46.4,415 / 479
Vel'Koz,46.4,52 / 60
Katarina,46.3,152 / 176
Xayah,46.2,215 / 250
Lissandra,46.2,49 / 57
Sivir,46.1,76 / 89
Pantheon,45.6,214 / 255
Karthus,45.5,66 / 79
Twitch,45.2,190 / 230
Sett,45.1,242 / 294
Quinn,44.9,53 / 65
Teemo,44.7,126 / 156
Miss Fortune,44.7,123 / 152
Kayle,44.6,50 / 62
Wukong,44.4,110 / 138
Anivia,44.4,84 / 105
Malzahar,44.4,36 / 45
Zed,44.3,159 / 200
Malphite,44.2,87 / 110
Ahri,44.0,146 / 186
Lucian,44.0,73 / 93
Annie,43.8,110 / 141
Kassadin,43.6,150 / 194
Trundle,43.5,50 / 65
Fiddlesticks,43.1,59 / 78
Heimerdinger,43.1,28 / 37
Azir,42.9,222 / 295
Diana,42.9,12 / 16
Dr. Mundo,42.7,94 / 126
Jayce,42.7,32 / 43
Sona,42.6,40 / 54
Lulu,42.5,214 / 289
Maokai,42.5,97 / 131
Brand,42.3,58 / 79
Gragas,42.3,30 / 41
Twisted Fate,42.2,76 / 104
Rengar,42.1,134 / 184
Ekko,41.8,123 / 171
Kha'Zix,41.8,114 / 159
Elise,41.8,89 / 124
Vladimir,41.8,71 / 99
Xerath,41.2,178 / 254
Gnar,41.2,84 / 120
Sylas,40.8,152 / 221
Olaf,40.8,125 / 181
Evelynn,40.6,97 / 142
Tahm Kench,40.5,106 / 156
Kalista,40.4,19 / 28
Jhin,40.2,139 / 207
Darius,39.8,70 / 106
Rumble,39.3,24 / 37
Cho'Gath,39.1,124 / 193
Kindred,39.1,102 / 159
Ziggs,39.1,36 / 56
Soraka,38.8,100 / 158
Swain,38.8,33 / 52
Taric,38.7,77 / 122
Zyra,38.5,40 / 64
Renekton,37.3,41 / 69
Yorick,36.5,27 / 47
Shyvana,36.5,23 / 40
Shaco,34.8,40 / 75
